#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    7.539422E+03   1.0000E-099   3.6890E-041   7.1181E-033   1.1367E-024   2.0505E-017   9.0509E-011   4.9870E-005   9.9995E-001
    8.003021E+03   1.0000E-099   6.7580E-041   1.3440E-032   2.0817E-024   3.5431E-017   1.3765E-010   6.3201E-005   9.9994E-001
    8.495126E+03   1.0000E-099   1.2262E-040   2.4373E-032   3.6054E-024   5.7412E-017   1.9808E-010   7.7449E-005   9.9992E-001
    9.017491E+03   1.0000E-099   4.3723E-040   8.5280E-032   1.1336E-023   1.5586E-016   4.1962E-010   1.1769E-004   9.9988E-001
    9.571975E+03   1.0000E-099   4.4947E-039   8.2329E-031   8.8820E-023   9.2673E-016   1.5987E-009   2.4781E-004   9.9975E-001
    1.016056E+04   1.0000E-099   1.2214E-037   1.8908E-029   1.4584E-021   1.0052E-014   9.4024E-009   6.5870E-004   9.9934E-001
    1.078533E+04   1.0000E-099   5.8974E-035   6.8155E-027   2.8770E-019   9.2732E-013   2.7684E-007   4.2718E-003   9.9573E-001
    1.144852E+04   1.0000E-099   8.2926E-031   5.8015E-023   9.6192E-016   9.4027E-010   4.7892E-005   7.0842E-002   9.2911E-001
    1.215249E+04   1.0000E-099   2.4373E-025   8.9086E-018   4.1026E-011   6.6950E-006   2.2432E-002   8.5387E-001   1.2369E-001
    1.289974E+04   1.0000E-099   1.4738E-021   2.9543E-014   4.4898E-008   1.4067E-003   4.0664E-001   5.9039E-001   1.5578E-003
    1.369294E+04   1.0000E-099   1.6175E-018   1.8084E-011   8.9101E-006   4.5827E-002   9.1691E-001   3.7256E-002   1.2026E-006
    1.453492E+04   1.0000E-099   1.6943E-014   6.3865E-008   4.2206E-003   8.3788E-001   1.5789E-001   1.2899E-005   2.0279E-013
    1.542867E+04   1.0000E-099   8.3044E-008   1.0459E-002   9.8401E-001   5.5309E-003   4.3601E-010   9.3919E-023   4.2552E-041
    1.626717E+04   1.0000E-099   7.7052E-003   9.9207E-001   2.2487E-004   3.8056E-015   6.7354E-034   3.8624E-061   2.3854E-086
    1.668676E+04   1.0000E-099   3.3584E-001   6.6416E-001   2.6272E-008   5.6745E-025   6.5852E-052   2.8578E-077   2.3002E-104
    1.713874E+04   1.0000E-099   9.9908E-001   9.2158E-004   3.7646E-018   6.9772E-046   2.4442E-070   6.7782E-098   1.8301E-122
    1.771854E+04   1.0000E-099   1.0000E+000   1.7681E-006   1.4944E-026   2.6216E-057   1.7361E-078   4.2672E-109   2.3127E-130
    1.838692E+04   1.0000E-099   1.0000E+000   2.1917E-006   2.2200E-026   3.5108E-057   2.7837E-078   6.1733E-109   3.9907E-130
    1.903533E+04   1.0000E-099   1.0000E+000   3.1575E-006   4.5115E-026   5.3309E-057   5.9701E-078   9.9001E-109   9.0412E-130
    1.976116E+04   1.0000E-099   1.0000E+000   4.0120E-006   7.1229E-026   7.0954E-057   9.8914E-078   1.3829E-108   1.5753E-129
    2.046516E+04   1.0000E-099   9.9999E-001   5.3675E-006   1.2413E-025   9.7787E-057   1.7806E-077   1.9685E-108   2.9372E-129
    2.125594E+04   1.0000E-099   9.9999E-001   7.0775E-006   2.0848E-025   1.3256E-056   3.0832E-077   2.7504E-108   5.2584E-129
    2.202587E+04   1.0000E-099   9.9999E-001   8.2121E-006   2.7112E-025   1.5690E-056   4.0977E-077   3.3264E-108   7.1378E-129
    2.285981E+04   1.0000E-099   9.9999E-001   1.1654E-005   5.1181E-025   2.2542E-056   7.8364E-077   4.8394E-108   1.3784E-128
    2.372435E+04   1.0000E-099   9.9999E-001   1.1549E-005   4.8025E-025   2.3106E-056   7.5504E-077   5.0952E-108   1.3428E-128
    2.455466E+04   1.0000E-099   9.9998E-001   1.7711E-005   1.0028E-024   3.5809E-056   1.5781E-076   7.9028E-108   2.7556E-128
    2.552174E+04   1.0000E-099   9.9998E-001   1.8624E-005   1.0254E-024   4.0772E-056   1.6921E-076   9.4376E-108   2.9535E-128
    2.640440E+04   1.0000E-099   9.9998E-001   2.2481E-005   1.3646E-024   5.0662E-056   2.2737E-076   1.1832E-107   3.9063E-128
    2.741295E+04   1.0000E-099   9.9998E-001   2.4412E-005   1.5323E-024   5.4210E-056   2.4861E-076   1.2303E-107   4.1377E-128
    2.838201E+04   1.0000E-099   9.9998E-001   1.8677E-005   9.7949E-025   4.0291E-056   1.5357E-076   8.7952E-108   2.5174E-128
    2.923203E+04   1.0000E-099   9.9998E-001   2.0745E-005   1.2137E-024   4.1870E-056   1.7817E-076   8.5170E-108   2.7997E-128
    3.013295E+04   1.0000E-099   9.9998E-001   1.5543E-005   7.2594E-025   3.1621E-056   1.0828E-076   6.5174E-108   1.7646E-128
    3.094669E+04   1.0000E-099   9.9998E-001   1.6434E-005   8.0036E-025   3.2535E-056   1.1673E-076   6.5438E-108   1.8893E-128
    3.176516E+04   1.0000E-099   9.9998E-001   1.5798E-005   7.3131E-025   3.1438E-056   1.0754E-076   6.3689E-108   1.7727E-128
    3.259805E+04   1.0000E-099   9.9998E-001   1.7232E-005   8.1625E-025   3.4259E-056   1.1991E-076   6.9325E-108   1.9790E-128
    3.345740E+04   1.0000E-099   9.9998E-001   2.0096E-005   1.0055E-024   3.9821E-056   1.4704E-076   8.0235E-108   2.4133E-128
    3.438030E+04   1.0000E-099   9.9998E-001   2.0289E-005   9.6620E-025   4.0670E-056   1.4300E-076   8.2950E-108   2.3768E-128
    3.533529E+04   1.0000E-099   9.9998E-001   2.4310E-005   1.2284E-024   4.8585E-056   1.8100E-076   9.8694E-108   2.9902E-128
    3.634323E+04   1.0000E-099   9.9998E-001   2.4775E-005   1.2032E-024   5.0018E-056   1.7916E-076   1.0271E-107   2.9927E-128
    3.736894E+04   1.0000E-099   9.9997E-001   2.7196E-005   1.3284E-024   5.5136E-056   1.9853E-076   1.1367E-107   3.3260E-128
    3.839518E+04   1.0000E-099   9.9997E-001   2.9644E-005   1.4539E-024   6.0362E-056   2.1810E-076   1.2494E-107   3.6649E-128
    3.939114E+04   1.0000E-099   9.9997E-001   2.9279E-005   1.3794E-024   6.0181E-056   2.0894E-076   1.2579E-107   3.5465E-128
    4.037465E+04   1.0000E-099   9.9997E-001   2.7988E-005   1.2523E-024   5.8119E-056   1.9174E-076   1.2282E-107   3.2924E-128
    4.133441E+04   1.0000E-099   9.9997E-001   2.7475E-005   1.1881E-024   5.7473E-056   1.8326E-076   1.2237E-107   3.1704E-128
    4.215976E+04   1.0000E-099   9.9997E-001   2.7354E-005   1.1584E-024   5.7479E-056   1.7942E-076   1.2290E-107   3.1159E-128
    4.290657E+04   1.0000E-099   9.9997E-001   2.6773E-005   1.1062E-024   5.6494E-056   1.7198E-076   1.2126E-107   2.9972E-128
    4.365819E+04   1.0000E-099   9.9997E-001   2.5492E-005   1.0175E-024   5.4057E-056   1.5893E-076   1.1657E-107   2.7824E-128
    4.442297E+04   1.0000E-099   9.9998E-001   2.3535E-005   8.9855E-025   5.0202E-056   1.4116E-076   1.0888E-107   2.4862E-128
    4.520034E+04   1.0000E-099   9.9998E-001   2.1061E-005   7.6284E-025   4.5236E-056   1.2067E-076   9.8803E-108   2.1415E-128
    4.600555E+04   1.0000E-099   9.9998E-001   1.8269E-005   6.2312E-025   3.9554E-056   9.9395E-077   8.7118E-108   1.7803E-128
    4.686215E+04   1.0000E-099   9.9998E-001   1.5519E-005   4.9597E-025   3.3902E-056   7.9854E-077   7.5372E-108   1.4454E-128
    4.776422E+04   1.0000E-099   9.9999E-001   1.3035E-005   3.8936E-025   2.8747E-056   6.3320E-077   6.4561E-108   1.1592E-128
    4.868597E+04   1.0000E-099   9.9999E-001   1.0950E-005   3.0590E-025   2.4385E-056   5.0266E-077   5.5336E-108   9.3112E-129
    4.962544E+04   1.0000E-099   9.9999E-001   9.2452E-006   2.4183E-025   2.0792E-056   4.0160E-077   4.7686E-108   7.5294E-129
    5.058305E+04   1.0000E-099   9.9999E-001   7.8704E-006   1.9311E-025   1.7877E-056   3.2417E-077   4.1442E-108   6.1524E-129
    5.155912E+04   1.0000E-099   9.9999E-001   6.7690E-006   1.5630E-025   1.5528E-056   2.6523E-077   3.6381E-108   5.0956E-129
    5.255403E+04   1.0000E-099   9.9999E-001   5.8871E-006   1.2863E-025   1.3634E-056   2.2059E-077   3.2277E-108   4.2889E-129
    5.356816E+04   1.0000E-099   9.9999E-001   5.1834E-006   1.0803E-025   1.2113E-056   1.8713E-077   2.8956E-108   3.6795E-129
    5.460189E+04   1.0000E-099   1.0000E+000   4.6264E-006   9.2858E-026   1.0899E-056   1.6237E-077   2.6289E-108   3.2259E-129
    5.565558E+04   1.0000E-099   1.0000E+000   4.1942E-006   8.1989E-026   9.9510E-057   1.4458E-077   2.4193E-108   2.8994E-129
    5.672959E+04   1.0000E-099   1.0000E+000   3.8681E-006   7.4495E-026   9.2307E-057   1.3235E-077   2.2600E-108   2.6765E-129
    5.782432E+04   1.0000E-099   1.0000E+000   3.6284E-006   6.9618E-026   8.6975E-057   1.2451E-077   2.1429E-108   2.5374E-129
    5.894013E+04   1.0000E-099   1.0000E+000   3.4490E-006   6.6426E-026   8.2961E-057   1.1957E-077   2.0567E-108   2.4559E-129
    6.007747E+04   1.0000E-099   1.0000E+000   3.2986E-006   6.3918E-026   7.9579E-057   1.1588E-077   1.9869E-108   2.4021E-129
