#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 78
#vel_mid[km/s] si0 si1 si2 si3
440.10 1.7956e-04 9.2554e-01 7.1844e-02 2.4382e-03
886.22 3.5932e-04 9.2392e-01 7.3497e-02 2.2220e-03
906.14 6.6445e-04 9.3290e-01 6.4257e-02 2.1764e-03
944.43 6.1223e-04 9.2661e-01 7.0457e-02 2.3176e-03
999.11 3.4388e-04 9.2892e-01 6.8349e-02 2.3829e-03
1060.83 4.2677e-04 9.2323e-01 7.3965e-02 2.3780e-03
1125.62 3.2119e-04 9.2043e-01 7.6632e-02 2.6125e-03
1194.38 3.0879e-04 9.3173e-01 6.5716e-02 2.2429e-03
1267.34 2.4737e-04 9.2447e-01 7.2890e-02 2.3934e-03
1344.75 2.0973e-04 9.2837e-01 6.9121e-02 2.2992e-03
1426.89 3.8204e-04 9.3097e-01 6.6525e-02 2.1265e-03
1514.05 2.4278e-04 9.2912e-01 6.8455e-02 2.1809e-03
1606.54 2.6462e-04 9.3257e-01 6.5152e-02 2.0135e-03
1704.67 2.4521e-04 9.3538e-01 6.2440e-02 1.9343e-03
1808.80 1.9963e-04 9.3251e-01 6.5322e-02 1.9713e-03
1919.29 2.1577e-04 9.3183e-01 6.5931e-02 2.0257e-03
2036.53 1.7934e-04 9.2866e-01 6.8960e-02 2.2047e-03
2160.92 1.9619e-04 9.2601e-01 7.1422e-02 2.3704e-03
2292.92 1.5932e-04 9.1972e-01 7.7373e-02 2.7525e-03
2432.98 1.4024e-04 9.1257e-01 8.4091e-02 3.2014e-03
2581.60 1.3282e-04 9.0290e-01 9.3156e-02 3.8061e-03
2739.29 1.2437e-04 8.9226e-01 1.0310e-01 4.5167e-03
2906.62 1.0621e-04 8.7873e-01 1.1573e-01 5.4362e-03
3084.17 9.6143e-05 8.5777e-01 1.3517e-01 6.9642e-03
3272.56 7.5731e-05 8.1901e-01 1.7099e-01 9.9237e-03
3472.46 5.5330e-05 7.7449e-01 2.1145e-01 1.4000e-02
3684.57 3.8153e-05 7.1691e-01 2.6320e-01 1.9853e-02
3909.64 2.4819e-05 6.4060e-01 3.3074e-01 2.8633e-02
4148.46 2.2797e-05 6.4819e-01 3.2252e-01 2.9261e-02
4401.86 2.3881e-05 6.7901e-01 2.9562e-01 2.5351e-02
4670.75 1.8458e-05 6.6662e-01 3.0655e-01 2.6808e-02
4956.05 9.8464e-06 5.7644e-01 3.8486e-01 3.8692e-02
5258.79 3.6886e-06 3.8080e-01 5.5153e-01 6.7667e-02
5580.02 9.9650e-07 1.5902e-01 7.3369e-01 1.0728e-01
5920.87 3.5958e-07 7.8132e-02 7.8596e-01 1.3591e-01
6282.54 2.2114e-07 5.8189e-02 7.8868e-01 1.5313e-01
6666.30 1.7080e-07 4.8789e-02 7.9207e-01 1.5914e-01
7073.50 1.6879e-07 4.9564e-02 7.8643e-01 1.6400e-01
7505.58 1.8001e-07 5.2850e-02 7.7620e-01 1.7095e-01
7964.05 2.1593e-07 6.0847e-02 7.7649e-01 1.6267e-01
8450.53 4.7739e-07 1.0789e-01 7.4972e-01 1.4239e-01
8966.72 1.3787e-06 2.2671e-01 6.6013e-01 1.1316e-01
9514.44 3.3833e-06 3.8394e-01 5.3359e-01 8.2463e-02
10095.62 7.1750e-06 5.2267e-01 4.1939e-01 5.7937e-02
10712.30 1.2825e-05 6.0783e-01 3.4756e-01 4.4598e-02
11366.65 1.9850e-05 6.6380e-01 3.0021e-01 3.5972e-02
12061.10 2.4689e-05 6.7323e-01 2.9091e-01 3.5835e-02
12793.43 2.7296e-05 6.7934e-01 2.8458e-01 3.6054e-02
13528.61 2.4944e-05 6.7314e-01 2.8924e-01 3.7590e-02
14194.74 1.8410e-05 6.5127e-01 3.0646e-01 4.2252e-02
14757.77 1.5642e-05 6.1148e-01 3.4031e-01 4.8197e-02
15240.48 1.8770e-05 6.6323e-01 3.0029e-01 3.6459e-02
15646.99 2.4084e-05 6.8819e-01 2.8757e-01 2.4219e-02
15960.30 3.8708e-05 7.5170e-01 2.3559e-01 1.2669e-02
16187.41 4.4865e-05 7.6061e-01 2.2913e-01 1.0215e-02
16354.17 4.2890e-05 7.4043e-01 2.4872e-01 1.0801e-02
16484.18 3.8482e-05 7.2703e-01 2.6085e-01 1.2083e-02
16593.12 2.7283e-05 6.2099e-01 3.6081e-01 1.8178e-02
16691.99 2.6258e-05 6.3097e-01 3.4817e-01 2.0838e-02
16788.59 2.4166e-05 5.7137e-01 4.0645e-01 2.2156e-02
16888.37 2.5363e-05 6.3784e-01 3.3929e-01 2.2847e-02
16998.79 1.9605e-05 5.3082e-01 4.3873e-01 3.0432e-02
17146.37 1.4583e-05 4.5026e-01 5.1273e-01 3.6998e-02
17415.23 1.2821e-05 4.0678e-01 5.4920e-01 4.4007e-02
17888.12 7.4855e-06 2.9834e-01 6.3954e-01 6.2117e-02
18532.37 5.4999e-06 2.6353e-01 6.5814e-01 7.8325e-02
19260.76 3.9469e-06 2.1870e-01 6.8197e-01 9.9324e-02
20034.10 2.4554e-06 1.7561e-01 7.0575e-01 1.1863e-01
20838.00 1.5645e-06 1.4138e-01 7.1800e-01 1.4061e-01
21647.97 1.0817e-06 1.0345e-01 7.3077e-01 1.6578e-01
22447.94 9.9522e-07 1.1998e-01 6.6113e-01 2.1889e-01
23245.88 1.0715e-06 1.4681e-01 6.0080e-01 2.5239e-01
24052.47 1.1514e-06 1.8959e-01 5.4086e-01 2.6955e-01
24867.72 6.4315e-07 1.1269e-01 4.8264e-01 4.0466e-01
25698.86 4.4638e-07 9.1463e-02 5.6563e-01 3.4291e-01
26587.16 1.9928e-07 4.8235e-02 5.1557e-01 4.3620e-01
27637.54 3.9004e-07 9.4733e-02 4.2516e-01 4.8011e-01
28986.97 3.4666e-07 1.0856e-01 4.3005e-01 4.6139e-01
#TIME: 204.93
#NVEL: 78
