#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6 si7 si8
3.793773e+03 1.233127e-29 1.509201e-21 1.337422e-13 1.101226e-06 9.662566e-01 3.374229e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.025512e+03 2.674248e-29 3.087540e-21 2.297422e-13 1.580237e-06 9.943339e-01 5.664543e-03 0.000000e+00 0.000000e+00 0.000000e+00 
4.271406e+03 5.815944e-29 5.919063e-21 3.712304e-13 2.103639e-06 9.981974e-01 1.800468e-03 0.000000e+00 0.000000e+00 0.000000e+00 
4.532320e+03 5.799822e-29 5.954780e-21 3.741107e-13 2.131767e-06 9.983664e-01 1.631477e-03 0.000000e+00 0.000000e+00 0.000000e+00 
4.809172e+03 3.273140e-29 3.813367e-21 2.761513e-13 1.817705e-06 9.978309e-01 2.167263e-03 0.000000e+00 0.000000e+00 0.000000e+00 
5.102936e+03 1.704351e-29 2.309985e-21 1.956252e-13 1.511406e-06 9.968846e-01 3.113924e-03 0.000000e+00 0.000000e+00 0.000000e+00 
5.414644e+03 1.125107e-29 1.669216e-21 1.567772e-13 1.337217e-06 9.959962e-01 4.002429e-03 0.000000e+00 0.000000e+00 0.000000e+00 
5.745391e+03 8.716324e-30 1.385711e-21 1.385711e-13 1.267550e-06 9.959321e-01 4.066595e-03 0.000000e+00 0.000000e+00 0.000000e+00 
6.096342e+03 8.002264e-30 1.333711e-21 1.370880e-13 1.281237e-06 9.970033e-01 2.995383e-03 0.000000e+00 0.000000e+00 0.000000e+00 
6.468731e+03 8.623977e-30 1.458324e-21 1.482549e-13 1.363848e-06 9.980558e-01 1.942817e-03 0.000000e+00 0.000000e+00 0.000000e+00 
6.863867e+03 1.023481e-29 1.732559e-21 1.710261e-13 1.511808e-06 9.989527e-01 1.045779e-03 0.000000e+00 0.000000e+00 0.000000e+00 
7.283139e+03 1.413290e-29 2.393783e-21 2.221431e-13 1.823105e-06 9.996439e-01 3.542799e-04 0.000000e+00 0.000000e+00 0.000000e+00 
7.728022e+03 2.526584e-29 4.119097e-21 3.460654e-13 2.434708e-06 9.999147e-01 8.284133e-05 0.000000e+00 0.000000e+00 0.000000e+00 
8.200081e+03 5.417032e-29 8.194118e-21 5.965592e-13 3.462786e-06 9.999795e-01 1.702822e-05 0.000000e+00 0.000000e+00 0.000000e+00 
8.700974e+03 1.578935e-28 2.149106e-20 1.298236e-12 5.692939e-06 9.999923e-01 1.991213e-06 0.000000e+00 0.000000e+00 0.000000e+00 
9.232464e+03 8.321578e-28 9.510375e-20 4.321626e-12 1.195790e-05 9.999880e-01 9.020870e-08 0.000000e+00 0.000000e+00 0.000000e+00 
9.796417e+03 9.768441e-27 8.554611e-19 2.560603e-11 3.531667e-05 9.999647e-01 1.381454e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.039482e+04 2.270500e-25 1.499780e-17 2.723558e-10 1.468534e-04 9.998531e-01 5.520023e-12 0.000000e+00 0.000000e+00 0.000000e+00 
1.102978e+04 1.421001e-23 7.211847e-16 6.998162e-09 1.025685e-03 9.989743e-01 2.783239e-15 0.000000e+00 0.000000e+00 0.000000e+00 
1.170352e+04 2.476407e-21 1.013363e-13 4.389130e-07 1.197035e-02 9.880292e-01 1.931724e-19 0.000000e+00 0.000000e+00 0.000000e+00 
1.241868e+04 7.789600e-19 2.821183e-11 4.733318e-05 1.771076e-01 8.228451e-01 2.272620e-24 0.000000e+00 0.000000e+00 0.000000e+00 
1.316817e+04 7.758482e-17 2.917446e-09 1.870158e-03 8.260753e-01 1.720545e-01 2.158696e-30 0.000000e+00 0.000000e+00 0.000000e+00 
1.388905e+04 2.611715e-15 9.450482e-08 2.113526e-02 9.707125e-01 8.152173e-03 3.955314e-37 0.000000e+00 0.000000e+00 0.000000e+00 
1.450043e+04 1.007517e-13 3.088174e-06 2.103818e-01 7.894144e-01 2.007313e-04 1.598130e-44 0.000000e+00 0.000000e+00 0.000000e+00 
1.501511e+04 4.329404e-12 8.243360e-05 9.183585e-01 8.155898e-02 1.244157e-07 4.722986e-56 0.000000e+00 0.000000e+00 0.000000e+00 
1.546584e+04 5.309266e-09 1.083883e-02 9.891537e-01 7.490251e-06 4.163698e-17 3.833246e-85 0.000000e+00 0.000000e+00 0.000000e+00 
1.582815e+04 1.816501e-04 9.992611e-01 5.572088e-04 1.010405e-19 2.878912e-45 6.129297e-166 0.000000e+00 0.000000e+00 0.000000e+00 
1.609245e+04 1.415663e-01 8.584337e-01 5.026355e-10 4.913404e-38 4.066265e-80 6.494729e-262 0.000000e+00 0.000000e+00 0.000000e+00 
1.628237e+04 9.482585e-01 5.174149e-02 4.308436e-16 8.033018e-55 1.324743e-111 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.642596e+04 9.986142e-01 1.385784e-03 1.104850e-21 1.659635e-69 7.885039e-139 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.654240e+04 9.999363e-01 6.373531e-05 4.135714e-26 1.045259e-80 2.668385e-159 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.664385e+04 9.999998e-01 2.340983e-07 1.537705e-34 1.354098e-102 1.029508e-199 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.674015e+04 9.999999e-01 1.071161e-07 8.164793e-36 4.681647e-106 3.288389e-206 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.683704e+04 1.000000e+00 1.485477e-08 6.390041e-39 2.406639e-114 1.145228e-221 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.693972e+04 1.000000e+00 5.183486e-10 3.568807e-44 2.587156e-128 1.087156e-247 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.705788e+04 1.000000e+00 4.181818e-12 1.216450e-51 4.632035e-148 2.125541e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.723487e+04 1.000000e+00 6.459330e-14 3.751196e-58 2.411483e-165 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.759558e+04 1.000000e+00 1.310000e-12 9.450000e-54 4.420000e-154 6.750000e-296 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.818065e+04 1.000000e+00 3.660131e-18 1.220588e-73 9.526144e-207 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.888408e+04 1.000000e+00 1.641646e-20 4.600484e-82 4.600484e-229 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.963744e+04 1.000000e+00 1.800000e-20 5.563636e-82 6.072727e-229 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.043076e+04 1.000000e+00 2.005376e-20 6.881720e-82 8.440860e-229 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.124524e+04 1.000000e+00 2.170370e-20 8.074074e-82 1.059259e-228 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.205069e+04 1.000000e+00 2.412327e-20 9.957492e-82 1.455898e-228 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.284519e+04 1.000000e+00 1.017544e-21 1.770335e-84 1.094099e-232 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.364658e+04 1.000000e+00 9.268293e-22 1.468293e-84 8.243902e-233 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.445835e+04 1.000000e+00 8.376384e-22 1.199262e-84 6.088561e-233 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.527708e+04 1.000000e+00 7.570621e-22 9.830508e-85 4.542373e-233 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.612065e+04 1.000000e+00 6.809091e-22 7.927273e-85 3.281818e-233 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.705367e+04 1.000000e+00 5.966942e-22 6.082645e-85 2.198347e-233 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.822140e+04 1.000000e+00 5.701754e-22 5.526316e-85 1.907895e-233 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.975253e+04 1.000000e+00 7.161863e-22 8.802661e-85 3.835920e-233 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.155178e+04 1.000000e+00 1.226804e-21 2.577320e-84 1.924399e-232 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.347929e+04 1.000000e+00 2.815217e-21 1.358696e-83 2.326087e-231 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.543911e+04 1.000000e+00 6.932990e-21 8.221649e-83 3.453608e-230 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.730307e+04 1.000000e+00 5.196507e-15 4.585153e-71 1.449782e-212 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.899822e+04 1.000000e+00 6.273292e-15 6.708075e-71 2.552795e-212 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.050110e+04 1.000000e+00 7.431034e-15 9.396552e-71 4.232759e-212 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.184592e+04 1.000000e+00 9.042146e-15 1.404853e-70 7.688378e-212 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.308864e+04 1.000000e+00 1.114341e-14 2.131783e-70 1.437984e-211 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
