#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
1808.80 1.92e-16 4.60e-08 1.55e-02 9.67e-01 1.75e-02 
1919.29 7.06e-17 1.66e-08 8.20e-03 9.57e-01 3.44e-02 
2160.92 2.72e-17 6.91e-09 4.76e-03 9.30e-01 6.55e-02 
2292.92 1.53e-17 3.93e-09 3.45e-03 9.14e-01 8.21e-02 
2432.98 9.09e-18 2.09e-09 2.26e-03 8.76e-01 1.22e-01 
2581.60 4.55e-18 1.13e-09 1.50e-03 8.16e-01 1.83e-01 
2739.29 2.71e-18 7.60e-10 1.16e-03 7.80e-01 2.19e-01 
2906.62 2.45e-18 7.11e-10 1.13e-03 7.78e-01 2.20e-01 
3084.17 2.25e-18 6.97e-10 1.15e-03 7.90e-01 2.09e-01 
3272.56 1.93e-18 6.49e-10 1.13e-03 7.94e-01 2.05e-01 
3472.46 2.05e-18 7.49e-10 1.28e-03 8.24e-01 1.75e-01 
3684.57 2.24e-18 9.01e-10 1.48e-03 8.57e-01 1.41e-01 
3909.64 2.22e-18 1.02e-09 1.66e-03 8.81e-01 1.17e-01 
4148.46 2.67e-18 1.24e-09 1.87e-03 9.00e-01 9.83e-02 
4401.86 4.33e-18 1.94e-09 2.45e-03 9.22e-01 7.60e-02 
4670.75 7.07e-18 3.14e-09 3.30e-03 9.44e-01 5.31e-02 
4956.05 7.46e-18 3.76e-09 3.79e-03 9.54e-01 4.19e-02 
5258.79 7.95e-18 4.44e-09 4.29e-03 9.60e-01 3.59e-02 
5580.02 1.23e-17 7.13e-09 5.86e-03 9.71e-01 2.31e-02 
5920.87 1.88e-17 1.18e-08 8.10e-03 9.78e-01 1.37e-02 
6282.54 3.11e-17 2.04e-08 1.15e-02 9.80e-01 8.95e-03 
6666.30 6.19e-17 4.27e-08 1.80e-02 9.77e-01 4.55e-03 
7073.50 1.61e-16 1.10e-07 3.18e-02 9.66e-01 2.09e-03 
7505.58 4.17e-16 3.07e-07 5.89e-02 9.40e-01 8.42e-04 
7964.05 1.72e-15 1.29e-06 1.36e-01 8.64e-01 2.16e-04 
8450.53 1.03e-14 7.75e-06 3.55e-01 6.45e-01 2.79e-05 
8966.72 5.67e-14 4.12e-05 7.04e-01 2.96e-01 1.49e-06 
9514.44 2.78e-13 2.10e-04 9.45e-01 5.46e-02 1.10e-08 
10095.62 2.08e-12 1.55e-03 9.95e-01 3.14e-03 1.02e-11 
10712.30 2.98e-11 2.14e-02 9.79e-01 6.72e-05 8.16e-16 
11366.65 4.95e-10 3.82e-01 6.18e-01 9.03e-08 8.76e-22 
12061.10 1.17e-09 9.66e-01 3.37e-02 1.09e-11 7.27e-23 
12793.43 1.18e-09 1.00e+00 2.12e-04 5.17e-17 4.49e-24 
13528.61 1.15e-09 1.00e+00 9.70e-07 5.88e-23 3.72e-25 
14194.74 1.26e-09 1.00e+00 5.59e-09 2.55e-24 5.68e-25 
14757.77 1.36e-09 1.00e+00 1.05e-10 1.40e-24 2.84e-25 
15240.48 1.79e-09 1.00e+00 3.45e-12 7.65e-25 1.58e-25 
15646.99 2.94e-09 1.00e+00 1.44e-13 2.95e-25 5.42e-26 
15960.30 5.82e-09 1.00e+00 5.45e-15 8.60e-26 1.34e-26 
16187.41 8.62e-09 1.00e+00 3.77e-16 5.06e-26 7.76e-27 
16354.17 1.07e-08 1.00e+00 4.25e-17 4.02e-26 5.58e-27 
16484.18 1.10e-08 1.00e+00 1.12e-17 6.79e-26 1.20e-26 
16593.12 1.17e-08 1.00e+00 2.01e-18 5.44e-26 8.03e-27 
16691.99 1.21e-08 1.00e+00 5.34e-19 4.44e-26 6.07e-27 
16788.59 1.16e-08 1.00e+00 2.86e-19 6.24e-26 6.31e-27 
16888.37 1.30e-08 1.00e+00 9.03e-20 5.84e-26 5.81e-27 
16998.79 1.22e-08 1.00e+00 3.22e-20 8.74e-26 7.31e-27 
17146.37 1.34e-08 1.00e+00 6.51e-21 5.17e-26 3.98e-27 
17415.23 1.50e-08 1.00e+00 5.53e-22 3.33e-26 1.69e-27 
17888.12 1.82e-08 1.00e+00 1.37e-23 1.26e-26 5.31e-28 
18532.37 2.41e-08 1.00e+00 1.77e-25 2.56e-27 1.20e-28 
19260.76 3.11e-08 1.00e+00 5.17e-26 9.65e-28 3.89e-29 
20034.10 3.18e-08 1.00e+00 3.92e-26 6.20e-28 1.98e-29 
20838.00 3.41e-08 1.00e+00 3.36e-26 4.97e-28 1.50e-29 
21647.97 2.79e-08 1.00e+00 4.01e-26 6.05e-28 1.26e-29 
22447.94 2.88e-08 1.00e+00 4.56e-26 6.10e-28 1.13e-29 
23245.88 3.04e-08 1.00e+00 5.12e-26 6.51e-28 9.68e-30 
24052.47 3.26e-08 1.00e+00 5.22e-26 6.52e-28 9.44e-30 
24867.72 3.41e-08 1.00e+00 5.12e-26 5.75e-28 5.47e-30 
25698.86 3.92e-08 1.00e+00 4.86e-26 5.18e-28 3.57e-30 
26587.16 4.11e-08 1.00e+00 5.18e-26 5.55e-28 4.64e-30 
27637.54 3.87e-08 1.00e+00 6.21e-26 6.41e-28 2.75e-30 
28986.97 4.30e-08 1.00e+00 7.41e-26 5.75e-28 1.33e-30 
#TIME: 6.10 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 9.26e-14 1.98e-05 4.45e-01 5.55e-01 8.18e-05 
999.11 1.14e-14 2.74e-06 1.67e-01 8.32e-01 6.96e-04 
1267.34 2.32e-15 5.43e-07 6.59e-02 9.31e-01 2.70e-03 
1514.05 6.77e-16 1.57e-07 3.18e-02 9.61e-01 6.86e-03 
1808.80 2.20e-16 5.38e-08 1.71e-02 9.68e-01 1.44e-02 
1919.29 8.43e-17 2.00e-08 9.20e-03 9.61e-01 3.03e-02 
2160.92 3.39e-17 8.53e-09 5.44e-03 9.37e-01 5.72e-02 
2292.92 1.86e-17 4.92e-09 3.99e-03 9.26e-01 7.00e-02 
2432.98 1.19e-17 2.93e-09 2.86e-03 9.08e-01 8.93e-02 
2581.60 6.37e-18 1.66e-09 1.97e-03 8.63e-01 1.35e-01 
2739.29 3.81e-18 1.06e-09 1.48e-03 8.18e-01 1.80e-01 
2906.62 2.86e-18 8.78e-10 1.31e-03 8.09e-01 1.89e-01 
3084.17 2.66e-18 8.75e-10 1.34e-03 8.20e-01 1.79e-01 
3272.56 2.33e-18 8.33e-10 1.34e-03 8.28e-01 1.70e-01 
3472.46 2.53e-18 9.71e-10 1.52e-03 8.53e-01 1.45e-01 
3684.57 2.81e-18 1.17e-09 1.76e-03 8.78e-01 1.21e-01 
3909.64 2.76e-18 1.31e-09 1.96e-03 8.98e-01 1.00e-01 
4148.46 3.36e-18 1.63e-09 2.23e-03 9.16e-01 8.14e-02 
4401.86 5.53e-18 2.56e-09 2.94e-03 9.37e-01 6.00e-02 
4670.75 8.72e-18 4.06e-09 3.91e-03 9.55e-01 4.12e-02 
4956.05 9.33e-18 4.87e-09 4.47e-03 9.61e-01 3.47e-02 
5258.79 1.04e-17 5.97e-09 5.21e-03 9.67e-01 2.75e-02 
5580.02 1.58e-17 9.64e-09 7.11e-03 9.76e-01 1.69e-02 
5920.87 2.43e-17 1.58e-08 9.77e-03 9.79e-01 1.13e-02 
6282.54 4.13e-17 2.81e-08 1.40e-02 9.79e-01 6.52e-03 
6666.30 8.22e-17 5.86e-08 2.19e-02 9.74e-01 3.62e-03 
7073.50 2.08e-16 1.52e-07 3.90e-02 9.60e-01 1.42e-03 
7505.58 5.83e-16 4.43e-07 7.36e-02 9.26e-01 5.70e-04 
7964.05 2.32e-15 1.85e-06 1.68e-01 8.32e-01 1.44e-04 
8450.53 1.40e-14 1.08e-05 4.17e-01 5.83e-01 2.15e-05 
8966.72 6.78e-14 5.31e-05 7.64e-01 2.36e-01 1.24e-06 
9514.44 3.30e-13 2.63e-04 9.62e-01 3.81e-02 4.57e-09 
10095.62 2.58e-12 1.99e-03 9.96e-01 2.38e-03 4.56e-12 
10712.30 3.83e-11 2.86e-02 9.71e-01 3.67e-05 1.58e-16 
11366.65 5.65e-10 4.55e-01 5.45e-01 4.94e-08 6.73e-22 
12061.10 1.14e-09 9.74e-01 2.60e-02 5.01e-12 6.07e-23 
12793.43 1.14e-09 1.00e+00 1.41e-04 1.96e-17 5.28e-24 
13528.61 1.12e-09 1.00e+00 6.53e-07 2.72e-23 9.99e-25 
14194.74 1.24e-09 1.00e+00 3.79e-09 2.66e-24 6.28e-25 
14757.77 1.31e-09 1.00e+00 8.30e-11 1.76e-24 3.76e-25 
15240.48 1.74e-09 1.00e+00 2.66e-12 7.92e-25 1.30e-25 
15646.99 2.94e-09 1.00e+00 1.06e-13 2.76e-25 4.03e-26 
15960.30 5.61e-09 1.00e+00 3.99e-15 8.51e-26 1.22e-26 
16187.41 8.58e-09 1.00e+00 2.61e-16 4.46e-26 5.77e-27 
16354.17 1.07e-08 1.00e+00 3.31e-17 3.94e-26 4.55e-27 
16484.18 1.19e-08 1.00e+00 4.85e-18 2.21e-26 1.51e-27 
16593.12 1.07e-08 1.00e+00 2.45e-18 7.78e-26 7.84e-27 
16691.99 1.04e-08 1.00e+00 7.19e-19 9.67e-26 1.25e-26 
16788.59 1.15e-08 1.00e+00 2.21e-19 5.53e-26 5.40e-27 
16888.37 1.15e-08 1.00e+00 9.48e-20 7.87e-26 7.71e-27 
16998.79 1.20e-08 1.00e+00 1.56e-20 3.38e-26 1.98e-27 
17146.37 1.31e-08 1.00e+00 4.34e-21 4.47e-26 4.18e-27 
17415.23 1.44e-08 1.00e+00 3.01e-22 2.46e-26 2.20e-27 
17888.12 1.67e-08 1.00e+00 7.99e-24 6.92e-27 3.95e-28 
18532.37 2.19e-08 1.00e+00 2.16e-25 3.46e-27 1.91e-28 
19260.76 2.75e-08 1.00e+00 6.07e-26 1.28e-27 6.31e-29 
20034.10 2.82e-08 1.00e+00 4.71e-26 9.11e-28 3.80e-29 
20838.00 2.67e-08 1.00e+00 4.46e-26 8.67e-28 3.38e-29 
21647.97 2.82e-08 1.00e+00 4.26e-26 6.03e-28 1.52e-29 
22447.94 2.60e-08 1.00e+00 5.24e-26 7.37e-28 1.69e-29 
23245.88 2.65e-08 1.00e+00 6.04e-26 8.20e-28 1.30e-29 
24052.47 2.64e-08 1.00e+00 6.32e-26 8.27e-28 1.18e-29 
24867.72 3.24e-08 1.00e+00 5.72e-26 6.55e-28 6.23e-30 
25698.86 3.38e-08 1.00e+00 5.85e-26 6.87e-28 7.11e-30 
26587.16 3.67e-08 1.00e+00 6.07e-26 6.53e-28 3.65e-30 
27637.54 3.71e-08 1.00e+00 6.86e-26 6.46e-28 2.83e-30 
28986.97 4.32e-08 1.00e+00 7.63e-26 6.23e-28 3.20e-30 
#TIME: 6.23 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 8.93e-14 2.02e-05 4.59e-01 5.41e-01 5.06e-05 
999.11 1.10e-14 2.73e-06 1.68e-01 8.31e-01 6.51e-04 
1267.34 2.52e-15 5.99e-07 7.00e-02 9.28e-01 2.35e-03 
1514.05 7.69e-16 1.80e-07 3.45e-02 9.60e-01 5.93e-03 
1808.80 2.47e-16 6.19e-08 1.87e-02 9.69e-01 1.25e-02 
1919.29 9.72e-17 2.43e-08 1.04e-02 9.66e-01 2.41e-02 
2160.92 3.93e-17 1.03e-08 6.18e-03 9.48e-01 4.63e-02 
2292.92 2.21e-17 6.09e-09 4.57e-03 9.37e-01 5.88e-02 
2432.98 1.49e-17 3.96e-09 3.51e-03 9.27e-01 6.91e-02 
2581.60 8.87e-18 2.35e-09 2.50e-03 8.94e-01 1.03e-01 
2739.29 5.65e-18 1.60e-09 1.95e-03 8.63e-01 1.35e-01 
2906.62 3.54e-18 1.11e-09 1.53e-03 8.30e-01 1.68e-01 
3084.17 3.32e-18 1.11e-09 1.57e-03 8.41e-01 1.58e-01 
3272.56 2.94e-18 1.07e-09 1.59e-03 8.51e-01 1.48e-01 
3472.46 3.20e-18 1.26e-09 1.81e-03 8.75e-01 1.23e-01 
3684.57 3.55e-18 1.53e-09 2.10e-03 8.99e-01 9.86e-02 
3909.64 3.21e-18 1.63e-09 2.25e-03 9.15e-01 8.25e-02 
4148.46 4.37e-18 2.16e-09 2.69e-03 9.32e-01 6.52e-02 
4401.86 7.09e-18 3.39e-09 3.51e-03 9.50e-01 4.68e-02 
4670.75 1.05e-17 5.16e-09 4.56e-03 9.62e-01 3.39e-02 
4956.05 1.23e-17 6.57e-09 5.43e-03 9.67e-01 2.71e-02 
5258.79 1.40e-17 8.22e-09 6.40e-03 9.73e-01 2.01e-02 
5580.02 1.98e-17 1.28e-08 8.53e-03 9.79e-01 1.29e-02 
5920.87 3.20e-17 2.16e-08 1.19e-02 9.80e-01 8.41e-03 
6282.54 5.17e-17 3.77e-08 1.69e-02 9.78e-01 4.78e-03 
6666.30 1.14e-16 8.27e-08 2.71e-02 9.70e-01 2.63e-03 
7073.50 2.79e-16 2.11e-07 4.76e-02 9.51e-01 1.19e-03 
7505.58 7.93e-16 6.34e-07 9.15e-02 9.08e-01 3.68e-04 
7964.05 3.20e-15 2.63e-06 2.05e-01 7.95e-01 9.88e-05 
8450.53 1.89e-14 1.51e-05 4.89e-01 5.11e-01 1.07e-05 
8966.72 8.32e-14 6.74e-05 8.10e-01 1.90e-01 2.66e-07 
9514.44 3.95e-13 3.27e-04 9.71e-01 2.86e-02 1.86e-09 
10095.62 3.19e-12 2.58e-03 9.96e-01 1.32e-03 1.44e-12 
10712.30 4.81e-11 3.78e-02 9.62e-01 1.25e-04 1.11e-15 
11366.65 6.40e-10 5.39e-01 4.61e-01 2.52e-08 6.14e-22 
12061.10 1.12e-09 9.85e-01 1.48e-02 1.74e-12 4.89e-23 
12793.43 1.09e-09 1.00e+00 2.27e-04 1.72e-17 1.30e-23 
13528.61 1.10e-09 1.00e+00 4.22e-07 1.40e-23 1.18e-24 
14194.74 1.23e-09 1.00e+00 2.60e-09 2.91e-24 6.98e-25 
14757.77 1.32e-09 1.00e+00 5.35e-11 1.56e-24 2.83e-25 
15240.48 1.72e-09 1.00e+00 1.97e-12 8.41e-25 1.45e-25 
15646.99 2.80e-09 1.00e+00 9.47e-14 3.72e-25 6.24e-26 
15960.30 5.48e-09 1.00e+00 3.20e-15 1.04e-25 1.66e-26 
16187.41 8.00e-09 1.00e+00 2.65e-16 7.44e-26 1.19e-26 
16354.17 9.46e-09 1.00e+00 3.99e-17 6.86e-26 9.25e-27 
16484.18 1.05e-08 1.00e+00 5.87e-18 7.14e-26 1.73e-26 
16593.12 1.02e-08 1.00e+00 2.38e-18 6.91e-26 5.48e-27 
16691.99 1.11e-08 1.00e+00 5.07e-19 5.56e-26 3.95e-27 
16788.59 1.01e-08 1.00e+00 3.25e-19 1.24e-25 1.45e-26 
16888.37 1.13e-08 1.00e+00 6.46e-20 5.65e-26 4.66e-27 
16998.79 1.14e-08 1.00e+00 1.99e-20 1.02e-25 1.88e-26 
17146.37 1.23e-08 1.00e+00 7.08e-21 1.25e-25 1.51e-26 
17415.23 1.34e-08 1.00e+00 4.37e-22 7.39e-26 1.02e-26 
17888.12 1.67e-08 1.00e+00 6.41e-24 1.02e-26 1.09e-27 
18532.37 2.20e-08 1.00e+00 2.08e-25 2.94e-27 1.36e-28 
19260.76 2.83e-08 1.00e+00 6.59e-26 1.32e-27 4.98e-29 
20034.10 3.01e-08 1.00e+00 4.66e-26 7.44e-28 2.26e-29 
20838.00 2.53e-08 1.00e+00 5.04e-26 8.32e-28 2.12e-29 
21647.97 2.53e-08 1.00e+00 4.79e-26 7.20e-28 1.63e-29 
22447.94 2.74e-08 1.00e+00 5.42e-26 6.99e-28 1.19e-29 
23245.88 2.37e-08 1.00e+00 6.93e-26 9.38e-28 1.74e-29 
24052.47 2.90e-08 1.00e+00 6.48e-26 7.39e-28 7.96e-30 
24867.72 2.98e-08 1.00e+00 6.62e-26 8.09e-28 1.08e-29 
25698.86 3.24e-08 1.00e+00 6.58e-26 7.38e-28 9.44e-30 
26587.16 3.42e-08 1.00e+00 6.77e-26 7.09e-28 5.31e-30 
27637.54 3.42e-08 1.00e+00 7.53e-26 7.22e-28 3.87e-30 
28986.97 3.24e-08 1.00e+00 1.05e-25 1.15e-27 7.19e-30 
#TIME: 6.36 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 6.75e-14 1.66e-05 4.23e-01 5.77e-01 9.76e-05 
999.11 1.10e-14 2.78e-06 1.70e-01 8.29e-01 5.96e-04 
1267.34 2.68e-15 6.55e-07 7.42e-02 9.24e-01 1.88e-03 
1514.05 8.34e-16 2.02e-07 3.72e-02 9.58e-01 4.89e-03 
1808.80 2.76e-16 7.15e-08 2.04e-02 9.69e-01 1.07e-02 
1919.29 1.21e-16 3.03e-08 1.20e-02 9.67e-01 2.06e-02 
2160.92 4.75e-17 1.26e-08 7.07e-03 9.54e-01 3.89e-02 
2292.92 2.60e-17 7.48e-09 5.21e-03 9.45e-01 5.01e-02 
2432.98 1.74e-17 4.95e-09 4.09e-03 9.37e-01 5.88e-02 
2581.60 1.13e-17 3.18e-09 3.09e-03 9.19e-01 7.75e-02 
2739.29 8.04e-18 2.30e-09 2.50e-03 8.98e-01 9.99e-02 
2906.62 4.93e-18 1.55e-09 1.94e-03 8.63e-01 1.35e-01 
3084.17 4.10e-18 1.42e-09 1.85e-03 8.65e-01 1.33e-01 
3272.56 3.72e-18 1.41e-09 1.89e-03 8.75e-01 1.23e-01 
3472.46 3.95e-18 1.63e-09 2.14e-03 8.96e-01 1.02e-01 
3684.57 4.45e-18 1.98e-09 2.49e-03 9.17e-01 8.07e-02 
3909.64 4.39e-18 2.16e-09 2.68e-03 9.26e-01 7.12e-02 
4148.46 5.55e-18 2.85e-09 3.22e-03 9.46e-01 5.04e-02 
4401.86 8.58e-18 4.37e-09 4.15e-03 9.60e-01 3.61e-02 
4670.75 1.31e-17 6.67e-09 5.36e-03 9.67e-01 2.80e-02 
4956.05 1.67e-17 9.09e-09 6.67e-03 9.73e-01 1.98e-02 
5258.79 1.78e-17 1.11e-08 7.76e-03 9.78e-01 1.47e-02 
5580.02 2.59e-17 1.72e-08 1.03e-02 9.79e-01 1.04e-02 
5920.87 4.21e-17 2.95e-08 1.45e-02 9.79e-01 6.07e-03 
6282.54 6.84e-17 5.13e-08 2.05e-02 9.76e-01 3.94e-03 
6666.30 1.49e-16 1.15e-07 3.33e-02 9.65e-01 1.76e-03 
7073.50 3.94e-16 3.04e-07 5.93e-02 9.40e-01 7.93e-04 
7505.58 1.10e-15 9.02e-07 1.13e-01 8.87e-01 2.81e-04 
7964.05 4.60e-15 3.86e-06 2.53e-01 7.47e-01 5.90e-05 
8450.53 2.42e-14 2.04e-05 5.58e-01 4.42e-01 5.90e-06 
8966.72 1.05e-13 8.68e-05 8.52e-01 1.48e-01 1.42e-07 
9514.44 4.79e-13 4.11e-04 9.80e-01 1.93e-02 7.12e-10 
10095.62 3.83e-12 3.25e-03 9.96e-01 9.79e-04 6.37e-13 
10712.30 6.11e-11 5.01e-02 9.50e-01 5.10e-05 2.60e-16 
11366.65 6.87e-10 6.07e-01 3.93e-01 1.31e-08 6.57e-22 
12061.10 1.07e-09 9.89e-01 1.08e-02 7.69e-13 6.64e-23 
12793.43 1.05e-09 1.00e+00 6.99e-05 3.43e-18 3.17e-24 
13528.61 1.06e-09 1.00e+00 2.93e-07 1.17e-23 2.04e-24 
14194.74 1.21e-09 1.00e+00 1.80e-09 3.17e-24 7.39e-25 
14757.77 1.27e-09 1.00e+00 4.13e-11 2.04e-24 4.58e-25 
15240.48 1.70e-09 1.00e+00 1.49e-12 9.41e-25 1.68e-25 
15646.99 2.80e-09 1.00e+00 6.46e-14 3.06e-25 4.11e-26 
15960.30 5.36e-09 1.00e+00 2.59e-15 1.15e-25 1.67e-26 
16187.41 7.93e-09 1.00e+00 1.86e-16 5.62e-26 6.01e-27 
16354.17 9.84e-09 1.00e+00 2.19e-17 3.43e-26 3.00e-27 
16484.18 1.05e-08 1.00e+00 6.10e-18 6.85e-26 5.51e-27 
16593.12 9.88e-09 1.00e+00 2.08e-18 7.09e-26 6.84e-27 
16691.99 9.72e-09 1.00e+00 7.28e-19 1.33e-25 1.76e-26 
16788.59 9.58e-09 1.00e+00 2.22e-19 6.34e-26 3.70e-27 
16888.37 1.07e-08 1.00e+00 7.65e-20 1.11e-25 1.48e-26 
16998.79 1.14e-08 1.00e+00 2.20e-20 9.96e-26 6.83e-27 
17146.37 1.14e-08 1.00e+00 5.39e-21 6.54e-26 3.34e-27 
17415.23 1.29e-08 1.00e+00 4.29e-22 5.67e-26 2.95e-27 
17888.12 1.53e-08 1.00e+00 9.79e-24 2.26e-26 1.89e-27 
18532.37 2.09e-08 1.00e+00 2.11e-25 3.65e-27 2.15e-28 
19260.76 2.58e-08 1.00e+00 7.56e-26 1.58e-27 6.49e-29 
20034.10 2.77e-08 1.00e+00 5.42e-26 1.03e-27 4.35e-29 
20838.00 2.57e-08 1.00e+00 5.17e-26 7.75e-28 1.84e-29 
21647.97 2.43e-08 1.00e+00 5.41e-26 8.14e-28 1.98e-29 
22447.94 2.53e-08 1.00e+00 6.19e-26 8.74e-28 2.00e-29 
23245.88 2.69e-08 1.00e+00 6.93e-26 8.20e-28 9.08e-30 
24052.47 3.40e-08 1.00e+00 5.86e-26 5.94e-28 7.46e-30 
24867.72 2.72e-08 1.00e+00 7.48e-26 9.01e-28 8.99e-30 
25698.86 2.95e-08 1.00e+00 7.40e-26 8.48e-28 1.06e-29 
26587.16 3.35e-08 1.00e+00 7.22e-26 7.34e-28 5.67e-30 
27637.54 3.57e-08 1.00e+00 7.49e-26 6.60e-28 4.64e-30 
28986.97 3.14e-08 1.00e+00 1.15e-25 1.01e-27 1.67e-30 
#TIME: 6.49 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 5.84e-14 1.50e-05 4.04e-01 5.96e-01 1.05e-04 
999.11 1.03e-14 2.72e-06 1.69e-01 8.30e-01 5.17e-04 
1267.34 2.61e-15 6.65e-07 7.52e-02 9.23e-01 1.78e-03 
1514.05 9.40e-16 2.32e-07 4.05e-02 9.55e-01 4.21e-03 
1808.80 3.18e-16 8.46e-08 2.27e-02 9.68e-01 9.03e-03 
1919.29 1.44e-16 3.78e-08 1.39e-02 9.70e-01 1.62e-02 
2160.92 6.08e-17 1.64e-08 8.40e-03 9.61e-01 3.01e-02 
2292.92 3.20e-17 9.37e-09 6.00e-03 9.51e-01 4.32e-02 
2432.98 1.98e-17 5.97e-09 4.64e-03 9.44e-01 5.11e-02 
2581.60 1.39e-17 4.19e-09 3.72e-03 9.35e-01 6.14e-02 
2739.29 1.03e-17 3.12e-09 3.08e-03 9.22e-01 7.52e-02 
2906.62 6.99e-18 2.22e-09 2.47e-03 8.97e-01 1.00e-01 
3084.17 5.80e-18 1.99e-09 2.34e-03 8.92e-01 1.05e-01 
3272.56 4.87e-18 1.87e-09 2.28e-03 8.98e-01 1.00e-01 
3472.46 5.01e-18 2.11e-09 2.53e-03 9.14e-01 8.34e-02 
3684.57 5.61e-18 2.58e-09 2.95e-03 9.33e-01 6.42e-02 
3909.64 5.66e-18 2.88e-09 3.22e-03 9.44e-01 5.28e-02 
4148.46 6.57e-18 3.62e-09 3.77e-03 9.57e-01 3.94e-02 
4401.86 1.07e-17 5.66e-09 4.90e-03 9.65e-01 3.04e-02 
4670.75 1.73e-17 8.99e-09 6.51e-03 9.72e-01 2.14e-02 
4956.05 2.10e-17 1.22e-08 8.08e-03 9.78e-01 1.42e-02 
5258.79 2.26e-17 1.48e-08 9.33e-03 9.79e-01 1.16e-02 
5580.02 3.49e-17 2.38e-08 1.27e-02 9.80e-01 7.56e-03 
5920.87 5.36e-17 3.99e-08 1.75e-02 9.78e-01 4.55e-03 
6282.54 9.33e-17 7.20e-08 2.52e-02 9.72e-01 2.86e-03 
6666.30 1.97e-16 1.58e-07 4.07e-02 9.58e-01 1.42e-03 
7073.50 5.29e-16 4.31e-07 7.36e-02 9.26e-01 5.34e-04 
7505.58 1.50e-15 1.28e-06 1.39e-01 8.61e-01 1.79e-04 
7964.05 6.06e-15 5.45e-06 3.07e-01 6.93e-01 3.24e-05 
8450.53 3.20e-14 2.76e-05 6.28e-01 3.72e-01 3.33e-06 
8966.72 1.25e-13 1.10e-04 8.91e-01 1.09e-01 5.17e-08 
9514.44 5.70e-13 5.17e-04 9.85e-01 1.41e-02 3.37e-10 
10095.62 4.87e-12 4.23e-03 9.95e-01 8.15e-04 3.01e-13 
10712.30 7.85e-11 6.70e-02 9.33e-01 3.73e-06 2.17e-18 
11366.65 7.38e-10 6.77e-01 3.23e-01 6.53e-09 6.68e-22 
12061.10 1.02e-09 9.88e-01 1.18e-02 4.98e-13 1.03e-22 
12793.43 1.01e-09 1.00e+00 5.06e-05 1.40e-18 6.92e-24 
13528.61 1.02e-09 1.00e+00 2.08e-07 1.14e-23 2.54e-24 
14194.74 1.17e-09 1.00e+00 1.31e-09 3.63e-24 8.40e-25 
14757.77 1.27e-09 1.00e+00 2.94e-11 2.04e-24 3.76e-25 
15240.48 1.65e-09 1.00e+00 1.14e-12 1.04e-24 1.81e-25 
15646.99 2.81e-09 1.00e+00 4.49e-14 3.41e-25 6.07e-26 
15960.30 5.15e-09 1.00e+00 2.13e-15 1.30e-25 1.84e-26 
16187.41 7.76e-09 1.00e+00 1.55e-16 7.38e-26 1.09e-26 
16354.17 9.52e-09 1.00e+00 2.12e-17 6.89e-26 1.34e-26 
16484.18 1.06e-08 1.00e+00 3.43e-18 4.01e-26 3.74e-27 
16593.12 9.41e-09 1.00e+00 1.48e-18 6.30e-26 6.61e-27 
16691.99 9.78e-09 1.00e+00 4.69e-19 6.38e-26 3.93e-27 
16788.59 1.01e-08 1.00e+00 1.61e-19 7.36e-26 9.50e-27 
16888.37 9.47e-09 1.00e+00 1.22e-19 1.75e-25 1.39e-26 
16998.79 1.07e-08 1.00e+00 1.94e-20 9.15e-26 7.38e-27 
17146.37 1.12e-08 1.00e+00 5.20e-21 9.35e-26 1.02e-26 
17415.23 1.27e-08 1.00e+00 3.60e-22 5.39e-26 4.11e-27 
17888.12 1.51e-08 1.00e+00 8.86e-24 1.48e-26 6.41e-28 
18532.37 2.04e-08 1.00e+00 2.42e-25 4.42e-27 2.27e-28 
19260.76 2.46e-08 1.00e+00 8.44e-26 1.71e-27 6.79e-29 
