#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
24052.47 1.75e-07 1.00e+00 4.83e-27 5.14e-29 4.71e-31 
24867.72 1.90e-07 1.00e+00 4.88e-27 5.45e-29 7.19e-31 
25698.86 2.10e-07 1.00e+00 4.98e-27 4.62e-29 2.29e-31 
26587.16 2.05e-07 1.00e+00 5.79e-27 5.39e-29 1.85e-31 
27637.54 2.46e-07 1.00e+00 5.58e-27 3.99e-29 1.28e-31 
28986.97 1.43e-07 1.00e+00 1.31e-26 1.27e-28 4.94e-31 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 3.86e-12 3.40e-04 9.16e-01 8.32e-02 4.98e-07 
999.11 3.88e-13 3.33e-05 4.88e-01 5.11e-01 1.00e-04 
1267.34 1.34e-14 1.37e-06 9.99e-02 8.98e-01 2.25e-03 
1514.05 1.08e-15 1.17e-07 2.41e-02 9.62e-01 1.36e-02 
1808.80 1.04e-16 1.34e-08 6.63e-03 9.28e-01 6.50e-02 
1919.29 1.63e-17 2.19e-09 2.07e-03 7.97e-01 2.01e-01 
2160.92 2.73e-18 3.08e-10 5.24e-04 5.28e-01 4.72e-01 
2292.92 4.84e-19 6.94e-11 1.79e-04 3.59e-01 6.40e-01 
2432.98 2.07e-19 2.94e-11 9.71e-05 2.74e-01 7.26e-01 
2581.60 1.10e-19 1.55e-11 6.17e-05 2.25e-01 7.74e-01 
2739.29 6.05e-20 8.47e-12 3.95e-05 1.79e-01 8.21e-01 
2906.62 4.59e-20 6.40e-12 3.23e-05 1.63e-01 8.37e-01 
3084.17 3.45e-20 5.14e-12 2.82e-05 1.55e-01 8.45e-01 
3272.56 2.63e-20 4.25e-12 2.50e-05 1.48e-01 8.52e-01 
3472.46 2.77e-20 4.79e-12 2.81e-05 1.60e-01 8.40e-01 
3684.57 3.00e-20 5.52e-12 3.18e-05 1.74e-01 8.26e-01 
3909.64 3.33e-20 6.74e-12 3.78e-05 1.94e-01 8.06e-01 
