#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6
5.5800e+03 4.0077e-43 3.9413e-35 4.7181e-27 2.6898e-19 3.7347e-12 6.1440e-06 9.9999e-01
5.9209e+03 3.3491e-43 3.4676e-35 4.3553e-27 2.5746e-19 3.6722e-12 6.1005e-06 9.9999e-01
6.2825e+03 3.2090e-43 3.4940e-35 4.5659e-27 2.7481e-19 3.9230e-12 6.3229e-06 9.9999e-01
6.6663e+03 3.7134e-43 4.1420e-35 5.4866e-27 3.2645e-19 4.5169e-12 6.8103e-06 9.9999e-01
7.0735e+03 4.9326e-43 5.6021e-35 7.4529e-27 4.3044e-19 5.6284e-12 7.6477e-06 9.9999e-01
7.5056e+03 6.8944e-43 8.1952e-35 1.1140e-26 6.2438e-19 7.6118e-12 8.9894e-06 9.9999e-01
7.9641e+03 1.1981e-42 1.4620e-34 1.9880e-26 1.0481e-18 1.1464e-11 1.1200e-05 9.9999e-01
8.4505e+03 2.9133e-42 3.4929e-34 4.5365e-26 2.1337e-18 1.9773e-11 1.4995e-05 9.9998e-01
8.9668e+03 1.0583e-41 1.2284e-33 1.4837e-25 5.8983e-18 4.3022e-11 2.2808e-05 9.9998e-01
9.5145e+03 7.6509e-41 8.3530e-33 8.9476e-25 2.7379e-17 1.3866e-10 4.3109e-05 9.9996e-01
1.0096e+04 1.6113e-39 1.5549e-31 1.3525e-23 2.7389e-16 7.9483e-10 1.1216e-04 9.9989e-01
1.0712e+04 1.6777e-37 1.3557e-29 8.6252e-22 9.2806e-15 1.1542e-08 4.9269e-04 9.9951e-01
1.1367e+04 3.2571e-34 1.9637e-26 7.3507e-19 2.7757e-12 8.7354e-07 5.4734e-03 9.9453e-01
1.2062e+04 2.5466e-29 1.0567e-21 1.7533e-14 1.3378e-08 5.3290e-04 1.8222e-01 8.1725e-01
1.2794e+04 1.2819e-24 3.8420e-17 2.3282e-10 2.5904e-05 8.8164e-02 8.6939e-01 4.2420e-02
1.3528e+04 4.0732e-21 9.6113e-14 1.9518e-07 2.9757e-03 8.0998e-01 1.8696e-01 7.9240e-05
1.4194e+04 3.7331e-18 6.9460e-11 3.8063e-05 6.0780e-02 9.3647e-01 2.7137e-03 4.8829e-09
1.4758e+04 4.4728e-15 6.3423e-08 6.7266e-03 6.8877e-01 3.0450e-01 3.4692e-06 6.6743e-15
1.5240e+04 2.5710e-12 1.8686e-05 2.2424e-01 7.7154e-01 4.2036e-03 5.4721e-11 2.7565e-23
1.5647e+04 3.2903e-10 8.7205e-04 9.1753e-01 8.1593e-02 3.7514e-06 3.3513e-17 2.5270e-33
1.5960e+04 2.3174e-08 1.5558e-02 9.8305e-01 1.3923e-03 2.7635e-10 6.5047e-25 2.8026e-45
1.6187e+04 2.0588e-06 2.7736e-01 7.2263e-01 9.2317e-06 3.4585e-15 5.9598e-34 0.0000e+00
1.6354e+04 3.9512e-05 9.3018e-01 6.9781e-02 4.5091e-09 1.3594e-21 4.2039e-45 0.0000e+00
1.6484e+04 2.6783e-04 9.9824e-01 1.4900e-03 2.6696e-13 2.6954e-29 0.0000e+00 0.0000e+00
1.6593e+04 1.2408e-03 9.9872e-01 4.3176e-05 3.4407e-17 2.0388e-36 0.0000e+00 0.0000e+00
1.6692e+04 3.8308e-03 9.9617e-01 2.6516e-06 2.8361e-20 4.3146e-42 0.0000e+00 0.0000e+00
1.6788e+04 7.9308e-03 9.9207e-01 3.6022e-07 1.6696e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 1.3379e-02 9.8662e-01 8.0062e-08 3.4511e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 2.1054e-02 9.7895e-01 2.1640e-08 1.1942e-25 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 3.3049e-02 9.6695e-01 5.8884e-09 4.2698e-27 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 6.3888e-02 9.3611e-01 8.8517e-10 3.5045e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 1.9860e-01 8.0140e-01 2.7798e-11 6.7436e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 5.1639e-01 4.8361e-01 4.5336e-13 4.4552e-37 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 7.9998e-01 2.0002e-01 6.6030e-15 3.8529e-41 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 9.3016e-01 6.9840e-02 9.8857e-17 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 9.7540e-01 2.4602e-02 1.9309e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 9.9083e-01 9.1663e-03 5.0874e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 9.9625e-01 3.7511e-03 1.7192e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 9.9835e-01 1.6475e-03 7.2310e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 9.9923e-01 7.7070e-04 3.9423e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 9.9960e-01 4.0292e-04 3.2295e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 9.9976e-01 2.4025e-04 3.9958e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 9.9985e-01 1.5343e-04 5.5584e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 9.9992e-01 8.1538e-05 3.3873e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 9.9997e-01 2.9223e-05 3.8334e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 9.9997e-01 3.4838e-05 1.4887e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 9.9991e-01 8.6175e-05 3.8732e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 9.9959e-01 4.1314e-04 8.4504e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 9.9833e-01 1.6687e-03 2.2671e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 9.9497e-01 5.0345e-03 4.2733e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 9.9196e-01 8.0396e-03 1.3148e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 9.9274e-01 7.2622e-03 6.1338e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 9.9635e-01 3.6455e-03 3.7653e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 9.9891e-01 1.0852e-03 4.1105e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 9.9976e-01 2.4018e-04 1.6773e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 9.9994e-01 5.7476e-05 8.8147e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 9.9995e-01 5.1473e-05 3.8347e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 9.9994e-01 6.0782e-05 4.2431e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 9.9992e-01 7.5157e-05 5.4952e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 9.9990e-01 9.6584e-05 8.1016e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 9.9987e-01 1.2588e-04 1.2540e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 9.9984e-01 1.6466e-04 1.9592e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 9.9978e-01 2.1597e-04 3.0913e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 9.9972e-01 2.8375e-04 4.9045e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 9.9963e-01 3.7308e-04 7.8096e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 9.9951e-01 4.8845e-04 1.2327e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 9.9936e-01 6.3757e-04 1.9429e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 9.9918e-01 8.2289e-04 2.9935e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 9.9895e-01 1.0525e-03 4.5506e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 9.9867e-01 1.3266e-03 6.7482e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 9.9836e-01 1.6414e-03 9.6893e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 9.9801e-01 1.9887e-03 1.3402e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 9.9765e-01 2.3545e-03 1.7826e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 9.9728e-01 2.7190e-03 2.2721e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
