#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
1.538107E+04 2.039223E+37 5.796418E+37 6.386894E+37 4.726695E+37
1.533507E+04 2.061536E+37 5.855947E+37 6.456383E+37 4.763421E+37
1.528935E+04 2.083435E+37 5.915957E+37 6.525564E+37 4.826431E+37
1.524390E+04 2.105271E+37 5.975725E+37 6.594980E+37 4.901157E+37
1.519872E+04 2.127166E+37 6.036837E+37 6.655741E+37 4.925561E+37
1.515381E+04 2.148920E+37 6.097483E+37 6.718036E+37 4.989346E+37
1.510916E+04 2.170896E+37 6.158654E+37 6.790364E+37 5.038672E+37
1.506478E+04 2.192804E+37 6.221331E+37 6.865416E+37 5.107142E+37
1.502065E+04 2.214824E+37 6.284413E+37 6.944854E+37 5.181203E+37
1.497679E+04 2.237368E+37 6.347758E+37 7.026683E+37 5.242511E+37
1.493317E+04 2.260024E+37 6.411549E+37 7.108466E+37 5.310800E+37
1.488982E+04 2.282846E+37 6.476449E+37 7.182754E+37 5.387555E+37
1.484671E+04 2.305769E+37 6.541168E+37 7.259612E+37 5.447546E+37
1.480385E+04 2.329002E+37 6.606657E+37 7.348938E+37 5.474356E+37
1.476124E+04 2.352254E+37 6.672843E+37 7.435749E+37 5.466366E+37
1.471887E+04 2.375835E+37 6.740334E+37 7.528459E+37 5.508031E+37
1.467674E+04 2.399783E+37 6.807242E+37 7.621097E+37 5.561424E+37
1.463486E+04 2.423958E+37 6.874024E+37 7.714154E+37 5.599946E+37
1.459321E+04 2.447792E+37 6.940504E+37 7.812145E+37 5.589232E+37
1.455180E+04 2.471662E+37 7.007010E+37 7.900022E+37 5.615236E+37
1.451063E+04 2.495198E+37 7.073185E+37 7.988976E+37 5.670282E+37
1.446969E+04 2.518627E+37 7.140741E+37 8.081672E+37 5.785943E+37
1.442897E+04 2.542205E+37 7.208620E+37 8.171748E+37 5.916599E+37
1.438849E+04 2.566210E+37 7.276698E+37 8.251525E+37 5.969682E+37
1.434823E+04 2.590364E+37 7.345079E+37 8.326509E+37 6.079376E+37
1.430820E+04 2.614231E+37 7.413746E+37 8.396034E+37 6.132727E+37
1.426839E+04 2.638166E+37 7.482056E+37 8.445617E+37 6.186941E+37
1.422880E+04 2.662091E+37 7.551162E+37 8.491878E+37 6.270220E+37
1.418943E+04 2.686388E+37 7.620758E+37 8.532116E+37 6.295619E+37
1.415028E+04 2.710844E+37 7.690446E+37 8.581378E+37 6.301981E+37
1.411134E+04 2.735488E+37 7.760985E+37 8.634849E+37 6.328643E+37
1.407261E+04 2.760226E+37 7.832255E+37 8.701260E+37 6.392258E+37
1.403410E+04 2.785240E+37 7.902938E+37 8.761716E+37 6.411337E+37
1.399580E+04 2.810413E+37 7.974426E+37 8.821979E+37 6.452230E+37
1.395771E+04 2.835541E+37 8.046970E+37 8.904579E+37 6.481269E+37
1.391982E+04 2.860757E+37 8.119629E+37 9.012841E+37 6.537847E+37
1.388214E+04 2.886558E+37 8.192717E+37 9.133012E+37 6.623682E+37
1.384466E+04 2.912338E+37 8.264536E+37 9.234869E+37 6.743444E+37
1.380739E+04 2.938118E+37 8.339393E+37 9.320245E+37 6.825880E+37
1.377031E+04 2.963656E+37 8.413586E+37 9.415932E+37 6.870124E+37
1.373343E+04 2.990043E+37 8.487679E+37 9.508582E+37 6.923125E+37
1.369675E+04 3.016211E+37 8.563479E+37 9.588078E+37 6.983419E+37
1.366027E+04 3.042473E+37 8.640146E+37 9.673341E+37 7.011850E+37
1.362398E+04 3.069315E+37 8.719049E+37 9.760533E+37 6.982962E+37
1.358788E+04 3.096343E+37 8.800310E+37 9.845897E+37 6.930386E+37
1.355197E+04 3.122813E+37 8.879082E+37 9.928316E+37 6.940504E+37
1.351625E+04 3.148984E+37 8.955338E+37 1.000294E+38 6.957420E+37
1.348072E+04 3.174679E+37 9.030860E+37 1.007600E+38 6.947579E+37
1.344538E+04 3.200914E+37 9.106447E+37 1.012786E+38 6.971561E+37
1.341022E+04 3.228435E+37 9.183337E+37 1.017387E+38 6.951366E+37
1.337524E+04 3.255689E+37 9.260331E+37 1.021734E+38 6.954327E+37
1.334045E+04 3.282962E+37 9.337887E+37 1.024461E+38 6.896715E+37
1.330583E+04 3.310264E+37 9.416873E+37 1.028394E+38 6.822271E+37
1.327140E+04 3.337726E+37 9.495543E+37 1.032997E+38 6.683014E+37
1.323714E+04 3.365163E+37 9.575793E+37 1.036472E+38 6.559434E+37
1.320306E+04 3.392544E+37 9.654978E+37 1.042815E+38 6.566009E+37
1.316916E+04 3.420225E+37 9.732883E+37 1.053525E+38 6.928174E+37
1.313543E+04 3.447670E+37 9.813251E+37 1.067203E+38 7.380678E+37
1.310187E+04 3.475388E+37 9.893315E+37 1.079801E+38 7.484431E+37
1.306848E+04 3.503804E+37 9.974157E+37 1.093326E+38 7.532465E+37
1.303526E+04 3.532176E+37 1.005743E+38 1.107388E+38 7.624936E+37
1.300221E+04 3.560917E+37 1.014056E+38 1.123258E+38 7.735361E+37
1.296933E+04 3.590314E+37 1.022586E+38 1.136806E+38 7.831549E+37
1.293661E+04 3.619810E+37 1.031017E+38 1.149246E+38 8.149772E+37
1.290406E+04 3.649909E+37 1.039772E+38 1.163137E+38 8.531215E+37
1.287167E+04 3.679694E+37 1.048907E+38 1.175120E+38 8.640156E+37
1.283944E+04 3.710255E+37 1.058261E+38 1.185765E+38 8.624487E+37
1.280738E+04 3.740499E+37 1.067404E+38 1.196396E+38 8.584666E+37
1.277547E+04 3.771056E+37 1.076646E+38 1.207478E+38 8.580438E+37
1.274372E+04 3.802929E+37 1.085714E+38 1.217915E+38 8.579564E+37
1.271213E+04 3.838456E+37 1.094979E+38 1.228813E+38 8.569275E+37
1.268070E+04 3.875366E+37 1.104250E+38 1.238571E+38 8.528930E+37
1.264942E+04 3.912006E+37 1.113589E+38 1.248687E+38 8.411936E+37
1.261830E+04 3.948199E+37 1.122890E+38 1.260129E+38 8.140183E+37
1.258732E+04 3.983955E+37 1.132166E+38 1.272269E+38 7.875741E+37
1.255650E+04 4.019237E+37 1.141356E+38 1.283759E+38 7.849582E+37
1.252583E+04 4.053986E+37 1.150683E+38 1.295505E+38 8.371913E+37
1.249531E+04 4.088116E+37 1.159844E+38 1.307707E+38 9.130980E+37
1.246494E+04 4.122464E+37 1.168946E+38 1.318688E+38 9.591631E+37
1.243472E+04 4.156171E+37 1.178294E+38 1.330060E+38 1.000929E+38
1.240464E+04 4.189343E+37 1.187730E+38 1.341025E+38 1.029484E+38
1.237471E+04 4.223557E+37 1.197205E+38 1.350558E+38 1.035292E+38
1.234492E+04 4.258267E+37 1.206679E+38 1.359645E+38 1.040300E+38
1.231527E+04 4.293113E+37 1.216277E+38 1.371278E+38 1.035117E+38
1.228577E+04 4.328478E+37 1.226058E+38 1.382986E+38 1.021034E+38
1.225640E+04 4.364508E+37 1.236049E+38 1.395081E+38 9.973595E+37
1.222718E+04 4.401345E+37 1.246005E+38 1.407873E+38 9.629622E+37
1.219810E+04 4.438956E+37 1.256086E+38 1.420548E+38 9.237705E+37
1.216915E+04 4.476513E+37 1.266121E+38 1.435923E+38 9.005092E+37
1.214034E+04 4.514622E+37 1.276237E+38 1.454146E+38 9.112985E+37
1.211167E+04 4.552757E+37 1.286657E+38 1.472561E+38 9.349391E+37
1.208313E+04 4.591060E+37 1.297242E+38 1.489681E+38 9.770494E+37
1.205473E+04 4.629937E+37 1.307791E+38 1.511513E+38 1.035385E+38
1.202646E+04 4.669620E+37 1.318422E+38 1.529648E+38 1.096833E+38
1.199832E+04 4.709007E+37 1.329048E+38 1.546275E+38 1.097045E+38
1.197031E+04 4.748480E+37 1.339715E+38 1.562492E+38 1.094198E+38
1.194244E+04 4.787732E+37 1.350409E+38 1.577715E+38 1.099786E+38
1.191469E+04 4.826970E+37 1.361096E+38 1.592458E+38 1.118786E+38
1.188707E+04 4.865914E+37 1.371676E+38 1.609176E+38 1.150934E+38
1.185958E+04 4.904580E+37 1.382050E+38 1.624396E+38 1.172509E+38
1.183222E+04 4.942132E+37 1.392402E+38 1.639212E+38 1.191204E+38
1.180498E+04 4.977691E+37 1.402629E+38 1.652973E+38 1.215398E+38
1.177787E+04 5.012817E+37 1.412769E+38 1.664929E+38 1.239793E+38
1.175088E+04 5.047653E+37 1.422835E+38 1.677070E+38 1.258920E+38
1.172402E+04 5.081279E+37 1.432722E+38 1.687723E+38 1.279341E+38
1.169727E+04 5.112321E+37 1.442402E+38 1.694769E+38 1.298209E+38
1.167065E+04 5.142328E+37 1.452022E+38 1.700861E+38 1.313364E+38
1.164415E+04 5.172691E+37 1.461574E+38 1.705013E+38 1.327065E+38
1.161778E+04 5.199531E+37 1.470376E+38 1.707106E+38 1.341153E+38
1.159152E+04 5.223518E+37 1.478960E+38 1.705833E+38 1.352643E+38
1.156537E+04 5.246475E+37 1.487306E+38 1.697595E+38 1.363430E+38
1.153935E+04 5.268205E+37 1.495517E+38 1.686220E+38 1.375281E+38
1.151344E+04 5.290085E+37 1.503817E+38 1.672454E+38 1.393225E+38
1.148765E+04 5.310449E+37 1.512231E+38 1.659043E+38 1.404422E+38
1.146197E+04 5.331842E+37 1.520717E+38 1.644994E+38 1.416390E+38
1.143641E+04 5.353909E+37 1.529171E+38 1.634028E+38 1.415585E+38
1.141097E+04 5.376248E+37 1.537917E+38 1.625490E+38 1.414523E+38
1.138563E+04 5.399327E+37 1.546789E+38 1.619867E+38 1.412743E+38
1.136041E+04 5.423704E+37 1.555688E+38 1.618079E+38 1.414919E+38
1.133530E+04 5.449282E+37 1.564918E+38 1.626897E+38 1.410507E+38
1.131030E+04 5.475873E+37 1.574146E+38 1.645029E+38 1.402540E+38
1.128541E+04 5.503581E+37 1.583544E+38 1.672501E+38 1.406703E+38
1.126063E+04 5.530777E+37 1.593534E+38 1.705461E+38 1.419489E+38
1.123596E+04 5.560012E+37 1.604203E+38 1.740320E+38 1.437109E+38
1.121139E+04 5.591641E+37 1.615024E+38 1.775434E+38 1.460711E+38
