#NTIMES: 110 
#TIMES[d]: 2.04 2.11 2.19 2.28 2.36 2.45 2.54 2.64 2.74 2.84 2.95 3.06 3.17 3.29 3.41 3.54 3.68 3.81 3.96 4.11 4.26 4.42 4.59 4.76 4.94 5.12 5.32 5.52 5.72 5.94 6.16 6.39 6.63 6.88 7.14 7.41 7.69 7.98 8.28 8.59 8.91 9.25 9.59 9.95 10.33 10.71 11.12 11.54 11.97 12.42 12.88 13.37 13.87 14.39 14.93 15.49 16.08 16.68 17.31 17.96 18.63 19.33 20.06 20.81 21.59 22.41 23.25 24.12 25.03 25.97 26.94 27.96 29.01 30.10 31.23 32.40 33.62 34.88 36.19 37.55 38.96 40.43 41.95 43.52 45.16 46.86 48.62 50.44 52.34 54.30 56.35 58.46 60.66 62.94 65.30 67.76 70.30 72.94 75.69 78.53 81.48 84.54 87.72 91.01 94.43 97.98 101.66 105.48 109.45 113.56 117.83 
#NSTAGES: 5 
#
#TIME: 2.04 
#NVEL: 80 
#vel_mid[km/s] temp[K] ne[/cm^3] k0 k1 k2 k3 k4 
12750.00 7213.70 1.40e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13250.00 5965.21 1.10e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13750.00 5166.28 7.51e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14250.00 4180.20 4.01e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14750.00 3780.58 1.81e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15250.00 3500.00 8.11e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15750.00 3500.00 7.19e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16250.00 3500.00 6.39e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16750.00 3500.00 5.68e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17250.00 3500.00 5.06e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17750.00 3500.00 4.50e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18250.00 3500.00 4.01e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18750.00 3500.00 3.57e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19250.00 3500.00 3.18e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19750.00 3500.00 2.84e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20250.00 3500.00 2.53e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20750.00 3500.00 2.25e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21250.00 3500.00 2.00e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21750.00 3500.00 1.78e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22250.00 3500.00 1.58e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
