#NTIMES:    57
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.191139E+04   1.0000E-099   3.4999E-004   9.9729E-001   2.3589E-003   2.3379E-013   1.2245E-025
    1.196310E+04   1.0000E-099   9.4937E-004   9.9872E-001   3.3362E-004   1.6710E-015   1.7131E-026
    1.200903E+04   1.0000E-099   2.6523E-003   9.9730E-001   4.3405E-005   9.6308E-018   2.2507E-027
    1.204957E+04   1.0000E-099   7.5834E-003   9.9241E-001   5.2639E-006   4.6015E-020   2.8265E-028
    1.208724E+04   1.0000E-099   2.4470E-002   9.7553E-001   4.9907E-007   1.6305E-022   2.7479E-029
    1.211780E+04   1.0000E-099   7.5056E-002   9.2494E-001   4.8358E-008   3.8671E-023   2.6955E-030
    1.214029E+04   1.0000E-099   1.7630E-001   8.2370E-001   6.4000E-009   3.3742E-023   3.6710E-031
    1.215784E+04   1.0000E-099   3.2341E-001   6.7659E-001   1.0440E-009   2.8308E-023   6.2852E-032
    1.217298E+04   1.0000E-099   4.9964E-001   5.0036E-001   1.7055E-010   2.1796E-023   1.0900E-032
    1.218654E+04   1.0000E-099   6.7006E-001   3.2994E-001   2.6060E-011   1.4999E-023   1.7624E-033
    1.220016E+04   1.0000E-099   8.1671E-001   1.8329E-001   2.9166E-012   8.6246E-024   2.0636E-034
    1.221368E+04   1.0000E-099   9.1312E-001   8.6880E-002   2.4828E-013   4.1534E-024   1.7984E-035
    1.222859E+04   1.0000E-099   9.6893E-001   3.1069E-002   1.0400E-014   1.4790E-024   7.5467E-037
    1.224457E+04   1.0000E-099   9.9117E-001   8.8261E-003   2.3600E-016   4.1112E-025   1.6832E-038
    1.225965E+04   1.0000E-099   9.9736E-001   2.6413E-003   5.9861E-018   1.1992E-025   4.1746E-040
    1.227256E+04   1.0000E-099   9.9892E-001   1.0847E-003   3.4539E-019   4.8369E-026   2.3703E-041
    1.228514E+04   1.0000E-099   9.9956E-001   4.4120E-004   1.7212E-020   1.9366E-026   1.1646E-042
    1.229683E+04   1.0000E-099   9.9981E-001   1.9123E-004   1.9758E-021   8.2691E-027   1.3186E-043
    1.232733E+04   1.0000E-099   9.9993E-001   7.4186E-005   1.1101E-021   3.1216E-027   7.2196E-044
    1.289197E+04   1.0000E-099   9.9996E-001   3.9259E-005   1.1481E-021   1.7461E-027   7.9275E-044
    1.402569E+04   1.0000E-099   9.9999E-001   8.3339E-006   1.2700E-021   4.1212E-028   9.8268E-044
    1.518573E+04   1.0000E-099   1.0000E+000   2.5358E-006   1.3907E-021   1.3747E-028   1.1883E-043
    1.632859E+04   1.0000E-099   1.0000E+000   1.0599E-006   1.5023E-021   6.2111E-029   1.3970E-043
    1.745157E+04   1.0000E-099   1.0000E+000   5.7960E-007   1.6055E-021   3.6312E-029   1.6053E-043
    1.855827E+04   1.0000E-099   1.0000E+000   3.7649E-007   1.7012E-021   2.5000E-029   1.8117E-043
    1.963325E+04   1.0000E-099   1.0000E+000   2.7244E-007   1.7890E-021   1.9030E-029   2.0118E-043
    2.068109E+04   1.0000E-099   1.0000E+000   2.0800E-007   1.8700E-021   1.5192E-029   2.2055E-043
    2.170537E+04   1.0000E-099   1.0000E+000   1.6268E-007   1.9453E-021   1.2363E-029   2.3929E-043
    2.269952E+04   1.0000E-099   1.0000E+000   1.3060E-007   2.0147E-021   1.0280E-029   2.5722E-043
    2.366536E+04   1.0000E-099   1.0000E+000   1.0748E-007   2.0789E-021   8.7312E-030   2.7434E-043
    2.460914E+04   1.0000E-099   1.0000E+000   9.1066E-008   2.1385E-021   7.6115E-030   2.9071E-043
    2.553354E+04   1.0000E-099   1.0000E+000   7.9345E-008   2.1938E-021   6.8071E-030   3.0637E-043
    2.644080E+04   1.0000E-099   1.0000E+000   7.0802E-008   2.2454E-021   6.2221E-030   3.2135E-043
    2.733350E+04   1.0000E-099   1.0000E+000   6.3950E-008   2.2937E-021   5.7463E-030   3.3572E-043
    2.821284E+04   1.0000E-099   1.0000E+000   5.7714E-008   2.3390E-021   5.2932E-030   3.4953E-043
    2.908138E+04   1.0000E-099   1.0000E+000   5.0786E-008   2.3819E-021   4.7463E-030   3.6287E-043
    2.994295E+04   1.0000E-099   1.0000E+000   4.3811E-008   2.4227E-021   4.1661E-030   3.7581E-043
    3.079959E+04   1.0000E-099   1.0000E+000   3.6237E-008   2.4617E-021   3.5016E-030   3.8839E-043
    3.165298E+04   1.0000E-099   1.0000E+000   3.0045E-008   2.4988E-021   2.9469E-030   4.0063E-043
    3.250461E+04   1.0000E-099   1.0000E+000   2.4740E-008   2.5342E-021   2.4606E-030   4.1252E-043
    3.335585E+04   1.0000E-099   1.0000E+000   2.1837E-008   2.5679E-021   2.2004E-030   4.2407E-043
    3.420806E+04   1.0000E-099   1.0000E+000   1.9145E-008   2.6000E-021   1.9530E-030   4.3531E-043
    3.506257E+04   1.0000E-099   1.0000E+000   1.7775E-008   2.6309E-021   1.8346E-030   4.4624E-043
    3.592077E+04   1.0000E-099   1.0000E+000   1.5930E-008   2.6604E-021   1.6626E-030   4.5686E-043
    3.678416E+04   1.0000E-099   1.0000E+000   1.5069E-008   2.6888E-021   1.5896E-030   4.6720E-043
    3.765440E+04   1.0000E-099   1.0000E+000   1.4326E-008   2.7163E-021   1.5270E-030   4.7729E-043
    3.853330E+04   1.0000E-099   1.0000E+000   1.5690E-008   2.7427E-021   1.6892E-030   4.8713E-043
    3.942287E+04   1.0000E-099   1.0000E+000   2.0800E-008   2.7681E-021   2.2611E-030   4.9673E-043
    4.030996E+04   1.0000E-099   1.0000E+000   2.5525E-008   2.7589E-021   2.7628E-030   4.8910E-043
    4.032500E+04   1.0000E-099   1.0000E+000   1.4606E-008   1.3232E-021   7.7854E-031   1.4254E-043
#TIME:     2.020
#NVEL: 111
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.025000E+03   1.0000E-099   6.8708E-031   7.2705E-022   1.0371E-013   2.8598E-006   1.0000E+000
    1.037120E+03   1.0000E-099   6.7514E-031   7.1751E-022   1.0280E-013   2.8472E-006   1.0000E+000
    1.061360E+03   1.0000E-099   6.5908E-031   7.0529E-022   1.0171E-013   2.8327E-006   1.0000E+000
    1.109839E+03   1.0000E-099   6.4964E-031   7.0111E-022   1.0174E-013   2.8360E-006   1.0000E+000
    1.213017E+03   1.0000E-099   6.7860E-031   7.3700E-022   1.0670E-013   2.9153E-006   1.0000E+000
    1.325723E+03   1.0000E-099   7.3192E-031   7.9688E-022   1.1437E-013   3.0328E-006   1.0000E+000
    1.448902E+03   1.0000E-099   8.0150E-031   8.7393E-022   1.2403E-013   3.1760E-006   1.0000E+000
    1.583526E+03   1.0000E-099   8.8889E-031   9.7022E-022   1.3590E-013   3.3461E-006   1.0000E+000
    1.730658E+03   1.0000E-099   9.9923E-031   1.0913E-021   1.5059E-013   3.5485E-006   1.0000E+000
    1.891461E+03   1.0000E-099   1.1386E-030   1.2439E-021   1.6880E-013   3.7889E-006   1.0000E+000
    2.067205E+03   1.0000E-099   1.3196E-030   1.4413E-021   1.9188E-013   4.0795E-006   1.0000E+000
    2.259278E+03   1.0000E-099   1.5574E-030   1.6997E-021   2.2145E-013   4.4322E-006   1.0000E+000
    2.469197E+03   1.0000E-099   1.8822E-030   2.0499E-021   2.6053E-013   4.8707E-006   1.0000E+000
    2.698621E+03   1.0000E-099   2.3325E-030   2.5321E-021   3.1285E-013   5.4191E-006   9.9999E-001
    2.949361E+03   1.0000E-099   2.9755E-030   3.2148E-021   3.8464E-013   6.1157E-006   9.9999E-001
    3.223399E+03   1.0000E-099   3.9301E-030   4.2171E-021   4.8633E-013   7.0195E-006   9.9999E-001
    3.522899E+03   1.0000E-099   5.4031E-030   5.7427E-021   6.3496E-013   8.2153E-006   9.9999E-001
    3.850227E+03   1.0000E-099   7.7848E-030   8.1686E-021   8.6064E-013   9.8363E-006   9.9999E-001
    4.207968E+03   1.0000E-099   1.1851E-029   1.2225E-020   1.2187E-012   1.2095E-005   9.9999E-001
    4.598949E+03   1.0000E-099   1.9247E-029   1.9417E-020   1.8162E-012   1.5345E-005   9.9998E-001
    5.026257E+03   1.0000E-099   3.3718E-029   3.3056E-020   2.8734E-012   2.0192E-005   9.9998E-001
    5.322738E+03   1.0000E-099   5.0718E-029   4.8627E-020   4.0085E-012   2.4655E-005   9.9998E-001
    5.636785E+03   1.0000E-099   7.9493E-029   7.4276E-020   5.7709E-012   3.0690E-005   9.9997E-001
    5.969249E+03   1.0000E-099   1.3025E-028   1.1827E-019   8.6117E-012   3.9049E-005   9.9996E-001
    6.324633E+03   1.0000E-099   2.2301E-028   1.9690E-019   1.3352E-011   5.0865E-005   9.9995E-001
    6.696793E+03   1.0000E-099   4.5059E-028   3.8313E-019   2.3354E-011   7.1078E-005   9.9993E-001
    7.079796E+03   1.0000E-099   1.1025E-027   8.9342E-019   4.6691E-011   1.0732E-004   9.9989E-001
    7.407135E+03   1.0000E-099   3.1242E-027   2.3129E-018   1.0083E-010   1.6858E-004   9.9983E-001
    7.692817E+03   1.0000E-099   9.6255E-027   6.3589E-018   2.2800E-010   2.7127E-004   9.9973E-001
    7.943790E+03   1.0000E-099   3.2665E-026   1.8873E-017   5.4616E-010   4.5031E-004   9.9955E-001
    8.178255E+03   1.0000E-099   1.2658E-025   6.2748E-017   1.4292E-009   7.8589E-004   9.9921E-001
    8.396906E+03   1.0000E-099   5.5049E-025   2.3067E-016   4.0460E-009   1.4344E-003   9.9857E-001
    8.600030E+03   1.0000E-099   2.6342E-024   9.2211E-016   1.2227E-008   2.7168E-003   9.9728E-001
    8.794946E+03   1.0000E-099   1.4210E-023   4.1014E-015   4.0191E-008   5.3987E-003   9.9460E-001
    8.979615E+03   1.0000E-099   8.3818E-023   1.9765E-014   1.4066E-007   1.1110E-002   9.8889E-001
    9.145090E+03   1.0000E-099   4.7853E-022   9.2657E-014   4.8075E-007   2.2502E-002   9.7750E-001
    9.307344E+03   1.0000E-099   3.0467E-021   4.7899E-013   1.7707E-006   4.7310E-002   9.5269E-001
    9.467105E+03   1.0000E-099   2.1640E-020   2.7276E-012   6.9948E-006   1.0213E-001   8.9786E-001
    9.611352E+03   1.0000E-099   1.4020E-019   1.4259E-011   2.5486E-005   2.0501E-001   7.9497E-001
    9.749622E+03   1.0000E-099   8.8033E-019   7.1667E-011   8.7706E-005   3.7798E-001   6.2193E-001
    9.884725E+03   1.0000E-099   5.2165E-018   3.3491E-010   2.7272E-004   6.0301E-001   3.9672E-001
    1.001128E+04   1.0000E-099   2.6435E-017   1.3311E-009   7.1211E-004   7.9481E-001   2.0448E-001
    1.013294E+04   1.0000E-099   1.2394E-016   4.8456E-009   1.6671E-003   9.1059E-001   8.7745E-002
    1.025192E+04   1.0000E-099   5.8182E-016   1.7448E-008   3.7565E-003   9.6345E-001   3.2796E-002
