#NTIMES: 191
#time[d] Lbol[erg/s] Edep[erg/s]
2.2615e+01 1.0072e+43 7.5512e+42
2.3036e+01 9.8224e+42 7.3760e+42
2.3465e+01 9.5738e+42 7.2034e+42
2.3902e+01 9.2997e+42 7.0343e+42
2.4347e+01 8.9928e+42 6.8679e+42
2.4800e+01 8.7235e+42 6.7044e+42
2.5262e+01 8.4049e+42 6.5443e+42
2.5732e+01 8.1185e+42 6.3871e+42
2.6211e+01 7.8190e+42 6.2298e+42
2.6699e+01 7.5268e+42 6.0783e+42
2.7196e+01 7.2462e+42 5.9284e+42
2.7702e+01 6.9779e+42 5.7794e+42
2.8218e+01 6.7172e+42 5.6369e+42
2.8743e+01 6.4628e+42 5.4954e+42
2.9278e+01 6.2290e+42 5.3550e+42
2.9823e+01 6.0051e+42 5.2177e+42
3.0379e+01 5.8015e+42 5.0855e+42
3.0944e+01 5.5992e+42 4.9521e+42
3.1520e+01 5.4209e+42 4.8235e+42
3.2107e+01 5.2592e+42 4.6979e+42
3.2705e+01 5.1072e+42 4.5729e+42
3.3313e+01 4.9814e+42 4.4534e+42
3.3934e+01 4.8516e+42 4.3337e+42
3.4565e+01 4.7441e+42 4.2149e+42
3.5209e+01 4.6399e+42 4.1007e+42
3.5864e+01 4.5440e+42 3.9886e+42
3.6532e+01 4.4525e+42 3.8789e+42
3.7212e+01 4.3541e+42 3.7710e+42
3.7905e+01 4.2676e+42 3.6637e+42
3.8610e+01 4.1787e+42 3.5597e+42
3.9329e+01 4.0837e+42 3.4580e+42
4.0061e+01 3.9880e+42 3.3576e+42
4.0807e+01 3.8952e+42 3.2598e+42
4.1566e+01 3.7945e+42 3.1644e+42
4.2340e+01 3.6874e+42 3.0708e+42
4.3128e+01 3.5806e+42 2.9789e+42
4.3931e+01 3.4757e+42 2.8883e+42
4.4749e+01 3.3617e+42 2.8007e+42
4.5582e+01 3.2432e+42 2.7132e+42
4.6431e+01 3.1287e+42 2.6291e+42
4.7295e+01 3.0113e+42 2.5452e+42
4.8175e+01 2.8861e+42 2.4662e+42
4.9072e+01 2.7703e+42 2.3865e+42
4.9986e+01 2.6468e+42 2.3089e+42
5.0916e+01 2.5263e+42 2.2323e+42
5.1864e+01 2.4040e+42 2.1594e+42
5.2830e+01 2.2872e+42 2.0859e+42
5.3813e+01 2.1710e+42 2.0157e+42
5.4815e+01 2.0594e+42 1.9472e+42
5.5835e+01 1.9536e+42 1.8792e+42
5.6875e+01 1.8579e+42 1.8139e+42
5.7933e+01 1.7671e+42 1.7490e+42
5.9012e+01 1.6832e+42 1.6861e+42
6.0110e+01 1.6067e+42 1.6250e+42
6.1229e+01 1.5380e+42 1.5662e+42
6.2369e+01 1.4731e+42 1.5077e+42
6.3530e+01 1.4145e+42 1.4520e+42
6.4713e+01 1.3631e+42 1.3967e+42
6.5917e+01 1.3099e+42 1.3431e+42
6.7145e+01 1.2610e+42 1.2913e+42
