#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8
2.875008e+03 2.089679e-41 5.940205e-32 7.372219e-24 1.994212e-16 4.269522e-10 3.012533e-05 2.832205e-02 8.008669e-01 1.707809e-01 
3.125008e+03 5.129688e-41 1.481270e-31 1.861673e-23 4.864558e-16 9.510096e-10 5.659948e-05 4.144097e-02 8.414994e-01 1.170030e-01 
3.375011e+03 1.175982e-40 3.471347e-31 4.402070e-23 1.119384e-15 1.999798e-09 1.012476e-04 5.848464e-02 8.615480e-01 7.986613e-02 
3.625012e+03 2.575981e-40 7.762290e-31 9.960460e-23 2.466073e-15 4.052877e-09 1.758536e-04 8.037061e-02 8.655297e-01 5.392387e-02 
3.875015e+03 5.402996e-40 1.665924e-30 2.176207e-22 5.252913e-15 7.954411e-09 2.956639e-04 1.080599e-01 8.554744e-01 3.617006e-02 
4.125020e+03 1.221768e-39 3.844497e-30 5.074410e-22 1.189187e-14 1.637169e-08 5.123280e-04 1.457976e-01 8.308022e-01 2.288779e-02 
4.375025e+03 2.708739e-39 8.703490e-30 1.163426e-21 2.637690e-14 3.321536e-08 8.747896e-04 1.944964e-01 7.904190e-01 1.420978e-02 
4.625029e+03 6.060136e-39 1.987724e-29 2.685852e-21 5.904996e-14 6.738871e-08 1.493217e-03 2.550105e-01 7.349732e-01 8.522975e-03 
4.875029e+03 1.489085e-38 4.953056e-29 6.748407e-21 1.425720e-13 1.446842e-07 2.619100e-03 3.358362e-01 6.568872e-01 4.657351e-03 
5.125029e+03 3.283561e-38 1.118715e-28 1.543850e-20 3.145305e-13 2.891837e-07 4.320474e-03 4.216783e-01 5.714547e-01 2.546200e-03 
5.375030e+03 7.268113e-38 2.535680e-28 3.539910e-20 6.954291e-13 5.724110e-07 7.017055e-03 5.146677e-01 4.770091e-01 1.305499e-03 
