#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5
1.875e+09 6.539103e-04 9.993455e-01 6.045589e-07 1.257574e-29 9.844428e-71 1.685172e-140
1.925e+09 5.575074e-04 9.994418e-01 7.092344e-07 1.730590e-29 1.589133e-70 3.190976e-140
1.975e+09 4.749117e-04 9.995243e-01 8.327206e-07 2.385488e-29 2.571682e-70 6.062531e-140
2.025e+09 4.042036e-04 9.995948e-01 9.785280e-07 3.293779e-29 4.172321e-70 1.155734e-139
2.075e+09 3.437405e-04 9.996551e-01 1.150788e-06 4.555249e-29 6.785644e-70 2.210380e-139
2.125e+09 2.920873e-04 9.997066e-01 1.354434e-06 6.309794e-29 1.106202e-69 4.240827e-139
2.175e+09 2.480045e-04 9.997504e-01 1.595324e-06 8.753434e-29 1.807465e-69 8.161277e-139
2.225e+09 2.104341e-04 9.997877e-01 1.880291e-06 1.215946e-28 2.959138e-69 1.574756e-138
2.275e+09 1.784417e-04 9.998193e-01 2.217543e-06 1.691199e-28 4.853772e-69 3.046217e-138
2.325e+09 1.512316e-04 9.998462e-01 2.616672e-06 2.354709e-28 7.974202e-69 5.905193e-138
2.375e+09 1.281107e-04 9.998688e-01 3.089058e-06 3.281567e-28 1.311893e-68 1.146865e-137
2.425e+09 1.084779e-04 9.998879e-01 3.648270e-06 4.577144e-28 2.161047e-68 2.231160e-137
2.475e+09 9.181869e-05 9.999039e-01 4.310333e-06 6.389038e-28 3.563871e-68 4.347158e-137
2.525e+09 7.769107e-05 9.999172e-01 5.094276e-06 8.924274e-28 5.883358e-68 8.481536e-137
2.575e+09 6.572444e-05 9.999283e-01 6.021937e-06 1.247026e-27 9.718002e-68 1.656057e-136
2.625e+09 5.558405e-05 9.999373e-01 7.120670e-06 1.743576e-27 1.606656e-67 3.237441e-136
2.675e+09 4.699611e-05 9.999446e-01 8.422003e-06 2.439085e-27 2.658278e-67 6.335351e-136
2.725e+09 3.972483e-05 9.999503e-01 9.963690e-06 3.413768e-27 4.401592e-67 1.241030e-135
2.775e+09 3.356979e-05 9.999546e-01 1.179064e-05 4.780427e-27 7.293866e-67 2.433581e-135
2.825e+09 2.836140e-05 9.999577e-01 1.395600e-05 6.697497e-27 1.209556e-66 4.776790e-135
2.875e+09 2.395452e-05 9.999595e-01 1.652353e-05 9.388484e-27 2.007474e-66 9.386447e-135
2.925e+09 2.022617e-05 9.999602e-01 1.956938e-05 1.316872e-26 3.334817e-66 1.846704e-134
2.975e+09 1.707322e-05 9.999597e-01 2.318329e-05 1.848160e-26 5.544548e-66 3.637387e-134
3.025e+09 1.440822e-05 9.999581e-01 2.747127e-05 2.595062e-26 9.225262e-66 7.171443e-134
3.075e+09 1.215524e-05 9.999553e-01 3.256291e-05 3.646178e-26 1.536436e-65 1.415754e-133
3.125e+09 1.025171e-05 9.999511e-01 3.860884e-05 5.125860e-26 2.560995e-65 2.797998e-133
3.175e+09 8.644089e-06 9.999456e-01 4.578877e-05 7.209640e-26 4.271989e-65 5.535330e-133
3.225e+09 7.287065e-06 9.999384e-01 5.431494e-05 1.014466e-25 7.130459e-65 1.095959e-132
3.275e+09 6.141487e-06 9.999294e-01 6.444521e-05 1.428183e-25 1.191075e-64 2.172157e-132
3.325e+09 5.174853e-06 9.999183e-01 7.648153e-05 2.011503e-25 1.990887e-64 4.308930e-132
3.375e+09 4.359561e-06 9.999049e-01 9.078208e-05 2.834090e-25 3.329576e-64 8.553842e-132
3.425e+09 3.672077e-06 9.998886e-01 1.077747e-04 3.994424e-25 5.571260e-64 1.699220e-131
3.475e+09 3.092472e-06 9.998689e-01 1.279693e-04 5.631715e-25 9.326901e-64 3.377777e-131
3.525e+09 2.604018e-06 9.998454e-01 1.519663e-04 7.942068e-25 1.562003e-63 6.717800e-131
3.575e+09 2.192532e-06 9.998173e-01 1.804766e-04 1.120194e-24 2.616540e-63 1.336468e-130
3.625e+09 1.845781e-06 9.997838e-01 2.143668e-04 1.580451e-24 4.384968e-63 2.660411e-130
3.675e+09 1.553756e-06 9.997438e-01 2.546362e-04 2.230097e-24 7.350030e-63 5.297262e-130
3.725e+09 1.307899e-06 9.996962e-01 3.024735e-04 3.146868e-24 1.232059e-62 1.054828e-129
3.775e+09 1.100805e-06 9.996396e-01 3.593371e-04 4.441532e-24 2.065976e-62 2.101430e-129
3.825e+09 9.264691e-07 9.995722e-01 4.268968e-04 6.269077e-24 3.464545e-62 4.186835e-129
3.875e+09 7.796729e-07 9.994920e-01 5.071912e-04 8.849854e-24 5.811155e-62 8.344219e-129
3.925e+09 6.561229e-07 9.993968e-01 6.025820e-04 1.249299e-23 9.747172e-62 1.662983e-128
