#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           s 1           s 2           s 3           s 4           s 5
    1.220016E+04    1.0000E-99    9.9989E-01    1.0614E-04    2.6644E-16    2.2362E-27
    1.221368E+04    1.0000E-99    9.9996E-01    3.6645E-05    1.6947E-17    7.8787E-28
    1.222859E+04    1.0000E-99    9.9999E-01    1.0064E-05    5.7279E-19    2.1589E-28
    1.224457E+04    1.0000E-99    1.0000E+00    2.2888E-06    1.1552E-20    4.8010E-29
    1.225965E+04    1.0000E-99    1.0000E+00    5.4990E-07    3.4622E-22    1.1209E-29
    1.227256E+04    1.0000E-99    1.0000E+00    1.7599E-07    7.8374E-23    3.5091E-30
    1.228514E+04    1.0000E-99    1.0000E+00    5.0115E-08    6.1423E-23    9.7778E-31
    1.229683E+04    1.0000E-99    1.0000E+00    1.4660E-08    5.9994E-23    2.7983E-31
    1.232733E+04    1.0000E-99    1.0000E+00    3.1652E-09    5.8730E-23    5.8215E-32
    1.289197E+04    1.0000E-99    1.0000E+00    9.4558E-10    6.1809E-23    1.8274E-32
    1.402569E+04    1.0000E-99    1.0000E+00    7.9524E-11    6.8120E-23    1.6961E-33
    1.518573E+04    1.0000E-99    1.0000E+00    1.2438E-11    7.4138E-23    2.8915E-34
    1.632859E+04    1.0000E-99    1.0000E+00    3.1264E-12    7.9685E-23    7.8253E-35
    1.745157E+04    1.0000E-99    1.0000E+00    1.1319E-12    8.4789E-23    3.0204E-35
    1.855827E+04    1.0000E-99    1.0000E+00    5.2243E-13    8.9509E-23    1.4747E-35
    1.963325E+04    1.0000E-99    1.0000E+00    2.8664E-13    9.3815E-23    8.4972E-36
    2.068109E+04    1.0000E-99    1.0000E+00    1.7435E-13    9.7765E-23    5.3958E-36
    2.170537E+04    1.0000E-99    1.0000E+00    1.1290E-13    1.0140E-22    3.6294E-36
    2.269952E+04    1.0000E-99    1.0000E+00    7.7345E-14    1.0474E-22    2.5711E-36
    2.366536E+04    1.0000E-99    1.0000E+00    5.5342E-14    1.0779E-22    1.8951E-36
    2.460914E+04    1.0000E-99    1.0000E+00    4.1163E-14    1.1062E-22    1.4476E-36
    2.553354E+04    1.0000E-99    1.0000E+00    3.1548E-14    1.1324E-22    1.1363E-36
    2.644080E+04    1.0000E-99    1.0000E+00    2.4810E-14    1.1568E-22    9.1316E-37
    2.733350E+04    1.0000E-99    1.0000E+00    1.9819E-14    1.1796E-22    7.4400E-37
    2.821284E+04    1.0000E-99    1.0000E+00    1.5990E-14    1.2010E-22    6.1121E-37
    2.908138E+04    1.0000E-99    1.0000E+00    1.2856E-14    1.2211E-22    4.9969E-37
    2.994295E+04    1.0000E-99    1.0000E+00    1.0322E-14    1.2402E-22    4.0752E-37
    3.079959E+04    1.0000E-99    1.0000E+00    8.3052E-15    1.2584E-22    3.3271E-37
    3.165298E+04    1.0000E-99    1.0000E+00    6.7896E-15    1.2758E-22    2.7577E-37
    3.250461E+04    1.0000E-99    1.0000E+00    5.6798E-15    1.2923E-22    2.3372E-37
    3.335585E+04    1.0000E-99    1.0000E+00    4.8892E-15    1.3082E-22    2.0369E-37
    3.420806E+04    1.0000E-99    1.0000E+00    4.3487E-15    1.3235E-22    1.8332E-37
    3.506257E+04    1.0000E-99    1.0000E+00    4.0343E-15    1.3382E-22    1.7201E-37
    3.592077E+04    1.0000E-99    1.0000E+00    3.9629E-15    1.3523E-22    1.7081E-37
    3.678416E+04    1.0000E-99    1.0000E+00    4.0760E-15    1.3660E-22    1.7754E-37
    3.765440E+04    1.0000E-99    1.0000E+00    4.1598E-15    1.3792E-22    1.8305E-37
    3.853330E+04    1.0000E-99    1.0000E+00    4.4078E-15    1.3921E-22    1.9590E-37
    3.942287E+04    1.0000E-99    1.0000E+00    5.1396E-15    1.4045E-22    2.3064E-37
    4.030996E+04    1.0000E-99    1.0000E+00    5.6840E-15    1.4066E-22    2.5563E-37
    4.032500E+04    1.0000E-99    1.0000E+00    1.4207E-15    5.1530E-23    2.3841E-38
#TIME:     2.020
#NVEL: 111
#vel_mid[km/s]           s 1           s 2           s 3           s 4           s 5
    1.025000E+03    1.0000E-99    3.9586E-23    5.6782E-15    4.5132E-07    1.0000E+00
    1.037120E+03    1.0000E-99    3.9076E-23    5.6292E-15    4.4936E-07    1.0000E+00
    1.061360E+03    1.0000E-99    3.8298E-23    5.5557E-15    4.4641E-07    1.0000E+00
    1.109839E+03    1.0000E-99    3.7478E-23    5.4848E-15    4.4346E-07    1.0000E+00
    1.213017E+03    1.0000E-99    3.7328E-23    5.5011E-15    4.4370E-07    1.0000E+00
    1.325723E+03    1.0000E-99    3.7788E-23    5.5856E-15    4.4656E-07    1.0000E+00
    1.448902E+03    1.0000E-99    3.8486E-23    5.7004E-15    4.5054E-07    1.0000E+00
    1.583526E+03    1.0000E-99    3.9364E-23    5.8402E-15    4.5542E-07    1.0000E+00
    1.730658E+03    1.0000E-99    4.0447E-23    6.0086E-15    4.6133E-07    1.0000E+00
    1.891461E+03    1.0000E-99    4.1741E-23    6.2079E-15    4.6830E-07    1.0000E+00
    2.067205E+03    1.0000E-99    4.3342E-23    6.4500E-15    4.7674E-07    1.0000E+00
    2.259278E+03    1.0000E-99    4.5309E-23    6.7434E-15    4.8690E-07    1.0000E+00
    2.469197E+03    1.0000E-99    4.7831E-23    7.1113E-15    4.9952E-07    1.0000E+00
    2.698621E+03    1.0000E-99    5.1038E-23    7.5715E-15    5.1504E-07    1.0000E+00
    2.949361E+03    1.0000E-99    5.5190E-23    8.1565E-15    5.3434E-07    1.0000E+00
    3.223399E+03    1.0000E-99    6.0712E-23    8.9184E-15    5.5876E-07    1.0000E+00
    3.522899E+03    1.0000E-99    6.8221E-23    9.9311E-15    5.9002E-07    1.0000E+00
    3.850227E+03    1.0000E-99    7.8736E-23    1.1313E-14    6.3068E-07    1.0000E+00
    4.207968E+03    1.0000E-99    9.3975E-23    1.3258E-14    6.8452E-07    1.0000E+00
    4.598949E+03    1.0000E-99    1.1694E-22    1.6091E-14    7.5719E-07    1.0000E+00
    5.026257E+03    1.0000E-99    1.5296E-22    2.0367E-14    8.5711E-07    1.0000E+00
    5.322738E+03    1.0000E-99    1.8719E-22    2.4310E-14    9.4148E-07    1.0000E+00
    5.636785E+03    1.0000E-99    2.3593E-22    2.9742E-14    1.0483E-06    1.0000E+00
    5.969249E+03    1.0000E-99    3.0291E-22    3.7056E-14    1.1803E-06    1.0000E+00
    6.324633E+03    1.0000E-99    3.8089E-22    4.5883E-14    1.3306E-06    1.0000E+00
