#NTIMES: 257
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
7.750e+08 1.699680e+00 1e-99 1.860747e+00 1e-99 1e-99
8.250e+08 1.205508e+00 1e-99 1.383022e+00 1e-99 1e-99
8.750e+08 8.254737e-01 1e-99 9.923869e-01 1e-99 1e-99
9.250e+08 4.122833e-01 1e-99 5.445462e-01 1e-99 1e-99
9.750e+08 2.459200e-01 1e-99 3.289521e-01 1e-99 1e-99
1.025e+09 2.099948e-01 1e-99 3.032240e-01 1e-99 1e-99
1.075e+09 1.750226e-01 1e-99 2.499806e-01 1e-99 1e-99
1.125e+09 1.091447e-01 1e-99 1.589207e-01 1e-99 1e-99
1.175e+09 8.273154e-02 1e-99 1.284240e-01 1e-99 1e-99
1.225e+09 4.129126e-02 1e-99 4.337982e-02 1e-99 1e-99
1.275e+09 2.916543e-02 1e-99 1.716482e-02 1e-99 1e-99
1.325e+09 2.624065e-02 1e-99 1.819573e-02 1e-99 1e-99
1.375e+09 2.425302e-02 1e-99 1.774619e-02 1e-99 1e-99
1.425e+09 2.249369e-02 1e-99 1.705919e-02 1e-99 1e-99
1.475e+09 1.952892e-02 1e-99 1.581928e-02 1e-99 1e-99
1.525e+09 1.699476e-02 1e-99 1.402018e-02 1e-99 1e-99
1.575e+09 1.592931e-02 1e-99 1.311857e-02 1e-99 1e-99
1.625e+09 1.559508e-02 1e-99 1.323345e-02 1e-99 1e-99
1.675e+09 1.550055e-02 1e-99 1.415565e-02 1e-99 1e-99
1.725e+09 1.546639e-02 1e-99 1.527298e-02 1e-99 1e-99
1.775e+09 1.543097e-02 1e-99 1.886304e-02 1e-99 1e-99
1.825e+09 1.524990e-02 1e-99 2.182166e-02 1e-99 1e-99
1.875e+09 1.502611e-02 1e-99 2.432841e-02 1e-99 1e-99
1.925e+09 1.471224e-02 1e-99 2.707352e-02 1e-99 1e-99
1.975e+09 1.448394e-02 1e-99 2.882997e-02 1e-99 1e-99
2.025e+09 1.426810e-02 1e-99 3.034032e-02 1e-99 1e-99
2.075e+09 1.298053e-02 1e-99 3.353962e-02 1e-99 1e-99
2.125e+09 1.086300e-02 1e-99 3.698549e-02 1e-99 1e-99
2.175e+09 1.100537e-02 1e-99 3.759034e-02 1e-99 1e-99
2.225e+09 1.133698e-02 1e-99 3.780679e-02 1e-99 1e-99
2.275e+09 9.869711e-03 1e-99 4.398462e-02 1e-99 1e-99
2.325e+09 1.042811e-02 1e-99 4.042627e-02 1e-99 1e-99
2.375e+09 9.491091e-03 1e-99 4.918532e-02 1e-99 1e-99
2.425e+09 9.409280e-03 1e-99 5.072203e-02 1e-99 1e-99
2.475e+09 8.436754e-03 1e-99 5.906285e-02 1e-99 1e-99
2.525e+09 1.110159e-02 1e-99 4.086107e-02 1e-99 1e-99
2.575e+09 9.350250e-03 1e-99 5.256271e-02 1e-99 1e-99
2.625e+09 1.075826e-02 1e-99 4.340864e-02 1e-99 1e-99
2.675e+09 9.802341e-03 1e-99 4.728466e-02 1e-99 1e-99
2.725e+09 9.395183e-03 1e-99 5.433296e-02 1e-99 1e-99
2.775e+09 1.012017e-02 1e-99 5.202873e-02 1e-99 1e-99
2.825e+09 8.120751e-03 1e-99 7.342568e-02 1e-99 1e-99
2.875e+09 7.644535e-03 1e-99 7.922400e-02 1e-99 1e-99
2.925e+09 1.175129e-02 1e-99 7.303549e-02 1e-99 1e-99
2.975e+09 1.057430e-02 1e-99 7.967854e-02 1e-99 1e-99
3.025e+09 1.242574e-02 1e-99 9.303069e-02 1e-99 1e-99
3.075e+09 1.021471e-02 1e-99 1.020822e-01 1e-99 1e-99
3.125e+09 5.935099e-03 1e-99 1.177991e-01 1e-99 1e-99
3.175e+09 7.199364e-03 1e-99 1.306009e-01 1e-99 1e-99
3.225e+09 8.872863e-03 1e-99 1.464493e-01 1e-99 1e-99
3.275e+09 7.751971e-03 1e-99 1.644594e-01 1e-99 1e-99
3.325e+09 8.622377e-03 1e-99 1.891943e-01 1e-99 1e-99
3.375e+09 9.603188e-04 1e-99 3.285455e-01 1e-99 1e-99
3.425e+09 1.086575e-02 1e-99 2.707285e-01 1e-99 1e-99
3.475e+09 9.446508e-03 1e-99 3.062513e-01 1e-99 1e-99
3.525e+09 9.084027e-03 1e-99 3.431001e-01 1e-99 1e-99
3.575e+09 6.419380e-03 1e-99 3.469899e-01 1e-99 1e-99
3.625e+09 8.966150e-03 1e-99 4.520779e-01 1e-99 1e-99
3.675e+09 8.208569e-03 1e-99 4.894009e-01 1e-99 1e-99
3.725e+09 1.385926e-02 1e-99 7.575814e-01 1e-99 1e-99
3.775e+09 5.966867e-03 1e-99 6.040725e-01 1e-99 1e-99
3.825e+09 3.694979e-03 1e-99 6.490012e-01 1e-99 1e-99
3.875e+09 1.284457e-02 1e-99 1.123346e+00 1e-99 1e-99
3.925e+09 2.070158e-03 1e-99 7.940424e-01 1e-99 1e-99
3.975e+09 1.262260e-03 1e-99 8.020582e-01 1e-99 1e-99
4.025e+09 1.831878e-03 1e-99 1.025138e+00 1e-99 1e-99
#TIME: 2.928200
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
2.500e+07 5.540051e-01 1e-99 6.095946e-01 1e-99 1e-99
7.500e+07 6.645291e-01 1e-99 7.313990e-01 1e-99 1e-99
1.250e+08 7.833053e-01 1e-99 8.679148e-01 1e-99 1e-99
1.750e+08 9.249401e-01 1e-99 1.030469e+00 1e-99 1e-99
2.250e+08 1.091144e+00 1e-99 1.221384e+00 1e-99 1e-99
2.750e+08 1.281472e+00 1e-99 1.442266e+00 1e-99 1e-99
3.250e+08 1.494428e+00 1e-99 1.694079e+00 1e-99 1e-99
3.750e+08 1.723522e+00 1e-99 1.969888e+00 1e-99 1e-99
4.250e+08 1.959594e+00 1e-99 2.248545e+00 1e-99 1e-99
4.750e+08 2.187145e+00 1e-99 2.493970e+00 1e-99 1e-99
5.250e+08 2.379812e+00 1e-99 2.670051e+00 1e-99 1e-99
5.750e+08 2.502053e+00 1e-99 2.752646e+00 1e-99 1e-99
6.250e+08 2.513033e+00 1e-99 2.722428e+00 1e-99 1e-99
6.750e+08 2.376583e+00 1e-99 2.555921e+00 1e-99 1e-99
