#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ca1           ca2           ca3           ca4           ca5
    1.220016E+04    1.0000E-99    4.5287E-03    9.9547E-01    2.1155E-21    7.6637E-23
    1.221368E+04    1.0000E-99    8.2748E-03    9.9173E-01    1.2956E-21    7.9862E-23
    1.222859E+04    1.0000E-99    1.8317E-02    9.8168E-01    1.2070E-21    8.1358E-23
    1.224457E+04    1.0000E-99    4.8595E-02    9.5141E-01    1.1362E-21    8.0047E-23
    1.225965E+04    1.0000E-99    1.2586E-01    8.7414E-01    1.0297E-21    7.4275E-23
    1.227256E+04    1.0000E-99    2.5438E-01    7.4562E-01    8.9722E-22    6.4010E-23
    1.228514E+04    1.0000E-99    4.7780E-01    5.2220E-01    6.8842E-22    4.5537E-23
    1.229683E+04    1.0000E-99    7.1357E-01    2.8643E-01    4.6339E-22    2.5363E-23
    1.232733E+04    1.0000E-99    9.0320E-01    9.6798E-02    2.6814E-22    8.6652E-24
    1.289197E+04    1.0000E-99    9.3527E-01    6.4732E-02    2.4857E-22    6.1459E-24
    1.402569E+04    1.0000E-99    9.4983E-01    5.0172E-02    2.5789E-22    5.2832E-24
    1.518573E+04    1.0000E-99    9.5591E-01    4.4090E-02    2.7379E-22    5.0819E-24
    1.632859E+04    1.0000E-99    9.6069E-01    3.9314E-02    2.8858E-22    4.8933E-24
    1.745157E+04    1.0000E-99    9.6490E-01    3.5095E-02    3.0171E-22    4.6653E-24
    1.855827E+04    1.0000E-99    9.6909E-01    3.0906E-02    3.1279E-22    4.3492E-24
    1.963325E+04    1.0000E-99    9.7302E-01    2.6985E-02    3.2219E-22    3.9883E-24
    2.068109E+04    1.0000E-99    9.7667E-01    2.3327E-02    3.3025E-22    3.5985E-24
    2.170537E+04    1.0000E-99    9.7998E-01    2.0022E-02    3.3740E-22    3.2076E-24
    2.269952E+04    1.0000E-99    9.8256E-01    1.7440E-02    3.4442E-22    2.8885E-24
    2.366536E+04    1.0000E-99    9.8445E-01    1.5550E-02    3.5149E-22    2.6527E-24
    2.460914E+04    1.0000E-99    9.8572E-01    1.4283E-02    3.5875E-22    2.5020E-24
    2.553354E+04    1.0000E-99    9.8649E-01    1.3508E-02    3.6613E-22    2.4237E-24
    2.644080E+04    1.0000E-99    9.8690E-01    1.3096E-02    3.7350E-22    2.4016E-24
    2.733350E+04    1.0000E-99    9.8715E-01    1.2847E-02    3.8062E-22    2.4036E-24
    2.821284E+04    1.0000E-99    9.8740E-01    1.2596E-02    3.8722E-22    2.4007E-24
    2.908138E+04    1.0000E-99    9.8798E-01    1.2020E-02    3.9276E-22    2.3309E-24
    2.994295E+04    1.0000E-99    9.8895E-01    1.1052E-02    3.9714E-22    2.1778E-24
    3.079959E+04    1.0000E-99    9.9025E-01    9.7505E-03    4.0051E-22    1.9506E-24
    3.165298E+04    1.0000E-99    9.9156E-01    8.4393E-03    4.0353E-22    1.7124E-24
    3.250461E+04    1.0000E-99    9.9265E-01    7.3538E-03    4.0672E-22    1.5123E-24
    3.335585E+04    1.0000E-99    9.9343E-01    6.5663E-03    4.1026E-22    1.3675E-24
    3.420806E+04    1.0000E-99    9.9392E-01    6.0836E-03    4.1423E-22    1.2822E-24
    3.506257E+04    1.0000E-99    9.9420E-01    5.7978E-03    4.1844E-22    1.2360E-24
    3.592077E+04    1.0000E-99    9.9383E-01    6.1695E-03    4.2389E-22    1.3297E-24
    3.678416E+04    1.0000E-99    9.9292E-01    7.0827E-03    4.3036E-22    1.5425E-24
    3.765440E+04    1.0000E-99    9.9135E-01    8.6505E-03    4.3814E-22    1.9029E-24
    3.853330E+04    1.0000E-99    9.8871E-01    1.1286E-02    4.4815E-22    2.5067E-24
    3.942287E+04    1.0000E-99    9.8427E-01    1.5726E-02    4.6202E-22    3.5255E-24
    4.030996E+04    1.0000E-99    9.7860E-01    2.1399E-02    4.7413E-22    4.7905E-24
    4.032500E+04    1.0000E-99    9.9989E-01    1.0711E-04    2.0224E-22    1.1540E-26
#TIME:     2.020
#NVEL: 111
#vel_mid[km/s]           ca1           ca2           ca3           ca4           ca5
    1.025000E+03    1.0000E-99    5.0331E-22    2.3337E-15    2.2222E-07    1.0000E+00
    1.037120E+03    1.0000E-99    4.9744E-22    2.3133E-15    2.2124E-07    1.0000E+00
    1.061360E+03    1.0000E-99    4.8962E-22    2.2860E-15    2.1995E-07    1.0000E+00
    1.109839E+03    1.0000E-99    4.8558E-22    2.2715E-15    2.1935E-07    1.0000E+00
    1.213017E+03    1.0000E-99    5.0211E-22    2.3284E-15    2.2239E-07    1.0000E+00
    1.325723E+03    1.0000E-99    5.3071E-22    2.4267E-15    2.2744E-07    1.0000E+00
    1.448902E+03    1.0000E-99    5.6681E-22    2.5499E-15    2.3365E-07    1.0000E+00
    1.583526E+03    1.0000E-99    6.1065E-22    2.6982E-15    2.4099E-07    1.0000E+00
    1.730658E+03    1.0000E-99    6.6400E-22    2.8766E-15    2.4964E-07    1.0000E+00
    1.891461E+03    1.0000E-99    7.2863E-22    3.0904E-15    2.5978E-07    1.0000E+00
    2.067205E+03    1.0000E-99    8.0874E-22    3.3521E-15    2.7187E-07    1.0000E+00
    2.259278E+03    1.0000E-99    9.0850E-22    3.6738E-15    2.8632E-07    1.0000E+00
    2.469197E+03    1.0000E-99    1.0367E-21    4.0812E-15    3.0400E-07    1.0000E+00
    2.698621E+03    1.0000E-99    1.2025E-21    4.6002E-15    3.2567E-07    1.0000E+00
    2.949361E+03    1.0000E-99    1.4211E-21    5.2737E-15    3.5257E-07    1.0000E+00
    3.223399E+03    1.0000E-99    1.7172E-21    6.1712E-15    3.8661E-07    1.0000E+00
    3.522899E+03    1.0000E-99    2.1284E-21    7.3963E-15    4.3038E-07    1.0000E+00
    3.850227E+03    1.0000E-99    2.7168E-21    9.1205E-15    4.8782E-07    1.0000E+00
    4.207968E+03    1.0000E-99    3.5888E-21    1.1634E-14    5.6501E-07    1.0000E+00
    4.598949E+03    1.0000E-99    4.9341E-21    1.5456E-14    6.7160E-07    1.0000E+00
    5.026257E+03    1.0000E-99    7.1073E-21    2.1554E-14    8.2350E-07    1.0000E+00
    5.322738E+03    1.0000E-99    9.2573E-21    2.7541E-14    9.5784E-07    1.0000E+00
    5.636785E+03    1.0000E-99    1.2356E-20    3.6154E-14    1.1332E-06    1.0000E+00
    5.969249E+03    1.0000E-99    1.6959E-20    4.8948E-14    1.3673E-06    1.0000E+00
    6.324633E+03    1.0000E-99    2.3938E-20    6.8508E-14    1.6860E-06    1.0000E+00
    6.696793E+03    1.0000E-99    3.7763E-20    1.0617E-13    2.2163E-06    1.0000E+00
    7.079796E+03    1.0000E-99    6.8349E-20    1.8628E-13    3.1387E-06    1.0000E+00
    7.407135E+03    1.0000E-99    1.3776E-19    3.5565E-13    4.6309E-06    1.0000E+00
    7.692817E+03    1.0000E-99    2.9399E-19    7.1469E-13    7.0039E-06    9.9999E-01
    7.943790E+03    1.0000E-99    6.7093E-19    1.5262E-12    1.0931E-05    9.9999E-01
    8.178255E+03    1.0000E-99    1.6752E-18    3.5557E-12    1.7894E-05    9.9998E-01
    8.396906E+03    1.0000E-99    4.5218E-18    8.9641E-12    3.0585E-05    9.9997E-01
    8.600030E+03    1.0000E-99    1.3024E-17    2.4178E-11    5.4217E-05    9.9995E-01
    8.794946E+03    1.0000E-99    4.0679E-17    7.0979E-11    1.0068E-04    9.9990E-01
    8.979615E+03    1.0000E-99    1.3511E-16    2.2272E-10    1.9382E-04    9.9981E-01
    9.145090E+03    1.0000E-99    4.4020E-16    6.9135E-10    3.7014E-04    9.9963E-01
    9.307344E+03    1.0000E-99    1.5556E-15    2.3370E-09    7.4095E-04    9.9926E-01
    9.467105E+03    1.0000E-99    6.0373E-15    8.7092E-09    1.5658E-03    9.9843E-01
    9.611352E+03    1.0000E-99    2.2913E-14    3.1951E-08    3.2753E-03    9.9672E-01
    9.749622E+03    1.0000E-99    9.2285E-14    1.2460E-07    7.0810E-03    9.9292E-01
    9.884725E+03    1.0000E-99    4.0792E-13    5.3223E-07    1.6068E-02    9.8393E-01
    1.001128E+04    1.0000E-99    1.8505E-12    2.3295E-06    3.6742E-02    9.6326E-01
    1.013294E+04    1.0000E-99    8.7456E-12    1.0601E-05    8.4719E-02    9.1527E-01
    1.025192E+04    1.0000E-99    4.2192E-11    4.9209E-05    1.9126E-01    8.0869E-01
    1.036523E+04    1.0000E-99    1.8335E-10    2.0605E-04    3.8229E-01    6.1751E-01
    1.047433E+04    1.0000E-99    6.6716E-10    7.2310E-04    6.2536E-01    3.7391E-01
    1.058087E+04    1.0000E-99    2.0258E-09    2.1158E-03    8.2375E-01    1.7414E-01
    1.068358E+04    1.0000E-99    5.4349E-09    5.4637E-03    9.2797E-01    6.6565E-02
    1.078178E+04    1.0000E-99    1.3929E-08    1.3477E-02    9.6412E-01    2.2406E-02
    1.087424E+04    1.0000E-99    3.5261E-08    3.2916E-02    9.6017E-01    6.9171E-03
    1.096142E+04    1.0000E-99    8.8041E-08    7.9688E-02    9.1835E-01    1.9622E-03
    1.104427E+04    1.0000E-99    2.0753E-07    1.8342E-01    8.1608E-01    4.9997E-04
    1.116962E+04    1.0000E-99    5.8856E-07    5.0785E-01    4.9211E-01    4.0459E-05
    1.128592E+04    1.0000E-99    9.9375E-07    8.3137E-01    1.6862E-01    1.7648E-06
    1.138719E+04    1.0000E-99    1.2330E-06    9.5917E-01    4.0833E-02    5.5244E-08
    1.148357E+04    1.0000E-99    1.4404E-06    9.9246E-01    7.5431E-03    1.0752E-09
    1.157588E+04    1.0000E-99    1.6977E-06    9.9889E-01    1.1085E-03    1.2815E-11
    1.165789E+04    1.0000E-99    2.0219E-06    9.9985E-01    1.4876E-04    1.2364E-13
    1.172968E+04    1.0000E-99    2.4477E-06    9.9998E-01    1.9477E-05    1.1176E-15
    1.179602E+04    1.0000E-99    3.0740E-06    9.9999E-01    2.5433E-06    9.9577E-18
    1.185624E+04    1.0000E-99    4.0546E-06    1.0000E+00    3.7416E-07    1.1716E-19
    1.191139E+04    1.0000E-99    5.5735E-06    9.9999E-01    5.9793E-08    1.7265E-21
    1.196310E+04    1.0000E-99    7.8963E-06    9.9999E-01    9.6862E-09    6.7411E-23
    1.200903E+04    1.0000E-99    1.1188E-05    9.9999E-01    1.7232E-09    4.3395E-23
    1.204957E+04    1.0000E-99    1.5667E-05    9.9998E-01    3.4022E-10    4.3629E-23
    1.208724E+04    1.0000E-99    2.1852E-05    9.9998E-01    6.9823E-11    4.4481E-23
    1.211780E+04    1.0000E-99    2.8901E-05    9.9997E-01    1.8468E-11    4.5456E-23
    1.214029E+04    1.0000E-99    3.5620E-05    9.9996E-01    6.8015E-12    4.6372E-23
    1.215784E+04    1.0000E-99    4.1970E-05    9.9996E-01    3.0959E-12    4.7199E-23
    1.217298E+04    1.0000E-99    4.8338E-05    9.9995E-01    1.5703E-12    4.7968E-23
    1.218654E+04    1.0000E-99    5.4842E-05    9.9995E-01    8.5632E-13    4.8679E-23
    1.220016E+04    1.0000E-99    6.2252E-05    9.9994E-01    4.6657E-13    4.9394E-23
    1.221368E+04    1.0000E-99    7.0560E-05    9.9993E-01    2.5668E-13    5.0083E-23
    1.222859E+04    1.0000E-99    8.0897E-05    9.9992E-01    1.3425E-13    5.0798E-23
    1.224457E+04    1.0000E-99    9.3510E-05    9.9991E-01    6.7878E-14    5.1500E-23
    1.225965E+04    1.0000E-99    1.0704E-04    9.9989E-01    3.6089E-14    5.2101E-23
    1.227256E+04    1.0000E-99    1.1984E-04    9.9988E-01    2.1357E-14    5.2566E-23
    1.228514E+04    1.0000E-99    1.3341E-04    9.9987E-01    1.3007E-14    5.2981E-23
    1.229683E+04    1.0000E-99    1.4717E-04    9.9985E-01    8.2727E-15    5.3344E-23
    1.232733E+04    1.0000E-99    1.8551E-04    9.9981E-01    2.8704E-15    5.4170E-23
    1.289197E+04    1.0000E-99    2.7087E-03    9.9729E-01    7.8263E-21    7.8239E-23
    1.402569E+04    1.0000E-99    4.8892E-02    9.5111E-01    1.3208E-21    9.4707E-23
