#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] temp[K] ne[/cm^3] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8
4.375025e+03 7.828840e+04 9.711839e+12 1.112092e-39 1.533175e-30 3.221107e-22 7.521914e-15 9.681315e-09 3.411854e-04 1.727521e-01 8.061765e-01 2.073025e-02 
4.625029e+03 7.641548e+04 8.838232e+12 1.989070e-39 2.852177e-30 6.120215e-22 1.408434e-14 1.694829e-08 5.217876e-04 2.165615e-01 7.689501e-01 1.396664e-02 
4.875029e+03 7.478402e+04 8.046396e+12 3.070380e-39 4.611975e-30 1.016343e-21 2.340150e-14 2.668967e-08 7.387700e-04 2.592101e-01 7.302293e-01 9.821798e-03 
5.125029e+03 7.318829e+04 7.319264e+12 4.662178e-39 7.366242e-30 1.664398e-21 3.832311e-14 4.163325e-08 1.035004e-03 3.067713e-01 6.853402e-01 6.853402e-03 
5.375030e+03 7.166051e+04 6.652166e+12 7.103065e-39 1.172006e-29 2.724533e-21 6.291286e-14 6.494231e-08 1.440907e-03 3.597195e-01 6.342022e-01 4.637287e-03 
5.625029e+03 7.017969e+04 6.045529e+12 1.024772e-38 1.778117e-29 4.254187e-21 9.804572e-14 9.693786e-08 1.949836e-03 4.132323e-01 5.816272e-01 3.190640e-03 
5.875027e+03 6.872108e+04 5.490920e+12 1.474436e-38 2.695075e-29 6.647047e-21 1.540906e-13 1.444222e-07 2.616519e-03 4.701275e-01 5.251167e-01 2.139141e-03 
6.125024e+03 6.735097e+04 4.988952e+12 2.036404e-38 3.908051e-29 9.951361e-21 2.319788e-13 2.082537e-07 3.420369e-03 5.245883e-01 4.705478e-01 1.443277e-03 
6.375019e+03 6.576495e+04 4.520589e+12 3.338478e-38 6.698494e-29 1.751803e-20 4.020532e-13 3.352837e-07 4.788741e-03 5.944644e-01 3.998994e-01 8.471835e-04 
6.625017e+03 6.310717e+04 4.062019e+12 1.049757e-37 2.146518e-28 5.491639e-20 1.167267e-12 8.147367e-07 8.695747e-03 7.121112e-01 2.788906e-01 3.016093e-04 
6.875017e+03 6.126971e+04 3.687910e+12 2.326881e-37 4.869213e-28 1.241003e-19 2.516478e-12 1.534018e-06 1.309948e-02 7.842449e-01 2.025248e-01 1.292711e-04 
7.125017e+03 5.962199e+04 3.375218e+12 5.081519e-37 1.087522e-27 2.752489e-19 5.264377e-12 2.810234e-06 1.924818e-02 8.382581e-01 1.424365e-01 5.437610e-05 
7.375020e+03 5.787174e+04 3.108056e+12 1.277539e-36 2.751623e-27 6.824462e-19 1.212024e-11 5.492327e-06 2.893572e-02 8.778988e-01 9.314026e-02 1.976364e-05 
7.625021e+03 5.593108e+04 2.875480e+12 3.887702e-36 8.316411e-27 1.975305e-18 3.183135e-11 1.176376e-05 4.541943e-02 8.995815e-01 5.498141e-02 5.888170e-06 
