#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 81
#vel_mid[km/s] co0 co1 co2
250.00 2.6481e-02 4.9226e-01 4.8126e-01
750.00 1.5131e-02 4.5544e-01 5.2943e-01
1250.00 5.7752e-03 3.8701e-01 6.0721e-01
1750.00 1.5278e-03 3.0963e-01 6.8885e-01
2250.00 3.3388e-04 2.6420e-01 7.3546e-01
2750.00 1.4185e-04 2.3386e-01 7.6600e-01
3250.00 7.5880e-05 2.0375e-01 7.9617e-01
3750.00 5.0788e-05 1.7168e-01 8.2827e-01
4250.00 3.3825e-05 1.4685e-01 8.5311e-01
4750.00 2.5769e-05 1.2577e-01 8.7420e-01
5250.00 1.8892e-05 1.0417e-01 8.9581e-01
5750.00 1.4422e-05 8.7538e-02 9.1245e-01
6250.00 1.0446e-05 7.1864e-02 9.2813e-01
6750.00 1.1065e-05 6.6609e-02 9.3338e-01
7250.00 1.4856e-05 7.7220e-02 9.2277e-01
7750.00 3.5533e-05 1.1235e-01 8.8762e-01
8250.00 1.6373e-04 1.6809e-01 8.3175e-01
8750.00 8.2977e-04 2.2213e-01 7.7704e-01
9250.00 2.2063e-03 2.8629e-01 7.1150e-01
9750.00 3.9119e-03 3.3316e-01 6.6293e-01
10250.00 7.3740e-03 3.7649e-01 6.1614e-01
10750.00 9.8882e-03 4.0584e-01 5.8428e-01
11250.00 1.3642e-02 4.5059e-01 5.3577e-01
11750.00 1.4713e-02 4.6493e-01 5.2036e-01
12250.00 1.6424e-02 4.6741e-01 5.1617e-01
12750.00 0.0000e+00 0.0000e+00 0.0000e+00
13250.00 0.0000e+00 0.0000e+00 0.0000e+00
13750.00 0.0000e+00 0.0000e+00 0.0000e+00
14250.00 0.0000e+00 0.0000e+00 0.0000e+00
14750.00 0.0000e+00 0.0000e+00 0.0000e+00
15250.00 0.0000e+00 0.0000e+00 0.0000e+00
15750.00 0.0000e+00 0.0000e+00 0.0000e+00
16250.00 0.0000e+00 0.0000e+00 0.0000e+00
16750.00 0.0000e+00 0.0000e+00 0.0000e+00
17250.00 0.0000e+00 0.0000e+00 0.0000e+00
17750.00 0.0000e+00 0.0000e+00 0.0000e+00
18250.00 0.0000e+00 0.0000e+00 0.0000e+00
18750.00 0.0000e+00 0.0000e+00 0.0000e+00
19250.00 0.0000e+00 0.0000e+00 0.0000e+00
19750.00 0.0000e+00 0.0000e+00 0.0000e+00
20250.00 0.0000e+00 0.0000e+00 0.0000e+00
20750.00 0.0000e+00 0.0000e+00 0.0000e+00
21250.00 0.0000e+00 0.0000e+00 0.0000e+00
21750.00 0.0000e+00 0.0000e+00 0.0000e+00
22250.00 0.0000e+00 0.0000e+00 0.0000e+00
22750.00 0.0000e+00 0.0000e+00 0.0000e+00
23250.00 0.0000e+00 0.0000e+00 0.0000e+00
23750.00 0.0000e+00 0.0000e+00 0.0000e+00
24250.00 0.0000e+00 0.0000e+00 0.0000e+00
24750.00 0.0000e+00 0.0000e+00 0.0000e+00
25250.00 0.0000e+00 0.0000e+00 0.0000e+00
25750.00 0.0000e+00 0.0000e+00 0.0000e+00
26250.00 0.0000e+00 0.0000e+00 0.0000e+00
26750.00 0.0000e+00 0.0000e+00 0.0000e+00
