#NTIMES:     39
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ni1           ni2           ni3           ni4           ni5           ni6
    1.025000E+03    1.0000E-99    2.7626E-30    1.6212E-21    3.0448E-13    8.3824E-06    9.9999E-01
    1.037120E+03    1.0000E-99    2.7237E-30    1.6041E-21    3.0229E-13    8.3519E-06    9.9999E-01
    1.061360E+03    1.0000E-99    2.6937E-30    1.5944E-21    3.0168E-13    8.3500E-06    9.9999E-01
    1.109839E+03    1.0000E-99    2.7250E-30    1.6213E-21    3.0692E-13    8.4412E-06    9.9999E-01
    1.213017E+03    1.0000E-99    2.9062E-30    1.7381E-21    3.2613E-13    8.7486E-06    9.9999E-01
    1.325723E+03    1.0000E-99    3.1477E-30    1.8908E-21    3.5036E-13    9.1229E-06    9.9999E-01
    1.448902E+03    1.0000E-99    3.4486E-30    2.0803E-21    3.7988E-13    9.5641E-06    9.9999E-01
    1.583526E+03    1.0000E-99    3.8237E-30    2.3164E-21    4.1596E-13    1.0085E-05    9.9999E-01
    1.730658E+03    1.0000E-99    4.2974E-30    2.6141E-21    4.6059E-13    1.0704E-05    9.9999E-01
    1.891461E+03    1.0000E-99    4.8932E-30    2.9892E-21    5.1571E-13    1.1436E-05    9.9999E-01
    2.067205E+03    1.0000E-99    5.6687E-30    3.4770E-21    5.8569E-13    1.2321E-05    9.9999E-01
    2.259278E+03    1.0000E-99    6.6840E-30    4.1162E-21    6.7507E-13    1.3392E-05    9.9999E-01
    2.469197E+03    1.0000E-99    8.0749E-30    4.9887E-21    7.9342E-13    1.4723E-05    9.9999E-01
    2.698621E+03    1.0000E-99    1.0002E-29    6.1954E-21    9.5177E-13    1.6385E-05    9.9998E-01
    2.949361E+03    1.0000E-99    1.2753E-29    7.9131E-21    1.1689E-12    1.8490E-05    9.9998E-01
    3.223399E+03    1.0000E-99    1.6843E-29    1.0454E-20    1.4768E-12    2.1217E-05    9.9998E-01
    3.522899E+03    1.0000E-99    2.3160E-29    1.4353E-20    1.9271E-12    2.4817E-05    9.9998E-01
    3.850227E+03    1.0000E-99    3.3394E-29    2.0613E-20    2.6118E-12    2.9685E-05    9.9997E-01
    4.207968E+03    1.0000E-99    5.0917E-29    3.1204E-20    3.7000E-12    3.6453E-05    9.9996E-01
    4.598949E+03    1.0000E-99    8.2916E-29    5.0243E-20    5.5213E-12    4.6161E-05    9.9995E-01
    5.026257E+03    1.0000E-99    1.4590E-28    8.6973E-20    8.7565E-12    6.0599E-05    9.9994E-01
    5.493268E+03    1.0000E-99    2.8109E-28    1.6386E-19    1.4919E-11    8.3006E-05    9.9992E-01
    6.003672E+03    1.0000E-99    6.0258E-28    3.4127E-19    2.7615E-11    1.1942E-04    9.9988E-01
    6.563976E+03    1.0000E-99    1.4700E-27    8.0792E-19    5.6955E-11    1.8313E-04    9.9982E-01
    7.150150E+03    1.0000E-99    5.4306E-27    2.8571E-18    1.6018E-10    3.3831E-04    9.9966E-01
    7.624563E+03    1.0000E-99    2.9369E-26    1.3434E-17    5.5383E-10    6.9632E-04    9.9930E-01
    8.015598E+03    1.0000E-99    2.0416E-25    7.7070E-17    2.2220E-09    1.5457E-03    9.9845E-01
    8.365060E+03    1.0000E-99    1.9425E-24    5.7968E-16    1.0990E-08    3.8489E-03    9.9615E-01
    8.678533E+03    1.0000E-99    2.3687E-23    5.4201E-15    6.4341E-08    1.0507E-02    9.8949E-01
    8.970829E+03    1.0000E-99    3.7932E-22    6.4552E-14    4.5385E-07    3.1616E-02    9.6838E-01
    9.225513E+03    1.0000E-99    6.0072E-21    7.5971E-13    3.1449E-06    9.2168E-02    9.0783E-01
    9.474694E+03    1.0000E-99    1.1347E-19    1.0359E-11    2.3820E-05    2.6486E-01    7.3511E-01
    9.694307E+03    1.0000E-99    1.5672E-18    1.0392E-10    1.3287E-04    5.6108E-01    4.3878E-01
    9.904307E+03    1.0000E-99    1.7925E-17    8.4082E-10    5.6587E-04    8.3461E-01    1.6482E-01
    1.009658E+04    1.0000E-99    1.7352E-16    5.6625E-09    1.9381E-03    9.5327E-01    4.4790E-02
    1.028085E+04    1.0000E-99    1.8501E-15    4.0697E-08    6.6258E-03    9.8373E-01    9.6421E-03
    1.045267E+04    1.0000E-99    2.1752E-14    3.1633E-07    2.3347E-02    9.7484E-01    1.8107E-03
    1.061724E+04    1.0000E-99    3.0090E-13    2.7993E-06    8.6932E-02    9.1279E-01    2.7648E-04
    1.077223E+04    1.0000E-99    4.1672E-12    2.4118E-05    2.9482E-01    7.0512E-01    3.0410E-05
    1.091419E+04    1.0000E-99    3.9766E-11    1.4202E-04    6.5967E-01    3.4019E-01    1.9242E-06
    1.104427E+04    1.0000E-99    2.3861E-10    5.2588E-04    9.0363E-01    9.5848E-02    6.5942E-08
    1.116962E+04    1.0000E-99    1.2649E-09    1.6762E-03    9.7972E-01    1.8601E-02    1.2736E-09
    1.128592E+04    1.0000E-99    7.0335E-09    5.4072E-03    9.9160E-01    2.9916E-03    1.7253E-11
    1.138719E+04    1.0000E-99    4.1594E-08    1.7845E-02    9.8170E-01    4.5110E-04    2.0824E-13
    1.148357E+04    1.0000E-99    2.9535E-07    6.5236E-02    9.3471E-01    5.3303E-05    1.4946E-15
    1.157588E+04    1.0000E-99    2.2068E-06    2.3451E-01    7.6548E-01    4.3777E-06    5.5058E-18
    1.165789E+04    1.0000E-99    1.1244E-05    5.7739E-01    4.2260E-01    2.3265E-07    1.2121E-20
    1.172968E+04    1.0000E-99    3.4166E-05    8.5923E-01    1.4073E-01    7.3545E-09    1.6884E-23
    1.179602E+04    1.0000E-99    8.4149E-05    9.6864E-01    3.1281E-02    1.2882E-10    4.0294E-25
    1.185624E+04    1.0000E-99    2.0582E-04    9.9424E-01    5.5512E-03    1.5078E-12    7.1654E-26
    1.191139E+04    1.0000E-99    5.3025E-04    9.9862E-01    8.4932E-04    1.2637E-14    1.0880E-26
    1.196310E+04    1.0000E-99    1.4860E-03    9.9841E-01    1.0852E-04    6.7300E-17    1.3771E-27
    1.200903E+04    1.0000E-99    4.3092E-03    9.9568E-01    1.2693E-05    2.8386E-19    1.6284E-28
    1.204957E+04    1.0000E-99    1.2855E-02    9.8714E-01    1.3737E-06    1.2940E-21    1.8264E-29
    1.208724E+04    1.0000E-99    4.3557E-02    9.5644E-01    1.1331E-07    3.0795E-22    1.5459E-30
    1.211780E+04    1.0000E-99    1.3683E-01    8.6317E-01    9.2141E-09    2.6401E-22    1.2733E-31
    1.214029E+04    1.0000E-99    3.0847E-01    6.9153E-01    9.8965E-10    2.0745E-22    1.4079E-32
    1.215784E+04    1.0000E-99    5.1304E-01    4.8696E-01    1.2774E-10    1.4814E-22    1.9078E-33
    1.217298E+04    1.0000E-99    6.9889E-01    3.0111E-01    1.6339E-11    9.4731E-23    2.5911E-34
    1.218654E+04    1.0000E-99    8.3271E-01    1.6729E-01    1.9948E-12    5.4571E-23    3.3479E-35
    1.220016E+04    1.0000E-99    9.2067E-01    7.9331E-02    1.8254E-13    2.6601E-23    3.2057E-36
    1.221368E+04    1.0000E-99    9.6709E-01    3.2909E-02    1.3254E-14    1.1130E-23    2.3833E-37
    1.222859E+04    1.0000E-99    9.8973E-01    1.0268E-02    4.8115E-16    3.4266E-24    8.6689E-39
    1.224457E+04    1.0000E-99    9.9751E-01    2.4864E-03    9.5155E-18    8.0297E-25    1.6855E-40
    1.225965E+04    1.0000E-99    9.9938E-01    6.2246E-04    2.1563E-19    1.9374E-25    3.7354E-42
    1.227256E+04    1.0000E-99    9.9979E-01    2.1348E-04    1.2024E-20    6.4641E-26    2.0500E-43
