#NTIMES: 4
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
2.052500E+04 8.034638E+03 3.371072E-14 1.098553E+09 6.697937E+08
2.057500E+04 8.030311E+03 3.313344E-14 1.078843E+09 6.583238E+08
2.062500E+04 8.031634E+03 3.256576E-14 1.059967E+09 6.470446E+08
2.067500E+04 8.027872E+03 3.200832E-14 1.041342E+09 6.359689E+08
2.072500E+04 8.023377E+03 3.145984E-14 1.023066E+09 6.250712E+08
2.077500E+04 8.020453E+03 3.092160E-14 1.005259E+09 6.143770E+08
2.082500E+04 8.018325E+03 3.039168E-14 9.877685E+08 6.038481E+08
2.087500E+04 8.015771E+03 2.987136E-14 9.706234E+08 5.935099E+08
2.092500E+04 8.012497E+03 2.936000E-14 9.537624E+08 5.833498E+08
2.097500E+04 8.008543E+03 2.885696E-14 9.371601E+08 5.733550E+08
2.102500E+04 7.999935E+03 2.836288E-14 9.207284E+08 5.635382E+08
2.107500E+04 7.997528E+03 2.787712E-14 9.047954E+08 5.538867E+08
2.112500E+04 7.991858E+03 2.739968E-14 8.890541E+08 5.444005E+08
2.117500E+04 7.986140E+03 2.693056E-14 8.735829E+08 5.350796E+08
2.122500E+04 7.985058E+03 2.646912E-14 8.584847E+08 5.259113E+08
2.127500E+04 7.983904E+03 2.601600E-14 8.436804E+08 5.169083E+08
2.132500E+04 7.981266E+03 2.557056E-14 8.290847E+08 5.080579E+08
2.137500E+04 7.978913E+03 2.513280E-14 8.147557E+08 4.993601E+08
2.142500E+04 7.974073E+03 2.470208E-14 8.006287E+08 4.908022E+08
2.147500E+04 7.972577E+03 2.427904E-14 7.868221E+08 4.823969E+08
2.152500E+04 7.964324E+03 2.386368E-14 7.730951E+08 4.741442E+08
2.157500E+04 7.959087E+03 2.345472E-14 7.596713E+08 4.660186E+08
2.162500E+04 7.960129E+03 2.305344E-14 7.466669E+08 4.580456E+08
2.167500E+04 7.954874E+03 2.265856E-14 7.337261E+08 4.501998E+08
2.172500E+04 7.950840E+03 2.227072E-14 7.210381E+08 4.424939E+08
2.177500E+04 7.948890E+03 2.188928E-14 7.086260E+08 4.349151E+08
2.182500E+04 7.948568E+03 2.151424E-14 6.964355E+08 4.274635E+08
2.187500E+04 7.948808E+03 2.114560E-14 6.844683E+08 4.201390E+08
2.192500E+04 7.943954E+03 2.078400E-14 6.726396E+08 4.129544E+08
2.197500E+04 7.938009E+03 2.042752E-14 6.609688E+08 4.058716E+08
2.202500E+04 7.936834E+03 2.007808E-14 6.496187E+08 3.989286E+08
2.207500E+04 7.935026E+03 1.973440E-14 6.384427E+08 3.921001E+08
2.212500E+04 7.928583E+03 1.939648E-14 6.273483E+08 3.853860E+08
2.217500E+04 7.925644E+03 1.906432E-14 6.165437E+08 3.787864E+08
2.222500E+04 7.922135E+03 1.873792E-14 6.059307E+08 3.723012E+08
2.227500E+04 7.916184E+03 1.841664E-14 5.954212E+08 3.659177E+08
2.232500E+04 7.914724E+03 1.810112E-14 5.851703E+08 3.596487E+08
2.237500E+04 7.910848E+03 1.779136E-14 5.750861E+08 3.534941E+08
2.242500E+04 7.908621E+03 1.748672E-14 5.652109E+08 3.474412E+08
2.247500E+04 7.907551E+03 1.718720E-14 5.554956E+08 3.414901E+08
2.252500E+04 7.904130E+03 1.689280E-14 5.459289E+08 3.356407E+08
2.257500E+04 7.898312E+03 1.660352E-14 5.364814E+08 3.298931E+08
2.262500E+04 7.895723E+03 1.631936E-14 5.272451E+08 3.242471E+08
2.267500E+04 7.890168E+03 1.603968E-14 5.181209E+08 3.186902E+08
2.272500E+04 7.885955E+03 1.576512E-14 5.091809E+08 3.132350E+08
2.277500E+04 7.882964E+03 1.549504E-14 5.004165E+08 3.078688E+08
2.282500E+04 7.877212E+03 1.523008E-14 4.917704E+08 3.026044E+08
2.287500E+04 7.874567E+03 1.496896E-14 4.833044E+08 2.974162E+08
2.292500E+04 7.872357E+03 1.471296E-14 4.750037E+08 2.923298E+08
2.297500E+04 7.874291E+03 1.446080E-14 4.668923E+08 2.873196E+08
2.302500E+04 7.864439E+03 1.421312E-14 4.587708E+08 2.823985E+08
2.307500E+04 7.862740E+03 1.396992E-14 4.509026E+08 2.775664E+08
2.312500E+04 7.860763E+03 1.373056E-14 4.431464E+08 2.728106E+08
2.317500E+04 7.856627E+03 1.349568E-14 4.355180E+08 2.681438E+08
2.322500E+04 7.850304E+03 1.326400E-14 4.279687E+08 2.635406E+08
2.327500E+04 7.846772E+03 1.303744E-14 4.206166E+08 2.590391E+08
2.332500E+04 7.841019E+03 1.281408E-14 4.133437E+08 2.546012E+08
2.337500E+04 7.840756E+03 1.259456E-14 4.062584E+08 2.502396E+08
2.342500E+04 7.834272E+03 1.237888E-14 3.992279E+08 2.459543E+08
2.347500E+04 7.832376E+03 1.216704E-14 3.923798E+08 2.417452E+08
2.352500E+04 7.827638E+03 1.195840E-14 3.856035E+08 2.375998E+08
2.357500E+04 7.823489E+03 1.175360E-14 3.789691E+08 2.335307E+08
2.362500E+04 7.822794E+03 1.155264E-14 3.724832E+08 2.295378E+08
2.367500E+04 7.814210E+03 1.135488E-14 3.660214E+08 2.256085E+08
