#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 7.7476e-08 2.9671e-02 7.6381e-01 2.0651e-01
7250.00 8.6731e-08 3.3535e-02 7.6309e-01 2.0338e-01
7750.00 2.2807e-07 7.7854e-02 7.4781e-01 1.7433e-01
8250.00 7.3438e-07 1.8347e-01 6.8227e-01 1.3426e-01
8750.00 1.8364e-06 3.2632e-01 5.7297e-01 1.0071e-01
9250.00 3.4767e-06 4.5151e-01 4.7043e-01 7.8050e-02
9750.00 5.0878e-06 4.9506e-01 4.3956e-01 6.5369e-02
10250.00 7.0399e-06 5.3204e-01 4.1264e-01 5.5309e-02
10750.00 9.8969e-06 6.1741e-01 3.3976e-01 4.2827e-02
11250.00 1.3265e-05 6.2524e-01 3.3693e-01 3.7820e-02
11750.00 1.3842e-05 6.6100e-01 3.0598e-01 3.3005e-02
12250.00 1.3306e-05 6.5878e-01 3.1000e-01 3.1211e-02
12750.00 1.3984e-05 6.1894e-01 3.4326e-01 3.7779e-02
13250.00 1.1608e-05 6.0167e-01 3.5610e-01 4.2220e-02
13750.00 1.0112e-05 6.4594e-01 3.1162e-01 4.2429e-02
14250.00 9.5729e-06 5.6913e-01 3.7783e-01 5.3030e-02
14750.00 8.6294e-06 5.8007e-01 3.6496e-01 5.4960e-02
15250.00 7.2463e-06 5.2597e-01 4.1083e-01 6.3192e-02
15750.00 7.6050e-06 4.6504e-01 4.6600e-01 6.8953e-02
16250.00 5.8913e-06 4.8681e-01 4.3793e-01 7.5254e-02
16750.00 5.3345e-06 3.9451e-01 5.1667e-01 8.8818e-02
17250.00 5.6241e-06 5.0914e-01 4.0318e-01 8.7678e-02
17750.00 3.8567e-06 3.4190e-01 5.4652e-01 1.1157e-01
18250.00 6.2088e-06 4.4241e-01 4.4439e-01 1.1319e-01
18750.00 5.0344e-06 4.4342e-01 4.3844e-01 1.1814e-01
19250.00 3.7325e-06 2.8545e-01 5.6348e-01 1.5106e-01
19750.00 4.5793e-06 3.8031e-01 4.6547e-01 1.5422e-01
20250.00 3.2781e-06 2.7447e-01 5.4331e-01 1.8222e-01
20750.00 3.5350e-06 3.3634e-01 4.7128e-01 1.9238e-01
21250.00 1.8041e-06 1.4550e-01 6.1468e-01 2.3982e-01
21750.00 2.6258e-06 2.3456e-01 5.3511e-01 2.3033e-01
22250.00 1.0672e-06 9.3592e-02 6.2445e-01 2.8196e-01
22750.00 2.7933e-06 2.8866e-01 4.4740e-01 2.6393e-01
23250.00 8.7450e-07 8.7493e-02 5.7243e-01 3.4007e-01
23750.00 2.1833e-06 2.2352e-01 4.6482e-01 3.1166e-01
24250.00 4.9215e-07 5.7324e-02 5.4032e-01 4.0235e-01
24750.00 1.3752e-06 1.7205e-01 4.2883e-01 3.9912e-01
25250.00 1.8038e-07 2.5629e-02 5.0206e-01 4.7231e-01
25750.00 1.7009e-07 3.3631e-02 4.5468e-01 5.1168e-01
26250.00 4.6348e-07 9.2962e-02 3.7859e-01 5.2845e-01
26750.00 2.4571e-07 5.6347e-02 3.6426e-01 5.7940e-01
27250.00 1.6137e-07 4.7115e-02 3.3520e-01 6.1769e-01
27750.00 1.3290e-08 4.1137e-03 3.2987e-01 6.6602e-01
28250.00 1.1401e-07 3.3688e-02 2.7760e-01 6.8871e-01
28750.00 1.5277e-08 5.8329e-03 2.6713e-01 7.2703e-01
29250.00 8.5595e-09 3.4578e-03 2.3929e-01 7.5725e-01
29750.00 5.7282e-09 2.9426e-03 2.0781e-01 7.8925e-01
