#NTIMES: 145 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
37250.00 3.97e+03 1.84e-16 3.66e+06 3.42e+06 
37750.00 3.50e+03 1.55e-16 3.06e+06 2.88e+06 
38250.00 4.61e+03 1.31e-16 2.60e+06 2.42e+06 
38750.00 3.56e+03 1.10e-16 2.18e+06 2.04e+06 
39250.00 4.96e+03 9.24e-17 1.84e+06 1.71e+06 
39750.00 3.50e+03 7.78e-17 1.53e+06 1.44e+06 
40250.00 3.50e+03 6.54e-17 1.29e+06 1.21e+06 
#TIME: 4.22 
#NVEL: 81 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
250.00 1.40e+05 5.91e-11 2.33e+12 5.65e+11 
750.00 1.40e+05 5.10e-11 2.02e+12 4.87e+11 
1250.00 1.40e+05 4.32e-11 1.72e+12 4.13e+11 
1750.00 1.40e+05 3.65e-11 1.45e+12 3.49e+11 
2250.00 1.36e+05 3.07e-11 1.21e+12 2.94e+11 
2750.00 1.25e+05 2.59e-11 1.01e+12 2.48e+11 
3250.00 1.15e+05 2.18e-11 8.41e+11 2.08e+11 
3750.00 1.06e+05 1.84e-11 7.03e+11 1.75e+11 
4250.00 9.74e+04 1.54e-11 5.88e+11 1.48e+11 
4750.00 8.95e+04 1.30e-11 4.93e+11 1.24e+11 
5250.00 8.25e+04 1.09e-11 4.13e+11 1.05e+11 
5750.00 7.60e+04 9.21e-12 3.45e+11 8.81e+10 
6250.00 7.01e+04 7.75e-12 2.86e+11 7.41e+10 
6750.00 4.73e+04 6.52e-12 2.58e+11 6.26e+10 
7250.00 4.28e+04 5.49e-12 2.23e+11 5.50e+10 
7750.00 3.87e+04 4.62e-12 2.02e+11 5.04e+10 
8250.00 3.60e+04 3.89e-12 1.87e+11 4.70e+10 
8750.00 3.57e+04 3.27e-12 1.71e+11 4.38e+10 
9250.00 3.50e+04 2.75e-12 1.54e+11 4.05e+10 
9750.00 3.20e+04 2.31e-12 1.37e+11 3.68e+10 
10250.00 2.71e+04 1.95e-12 1.18e+11 3.28e+10 
10750.00 2.31e+04 1.64e-12 9.45e+10 2.89e+10 
11250.00 2.01e+04 1.38e-12 7.26e+10 2.50e+10 
11750.00 1.82e+04 1.16e-12 5.60e+10 2.14e+10 
12250.00 1.63e+04 9.76e-13 4.15e+10 1.81e+10 
12750.00 1.49e+04 8.21e-13 3.07e+10 1.52e+10 
13250.00 1.39e+04 6.91e-13 2.45e+10 1.28e+10 
13750.00 1.30e+04 5.82e-13 1.95e+10 1.08e+10 
14250.00 1.20e+04 4.89e-13 1.57e+10 9.07e+09 
14750.00 1.11e+04 4.12e-13 1.29e+10 7.63e+09 
15250.00 1.04e+04 3.46e-13 1.08e+10 6.42e+09 
15750.00 9.72e+03 2.91e-13 9.01e+09 5.40e+09 
16250.00 9.28e+03 2.45e-13 7.56e+09 4.55e+09 
16750.00 8.86e+03 2.06e-13 6.32e+09 3.83e+09 
17250.00 8.56e+03 1.74e-13 5.26e+09 3.22e+09 
17750.00 8.31e+03 1.46e-13 4.34e+09 2.71e+09 
18250.00 7.71e+03 1.23e-13 3.52e+09 2.28e+09 
18750.00 7.79e+03 1.03e-13 2.85e+09 1.92e+09 
19250.00 7.16e+03 8.70e-14 2.25e+09 1.61e+09 
19750.00 6.85e+03 7.32e-14 1.79e+09 1.36e+09 
20250.00 7.04e+03 6.16e-14 1.42e+09 1.14e+09 
20750.00 6.73e+03 5.18e-14 1.14e+09 9.61e+08 
21250.00 6.53e+03 4.36e-14 9.28e+08 8.08e+08 
21750.00 6.00e+03 3.67e-14 8.08e+08 6.80e+08 
22250.00 5.53e+03 3.09e-14 6.40e+08 5.72e+08 
22750.00 5.79e+03 2.60e-14 5.27e+08 4.82e+08 
23250.00 6.58e+03 2.19e-14 4.42e+08 4.05e+08 
23750.00 6.90e+03 1.84e-14 3.70e+08 3.41e+08 
24250.00 7.51e+03 1.55e-14 3.11e+08 2.87e+08 
24750.00 6.72e+03 1.30e-14 2.61e+08 2.41e+08 
25250.00 7.20e+03 1.10e-14 2.29e+08 2.03e+08 
25750.00 4.37e+03 9.21e-15 1.84e+08 1.71e+08 
26250.00 4.41e+03 7.75e-15 1.55e+08 1.44e+08 
26750.00 4.42e+03 6.52e-15 1.30e+08 1.21e+08 
27250.00 4.29e+03 5.49e-15 1.10e+08 1.02e+08 
27750.00 4.92e+03 4.62e-15 9.22e+07 8.56e+07 
28250.00 6.12e+03 3.88e-15 7.75e+07 7.20e+07 
28750.00 5.03e+03 3.27e-15 6.52e+07 6.06e+07 
29250.00 4.17e+03 2.75e-15 5.48e+07 5.10e+07 
29750.00 4.67e+03 2.31e-15 4.61e+07 4.29e+07 
30250.00 3.87e+03 1.95e-15 3.88e+07 3.61e+07 
30750.00 3.96e+03 1.64e-15 3.26e+07 3.04e+07 
31250.00 4.15e+03 1.38e-15 2.74e+07 2.56e+07 
31750.00 3.82e+03 1.16e-15 2.31e+07 2.15e+07 
32250.00 3.66e+03 9.76e-16 1.94e+07 1.81e+07 
32750.00 3.57e+03 8.21e-16 1.63e+07 1.52e+07 
33250.00 5.01e+03 6.91e-16 1.38e+07 1.28e+07 
33750.00 3.50e+03 5.81e-16 1.15e+07 1.08e+07 
34250.00 3.50e+03 4.89e-16 9.71e+06 9.06e+06 
34750.00 4.42e+03 4.11e-16 8.20e+06 7.63e+06 
35250.00 3.82e+03 3.46e-16 6.83e+06 6.42e+06 
35750.00 3.50e+03 2.91e-16 5.75e+06 5.40e+06 
