#NTIMES 4
#NVEL 20
#TIMES[d] 100 200 300 400
#Vel_mid[km/s], Edep_t1 [erg/s/cm3] Edep_t2 ...
2.500000e+02 3.908679e-06 7.291705e-08 5.538435e-09 7.495489e-10
7.500000e+02 3.274250e-06 6.133672e-08 4.684538e-09 6.371869e-10
1.250000e+03 2.649461e-06 5.006721e-08 3.867467e-09 5.308657e-10
1.750000e+03 2.104842e-06 4.021568e-08 3.141951e-09 4.351686e-10
2.250000e+03 1.669903e-06 3.234223e-08 2.571018e-09 3.595267e-10
2.750000e+03 1.308125e-06 2.578808e-08 2.084965e-09 2.943868e-10
3.250000e+03 1.023572e-06 2.057649e-08 1.692573e-09 2.419032e-10
3.750000e+03 7.972386e-07 1.638267e-08 1.369241e-09 1.984887e-10
4.250000e+03 6.195246e-07 1.306588e-08 1.116951e-09 1.631095e-10
4.750000e+03 4.818672e-07 1.042136e-08 9.065156e-10 1.341938e-10
5.250000e+03 3.748434e-07 8.331004e-09 7.388755e-10 1.107073e-10
5.750000e+03 2.901469e-07 6.656722e-09 6.022266e-10 9.125342e-11
6.250000e+03 2.247759e-07 5.319233e-09 4.910673e-10 7.526882e-11
6.750000e+03 1.737671e-07 4.256327e-09 4.009945e-10 6.200305e-11
7.250000e+03 1.323384e-07 3.320232e-09 3.163292e-10 4.927409e-11
7.750000e+03 9.856668e-08 2.484727e-09 2.372948e-10 3.702753e-11
8.250000e+03 7.212497e-08 1.798577e-09 1.704812e-10 2.650357e-11
8.750000e+03 5.155470e-08 1.252618e-09 1.169521e-10 1.802346e-11
9.250000e+03 3.633008e-08 8.433648e-10 7.646060e-11 1.157814e-11
9.750000e+03 2.545936e-08 5.514825e-10 4.786621e-11 7.096225e-12
