#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
30750.00 5.78e-07 1.00e+00 3.66e-04 1.33e-23 5.00e-29 
31250.00 5.80e-07 1.00e+00 3.66e-04 2.10e-22 7.78e-27 
31750.00 1.03e-06 1.00e+00 2.02e-04 1.50e-24 1.16e-28 
32250.00 7.79e-07 1.00e+00 1.70e-04 7.43e-25 1.94e-28 
32750.00 6.06e-07 1.00e+00 1.68e-04 5.21e-24 1.17e-26 
33250.00 1.73e-06 1.00e+00 6.97e-05 3.21e-26 1.40e-28 
33750.00 1.75e-06 1.00e+00 4.89e-05 1.20e-26 2.15e-29 
34250.00 2.58e-06 1.00e+00 3.67e-05 5.67e-27 1.32e-29 
34750.00 4.15e-06 1.00e+00 2.48e-05 7.05e-27 3.69e-29 
35250.00 6.30e-06 1.00e+00 1.72e-05 9.75e-27 7.04e-29 
35750.00 9.05e-07 1.00e+00 2.40e-05 2.54e-26 2.57e-28 
36250.00 2.91e-07 1.00e+00 3.77e-05 7.71e-26 8.96e-28 
36750.00 5.20e-07 1.00e+00 1.94e-05 1.02e-25 1.60e-27 
37250.00 2.97e-07 1.00e+00 2.21e-05 1.16e-25 3.32e-28 
37750.00 1.86e-06 1.00e+00 6.49e-06 5.51e-26 1.40e-28 
38250.00 3.90e-07 1.00e+00 1.11e-05 1.05e-25 1.61e-28 
38750.00 1.23e-06 1.00e+00 3.97e-06 1.58e-25 4.22e-28 
39250.00 3.55e-07 1.00e+00 6.29e-06 1.39e-24 1.15e-26 
39750.00 4.67e-07 1.00e+00 3.58e-06 1.53e-24 1.36e-26 
