#NTIMES:    57
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           si0           si1           si2           si3           si4
    1.025000E+03   1.0000E-099   2.9470E-024   1.3697E-015   2.2743E-007   1.0000E+000
    1.037120E+03   1.0000E-099   2.9167E-024   1.3605E-015   2.2669E-007   1.0000E+000
    1.061360E+03   1.0000E-099   2.8875E-024   1.3517E-015   2.2563E-007   1.0000E+000
    1.109839E+03   1.0000E-099   2.8748E-024   1.3490E-015   2.2431E-007   1.0000E+000
    1.213017E+03   1.0000E-099   2.8942E-024   1.3594E-015   2.2241E-007   1.0000E+000
    1.325723E+03   1.0000E-099   2.9260E-024   1.3746E-015   2.2060E-007   1.0000E+000
    1.448902E+03   1.0000E-099   2.9668E-024   1.3935E-015   2.1879E-007   1.0000E+000
    1.583526E+03   1.0000E-099   3.0171E-024   1.4162E-015   2.1699E-007   1.0000E+000
    1.730658E+03   1.0000E-099   3.0793E-024   1.4438E-015   2.1523E-007   1.0000E+000
    1.891461E+03   1.0000E-099   3.1516E-024   1.4757E-015   2.1347E-007   1.0000E+000
    2.067205E+03   1.0000E-099   3.2413E-024   1.5145E-015   2.1185E-007   1.0000E+000
    2.259278E+03   1.0000E-099   3.3484E-024   1.5606E-015   2.1035E-007   1.0000E+000
    2.469197E+03   1.0000E-099   3.4856E-024   1.6183E-015   2.0918E-007   1.0000E+000
    2.698621E+03   1.0000E-099   3.6553E-024   1.6888E-015   2.0837E-007   1.0000E+000
    2.949361E+03   1.0000E-099   3.8679E-024   1.7761E-015   2.0809E-007   1.0000E+000
    3.223399E+03   1.0000E-099   4.1410E-024   1.8864E-015   2.0859E-007   1.0000E+000
    3.522899E+03   1.0000E-099   4.4947E-024   2.0270E-015   2.1014E-007   1.0000E+000
    3.850227E+03   1.0000E-099   4.9614E-024   2.2095E-015   2.1314E-007   1.0000E+000
    4.207968E+03   1.0000E-099   5.5894E-024   2.4506E-015   2.1817E-007   1.0000E+000
    4.598949E+03   1.0000E-099   6.4557E-024   2.7762E-015   2.2604E-007   1.0000E+000
    5.026257E+03   1.0000E-099   7.6844E-024   3.2272E-015   2.3795E-007   1.0000E+000
    5.493268E+03   1.0000E-099   9.4826E-024   3.8694E-015   2.5563E-007   1.0000E+000
    6.003672E+03   1.0000E-099   1.2215E-023   4.8156E-015   2.8182E-007   1.0000E+000
    6.563976E+03   1.0000E-099   1.6547E-023   6.2583E-015   3.2071E-007   1.0000E+000
    7.150150E+03   1.0000E-099   2.7430E-023   9.4099E-015   3.9798E-007   1.0000E+000
    7.624563E+03   1.0000E-099   5.9260E-023   1.7203E-014   5.5309E-007   1.0000E+000
    8.015598E+03   1.0000E-099   1.4929E-022   3.5413E-014   8.2952E-007   1.0000E+000
    8.365060E+03   1.0000E-099   4.4662E-022   8.3571E-014   1.3572E-006   1.0000E+000
    8.678533E+03   1.0000E-099   1.5372E-021   2.2111E-013   2.3898E-006   1.0000E+000
    8.970829E+03   1.0000E-099   6.1811E-021   6.6538E-013   4.5592E-006   1.0000E+000
    9.225513E+03   1.0000E-099   2.5451E-020   2.0553E-012   8.8588E-006   9.9999E-001
    9.474694E+03   1.0000E-099   1.2368E-019   7.3105E-012   1.8743E-005   9.9998E-001
    9.694307E+03   1.0000E-099   5.9985E-019   2.6170E-011   3.9849E-005   9.9996E-001
    9.904307E+03   1.0000E-099   3.3725E-018   1.0593E-010   9.1015E-005   9.9991E-001
    1.009658E+04   1.0000E-099   2.0863E-017   4.6345E-010   2.1706E-004   9.9978E-001
    1.028085E+04   1.0000E-099   1.5493E-016   2.3534E-009   5.6362E-004   9.9944E-001
    1.045267E+04   1.0000E-099   1.3018E-015   1.3254E-008   1.5540E-003   9.9845E-001
    1.061724E+04   1.0000E-099   1.3203E-014   8.7212E-008   4.6898E-003   9.9531E-001
    1.077223E+04   1.0000E-099   1.5848E-013   6.5882E-007   1.5260E-002   9.8474E-001
    1.091419E+04   1.0000E-099   2.0391E-012   5.2708E-006   5.0666E-002   9.4933E-001
    1.104427E+04   1.0000E-099   2.5643E-011   4.1206E-005   1.6028E-001   8.3968E-001
    1.116962E+04   1.0000E-099   3.0343E-010   2.9649E-004   4.3267E-001   5.6704E-001
    1.128592E+04   1.0000E-099   2.6503E-009   1.5194E-003   7.6998E-001   2.2850E-001
    1.138719E+04   1.0000E-099   1.7288E-008   5.5747E-003   9.3433E-001   6.0094E-002
    1.148357E+04   1.0000E-099   1.2007E-007   2.0058E-002   9.6859E-001   1.1351E-002
    1.157588E+04   1.0000E-099   9.2127E-007   7.5483E-002   9.2286E-001   1.6531E-003
    1.165789E+04   1.0000E-099   6.0656E-006   2.4740E-001   7.5239E-001   1.9974E-004
    1.172968E+04   1.0000E-099   2.7618E-005   5.7062E-001   4.2933E-001   1.6757E-005
    1.179602E+04   1.0000E-099   8.7412E-005   8.5887E-001   1.4104E-001   6.9663E-007
    1.185624E+04   1.0000E-099   2.2587E-004   9.6935E-001   3.0427E-002   1.6533E-008
    1.191139E+04   1.0000E-099   5.6997E-004   9.9419E-001   5.2395E-003   2.7224E-010
    1.196310E+04   1.0000E-099   1.5333E-003   9.9772E-001   7.4492E-004   3.0494E-012
    1.200903E+04   1.0000E-099   4.2250E-003   9.9568E-001   9.8041E-005   2.8712E-014
    1.204957E+04   1.0000E-099   1.1763E-002   9.8822E-001   1.2078E-005   2.2262E-016
    1.208724E+04   1.0000E-099   3.6225E-002   9.6377E-001   1.1693E-006   9.8749E-019
    1.211780E+04   1.0000E-099   1.0398E-001   8.9602E-001   1.1812E-007   5.1491E-021
    1.214029E+04   1.0000E-099   2.2730E-001   7.7270E-001   1.6640E-008   1.5814E-022
    1.215784E+04   1.0000E-099   3.8884E-001   6.1116E-001   2.9340E-009   8.2137E-023
    1.217298E+04   1.0000E-099   5.6351E-001   4.3649E-001   5.3085E-010   6.1070E-023
    1.218654E+04   1.0000E-099   7.1823E-001   2.8177E-001   9.2595E-011   4.1555E-023
