#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7
2.267500E+04 1.093807E-06 9.740568E-01 2.594214E-02 8.840369E-11 7.353919E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.272500E+04 1.093455E-06 9.744185E-01 2.558039E-02 8.516821E-11 6.861400E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.277500E+04 1.089937E-06 9.746361E-01 2.536285E-02 8.316922E-11 6.558077E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.282500E+04 1.091948E-06 9.751042E-01 2.489466E-02 7.915397E-11 5.979573E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.287500E+04 1.087838E-06 9.752892E-01 2.470974E-02 7.751600E-11 5.745633E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.292500E+04 1.083886E-06 9.754702E-01 2.452871E-02 7.598494E-11 5.535881E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.297500E+04 1.072339E-06 9.752996E-01 2.469929E-02 7.727713E-11 5.709050E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.302500E+04 1.079382E-06 9.760097E-01 2.398918E-02 7.144486E-11 4.921783E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.307500E+04 1.073602E-06 9.761109E-01 2.388802E-02 7.055133E-11 4.802536E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.312500E+04 1.069385E-06 9.762723E-01 2.372666E-02 6.926691E-11 4.641350E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.317500E+04 1.067482E-06 9.765496E-01 2.344934E-02 6.705545E-11 4.363062E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.322500E+04 1.068916E-06 9.769776E-01 2.302135E-02 6.378037E-11 3.967576E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.327500E+04 1.066494E-06 9.772196E-01 2.277933E-02 6.196063E-11 3.756108E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.332500E+04 1.067483E-06 9.776120E-01 2.238694E-02 5.911997E-11 3.437601E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.337500E+04 1.060082E-06 9.776278E-01 2.237110E-02 5.895313E-11 3.418647E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.342500E+04 1.062310E-06 9.780672E-01 2.193173E-02 5.589229E-11 3.091828E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.347500E+04 1.056662E-06 9.781656E-01 2.183332E-02 5.514133E-11 3.010726E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.352500E+04 1.055608E-06 9.784607E-01 2.153829E-02 5.311873E-11 2.803921E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.357500E+04 1.052228E-06 9.786657E-01 2.133325E-02 5.165388E-11 2.653469E-27 0.000000E+00 0.000000E+00 0.000000E+00
