#NTIMES:     39
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.632859E+04    5.0000E+03    2.2447E-12    4.4716E+10    4.4583E+10
    1.745157E+04    5.0000E+03    1.5230E-12    3.0329E+10    3.0248E+10
    1.855827E+04    5.0000E+03    1.0391E-12    2.0686E+10    2.0638E+10
    1.963325E+04    5.0000E+03    7.1677E-13    1.4265E+10    1.4236E+10
    2.068109E+04    5.0000E+03    4.9908E-13    9.9299E+09    9.9125E+09
    2.170537E+04    5.0000E+03    3.5035E-13    6.9690E+09    6.9584E+09
    2.269952E+04    5.0000E+03    2.4851E-13    4.9422E+09    4.9357E+09
    2.366536E+04    5.0000E+03    1.7801E-13    3.5398E+09    3.5356E+09
    2.460914E+04    5.0000E+03    1.2848E-13    2.5546E+09    2.5519E+09
    2.553354E+04    5.0000E+03    9.3359E-14    1.8561E+09    1.8543E+09
    2.644080E+04    5.0000E+03    6.8241E-14    1.3567E+09    1.3554E+09
    2.733350E+04    5.0000E+03    5.0132E-14    9.9666E+08    9.9569E+08
    2.821284E+04    5.0000E+03    3.6998E-14    7.3554E+08    7.3484E+08
    2.908138E+04    5.0000E+03    2.7408E-14    5.4485E+08    5.4436E+08
    2.994295E+04    5.0000E+03    2.0352E-14    4.0456E+08    4.0423E+08
    3.079959E+04    5.0000E+03    1.5139E-14    3.0091E+08    3.0068E+08
    3.165298E+04    5.0000E+03    1.1274E-14    2.2405E+08    2.2391E+08
    3.250461E+04    5.0000E+03    8.4002E-15    1.6693E+08    1.6684E+08
    3.335585E+04    5.0000E+03    6.2601E-15    1.2440E+08    1.2433E+08
    3.420806E+04    5.0000E+03    4.6636E-15    9.2669E+07    9.2627E+07
    3.506257E+04    5.0000E+03    3.4715E-15    6.8979E+07    6.8949E+07
    3.592077E+04    5.0000E+03    2.5809E-15    5.1284E+07    5.1260E+07
    3.678416E+04    5.0000E+03    1.9152E-15    3.8060E+07    3.8039E+07
    3.765440E+04    5.0000E+03    1.4179E-15    2.8181E+07    2.8163E+07
    3.853330E+04    5.0000E+03    1.0467E-15    2.0807E+07    2.0789E+07
    3.942287E+04    5.0000E+03    7.6974E-16    1.5306E+07    1.5288E+07
    4.030996E+04    5.0000E+03    5.6656E-16    1.1271E+07    1.1253E+07
    4.032500E+04    5.0000E+03    5.6363E-16    1.1195E+07    1.1195E+07
#TIME:     2.020
#NVEL: 111
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.025000E+03    1.1344E+05    4.3067E-10    2.3188E+13    4.6377E+12
    1.037120E+03    1.1344E+05    4.2887E-10    2.3091E+13    4.6183E+12
    1.061360E+03    1.1339E+05    4.2529E-10    2.2899E+13    4.5798E+12
    1.109839E+03    1.1315E+05    4.1824E-10    2.2519E+13    4.5038E+12
    1.213017E+03    1.1228E+05    4.0360E-10    2.1731E+13    4.3462E+12
    1.325723E+03    1.1123E+05    3.8819E-10    2.0901E+13    4.1802E+12
    1.448902E+03    1.1006E+05    3.7202E-10    2.0030E+13    4.0061E+12
    1.583526E+03    1.0879E+05    3.5511E-10    1.9120E+13    3.8240E+12
    1.730658E+03    1.0741E+05    3.3752E-10    1.8173E+13    3.6346E+12
    1.891461E+03    1.0593E+05    3.1928E-10    1.7191E+13    3.4382E+12
    2.067205E+03    1.0434E+05    3.0048E-10    1.6178E+13    3.2357E+12
    2.259278E+03    1.0263E+05    2.8119E-10    1.5140E+13    3.0280E+12
    2.469197E+03    1.0078E+05    2.6153E-10    1.4081E+13    2.8162E+12
    2.698621E+03    9.8807E+04    2.4159E-10    1.3008E+13    2.6016E+12
    2.949361E+03    9.6696E+04    2.2155E-10    1.1929E+13    2.3858E+12
    3.223399E+03    9.4441E+04    2.0154E-10    1.0851E+13    2.1703E+12
    3.522899E+03    9.2040E+04    1.8173E-10    9.7847E+12    1.9570E+12
    3.850227E+03    8.9489E+04    1.6230E-10    8.7385E+12    1.7477E+12
    4.207968E+03    8.6787E+04    1.4343E-10    7.7226E+12    1.5445E+12
    4.598949E+03    8.3934E+04    1.2531E-10    6.7470E+12    1.3494E+12
    5.026257E+03    8.0932E+04    1.0812E-10    5.8212E+12    1.1642E+12
    5.322738E+03    7.8917E+04    9.7592E-11    5.2545E+12    1.0509E+12
    5.636785E+03    7.6845E+04    8.7555E-11    4.7141E+12    9.4284E+11
    5.969249E+03    7.4717E+04    7.8058E-11    4.2027E+12    8.4057E+11
    6.324633E+03    7.2535E+04    6.9039E-11    3.7172E+12    7.4345E+11
    6.696793E+03    7.0107E+04    6.0708E-11    3.2817E+12    6.5839E+11
    7.079796E+03    6.7449E+04    5.3186E-11    2.9069E+12    5.8813E+11
    7.407135E+03    6.4883E+04    4.7499E-11    2.6572E+12    5.4700E+11
    7.692817E+03    6.2445E+04    4.3035E-11    2.4680E+12    5.1713E+11
    7.943790E+03    6.0105E+04    3.9461E-11    2.3254E+12    4.9635E+11
    8.178255E+03    5.7769E+04    3.6391E-11    2.2036E+12    4.7882E+11
    8.396906E+03    5.5471E+04    3.3743E-11    2.0963E+12    4.6294E+11
    8.600030E+03    5.3248E+04    3.1457E-11    2.0024E+12    4.4887E+11
    8.794946E+03    5.1064E+04    2.9409E-11    1.9145E+12    4.3512E+11
    8.979615E+03    4.8960E+04    2.7591E-11    1.8328E+12    4.2189E+11
    9.145090E+03    4.7057E+04    2.6058E-11    1.7599E+12    4.0980E+11
    9.307344E+03    4.5181E+04    2.4638E-11    1.6874E+12    3.9768E+11
    9.467105E+03    4.3321E+04    2.3315E-11    1.6142E+12    3.8556E+11
    9.611352E+03    4.1631E+04    2.2182E-11    1.5461E+12    3.7432E+11
    9.749622E+03    4.0000E+04    2.1147E-11    1.4819E+12    3.6345E+11
    9.884725E+03    3.8400E+04    2.0183E-11    1.4239E+12    3.5273E+11
    1.001128E+04    3.6896E+04    1.9319E-11    1.3746E+12    3.4255E+11
    1.013294E+04    3.5449E+04    1.8524E-11    1.3309E+12    3.3277E+11
    1.025192E+04    3.4034E+04    1.7778E-11    1.2886E+12    3.2318E+11
    1.036523E+04    3.2694E+04    1.7095E-11    1.2470E+12    3.1402E+11
    1.047433E+04    3.1414E+04    1.6463E-11    1.2059E+12    3.0527E+11
    1.058087E+04    3.0177E+04    1.5868E-11    1.1658E+12    2.9672E+11
    1.068358E+04    2.8990E+04    1.5315E-11    1.1273E+12    2.8853E+11
    1.078178E+04    2.7846E+04    1.4805E-11    1.0881E+12    2.8079E+11
    1.087424E+04    2.6743E+04    1.4339E-11    1.0454E+12    2.7352E+11
    1.096142E+04    2.5680E+04    1.3914E-11    9.9657E+11    2.6674E+11
    1.104427E+04    2.4664E+04    1.3521E-11    9.4052E+11    2.6038E+11
    1.116962E+04    2.3176E+04    1.2948E-11    8.4194E+11    2.5086E+11
    1.128592E+04    2.1821E+04    1.2438E-11    7.5227E+11    2.4215E+11
    1.138719E+04    2.0639E+04    1.2011E-11    6.9732E+11    2.3473E+11
    1.148357E+04    1.9491E+04    1.1617E-11    6.6099E+11    2.2777E+11
    1.157588E+04    1.8349E+04    1.1252E-11    6.2269E+11    2.2120E+11
    1.165789E+04    1.7277E+04    1.0938E-11    5.7046E+11    2.1547E+11
    1.172968E+04    1.6299E+04    1.0670E-11    5.0886E+11    2.1053E+11
    1.179602E+04    1.5420E+04    1.0429E-11    4.5204E+11    2.0605E+11
    1.185624E+04    1.4682E+04    1.0214E-11    4.1792E+11    2.0201E+11
    1.191139E+04    1.4049E+04    1.0021E-11    4.0068E+11    1.9837E+11
    1.196310E+04    1.3477E+04    9.8433E-12    3.9017E+11    1.9499E+11
    1.200903E+04    1.2977E+04    9.6887E-12    3.8202E+11    1.9203E+11
    1.204957E+04    1.2538E+04    9.5540E-12    3.7412E+11    1.8945E+11
    1.208724E+04    1.2136E+04    9.4305E-12    3.6494E+11    1.8706E+11
    1.211780E+04    1.1816E+04    9.3314E-12    3.5538E+11    1.8515E+11
    1.214029E+04    1.1586E+04    9.2592E-12    3.4698E+11    1.8374E+11
    1.215784E+04    1.1410E+04    9.2033E-12    3.3978E+11    1.8265E+11
    1.217298E+04    1.1262E+04    9.1553E-12    3.3334E+11    1.8172E+11
    1.218654E+04    1.1133E+04    9.1125E-12    3.2757E+11    1.8089E+11
    1.220016E+04    1.1007E+04    9.0697E-12    3.2193E+11    1.8005E+11
    1.221368E+04    1.0885E+04    9.0275E-12    3.1661E+11    1.7922E+11
    1.222859E+04    1.0756E+04    8.9811E-12    3.1120E+11    1.7832E+11
    1.224457E+04    1.0624E+04    8.9316E-12    3.0594E+11    1.7734E+11
    1.225965E+04    1.0505E+04    8.8852E-12    3.0147E+11    1.7643E+11
    1.227256E+04    1.0408E+04    8.8456E-12    2.9801E+11    1.7566E+11
    1.228514E+04    1.0318E+04    8.8073E-12    2.9490E+11    1.7490E+11
    1.229683E+04    1.0238E+04    8.7718E-12    2.9219E+11    1.7420E+11
    1.232733E+04    1.0055E+04    8.6799E-12    2.8589E+11    1.7239E+11
    1.289197E+04    8.2111E+03    7.1416E-12    1.7410E+11    1.4184E+11
    1.402569E+04    6.8411E+03    4.8273E-12    1.0304E+11    9.5879E+10
    1.518573E+04    6.0101E+03    3.2335E-12    6.7320E+10    6.4221E+10
    1.632859E+04    5.4506E+03    2.1787E-12    4.3901E+10    4.3272E+10
    1.745157E+04    5.1242E+03    1.4782E-12    2.9480E+10    2.9359E+10
    1.855827E+04    4.9316E+03    1.0085E-12    2.0065E+10    2.0031E+10
    1.963325E+04    4.7948E+03    6.9569E-13    1.3830E+10    1.3817E+10
    2.068109E+04    4.6798E+03    4.8440E-13    9.6270E+09    9.6209E+09
    2.170537E+04    4.5806E+03    3.4004E-13    6.7570E+09    6.7538E+09
    2.269952E+04    4.5005E+03    2.4120E-13    4.7924E+09    4.7906E+09
    2.366536E+04    4.4372E+03    1.7278E-13    3.4328E+09    3.4316E+09
    2.460914E+04    4.3867E+03    1.2470E-13    2.4776E+09    2.4768E+09
    2.553354E+04    4.3443E+03    9.0613E-14    1.8003E+09    1.7997E+09
    2.644080E+04    4.3051E+03    6.6234E-14    1.3160E+09    1.3155E+09
    2.733350E+04    4.2622E+03    4.8657E-14    9.6678E+08    9.6641E+08
    2.821284E+04    4.2117E+03    3.5910E-14    7.1353E+08    7.1323E+08
    2.908138E+04    4.1545E+03    2.6601E-14    5.2858E+08    5.2835E+08
    2.994295E+04    4.1006E+03    1.9754E-14    3.9252E+08    3.9234E+08
    3.079959E+04    4.0710E+03    1.4694E-14    2.9197E+08    2.9184E+08
    3.165298E+04    4.0903E+03    1.0942E-14    2.1742E+08    2.1732E+08
    3.250461E+04    4.1774E+03    8.1531E-15    1.6200E+08    1.6193E+08
    3.335585E+04    4.3112E+03    6.0760E-15    1.2073E+08    1.2068E+08
    3.420806E+04    4.4274E+03    4.5265E-15    8.9939E+07    8.9902E+07
    3.506257E+04    4.4954E+03    3.3694E-15    6.6949E+07    6.6921E+07
    3.592077E+04    4.6391E+03    2.5050E-15    4.9775E+07    4.9752E+07
    3.678416E+04    4.8254E+03    1.8589E-15    3.6940E+07    3.6921E+07
    3.765440E+04    4.9562E+03    1.3762E-15    2.7352E+07    2.7334E+07
    3.853330E+04    5.0896E+03    1.0159E-15    2.0195E+07    2.0178E+07
    3.942287E+04    5.1156E+03    7.4710E-16    1.4857E+07    1.4839E+07
    4.030996E+04    5.1344E+03    5.4990E-16    1.0941E+07    1.0922E+07
    4.032500E+04    5.1331E+03    5.4705E-16    1.0867E+07    1.0865E+07
#TIME:     2.050
#NVEL: 111
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.025000E+03    1.1225E+05    4.1204E-10    2.2185E+13    4.4370E+12
    1.037120E+03    1.1225E+05    4.1032E-10    2.2092E+13    4.4185E+12
    1.061360E+03    1.1222E+05    4.0689E-10    2.1908E+13    4.3816E+12
    1.109839E+03    1.1203E+05    4.0014E-10    2.1545E+13    4.3089E+12
    1.213017E+03    1.1130E+05    3.8614E-10    2.0791E+13    4.1581E+12
    1.325723E+03    1.1030E+05    3.7139E-10    1.9997E+13    3.9994E+12
    1.448902E+03    1.0916E+05    3.5592E-10    1.9164E+13    3.8328E+12
    1.583526E+03    1.0790E+05    3.3975E-10    1.8293E+13    3.6586E+12
    1.730658E+03    1.0654E+05    3.2292E-10    1.7387E+13    3.4774E+12
    1.891461E+03    1.0508E+05    3.0547E-10    1.6447E+13    3.2894E+12
    2.067205E+03    1.0350E+05    2.8748E-10    1.5479E+13    3.0957E+12
    2.259278E+03    1.0180E+05    2.6902E-10    1.4485E+13    2.8970E+12
    2.469197E+03    9.9978E+04    2.5021E-10    1.3472E+13    2.6944E+12
    2.698621E+03    9.8021E+04    2.3114E-10    1.2445E+13    2.4891E+12
    2.949361E+03    9.5929E+04    2.1196E-10    1.1413E+13    2.2825E+12
    3.223399E+03    9.3695E+04    1.9282E-10    1.0382E+13    2.0764E+12
    3.522899E+03    9.1317E+04    1.7387E-10    9.3614E+12    1.8723E+12
    3.850227E+03    8.8790E+04    1.5528E-10    8.3604E+12    1.6721E+12
    4.207968E+03    8.6115E+04    1.3723E-10    7.3885E+12    1.4777E+12
    4.598949E+03    8.3291E+04    1.1989E-10    6.4551E+12    1.2910E+12
    5.026257E+03    8.0323E+04    1.0344E-10    5.5693E+12    1.1139E+12
    5.322738E+03    7.8330E+04    9.3370E-11    5.0272E+12    1.0055E+12
    5.636785E+03    7.6280E+04    8.3767E-11    4.5102E+12    9.0205E+11
    5.969249E+03    7.4177E+04    7.4681E-11    4.0209E+12    8.0420E+11
    6.324633E+03    7.1996E+04    6.6053E-11    3.5563E+12    7.1129E+11
    6.696793E+03    6.9521E+04    5.8081E-11    3.1397E+12    6.2990E+11
    7.079796E+03    6.6849E+04    5.0885E-11    2.7811E+12    5.6269E+11
    7.407135E+03    6.4304E+04    4.5444E-11    2.5422E+12    5.2333E+11
    7.692817E+03    6.1895E+04    4.1173E-11    2.3612E+12    4.9475E+11
    7.943790E+03    5.9592E+04    3.7754E-11    2.2247E+12    4.7488E+11
    8.178255E+03    5.7300E+04    3.4816E-11    2.1082E+12    4.5810E+11
    8.396906E+03    5.5056E+04    3.2284E-11    2.0055E+12    4.4291E+11
    8.600030E+03    5.2897E+04    3.0097E-11    1.9156E+12    4.2945E+11
    8.794946E+03    5.0779E+04    2.8136E-11    1.8315E+12    4.1629E+11
    8.979615E+03    4.8744E+04    2.6397E-11    1.7533E+12    4.0363E+11
    9.145090E+03    4.6903E+04    2.4931E-11    1.6836E+12    3.9207E+11
    9.307344E+03    4.5081E+04    2.3572E-11    1.6144E+12    3.8047E+11
    9.467105E+03    4.3265E+04    2.2306E-11    1.5447E+12    3.6888E+11
    9.611352E+03    4.1598E+04    2.1222E-11    1.4797E+12    3.5812E+11
    9.749622E+03    3.9972E+04    2.0232E-11    1.4183E+12    3.4772E+11
    9.884725E+03    3.8360E+04    1.9309E-11    1.3625E+12    3.3747E+11
    1.001128E+04    3.6836E+04    1.8483E-11    1.3152E+12    3.2773E+11
    1.013294E+04    3.5370E+04    1.7723E-11    1.2733E+12    3.1838E+11
    1.025192E+04    3.3945E+04    1.7009E-11    1.2328E+12    3.0919E+11
    1.036523E+04    3.2605E+04    1.6356E-11    1.1929E+12    3.0043E+11
    1.047433E+04    3.1338E+04    1.5751E-11    1.1537E+12    2.9206E+11
    1.058087E+04    3.0124E+04    1.5182E-11    1.1154E+12    2.8388E+11
    1.068358E+04    2.8964E+04    1.4653E-11    1.0787E+12    2.7604E+11
    1.078178E+04    2.7845E+04    1.4164E-11    1.0416E+12    2.6864E+11
    1.087424E+04    2.6763E+04    1.3719E-11    1.0015E+12    2.6169E+11
    1.096142E+04    2.5717E+04    1.3312E-11    9.5579E+11    2.5520E+11
    1.104427E+04    2.4719E+04    1.2936E-11    9.0357E+11    2.4912E+11
    1.116962E+04    2.3277E+04    1.2388E-11    8.1236E+11    2.4001E+11
    1.128592E+04    2.1989E+04    1.1900E-11    7.2774E+11    2.3168E+11
    1.138719E+04    2.0886E+04    1.1491E-11    6.7267E+11    2.2457E+11
    1.148357E+04    1.9827E+04    1.1115E-11    6.3684E+11    2.1791E+11
    1.157588E+04    1.8787E+04    1.0766E-11    6.0526E+11    2.1163E+11
    1.165789E+04    1.7823E+04    1.0465E-11    5.6736E+11    2.0615E+11
    1.172968E+04    1.6941E+04    1.0208E-11    5.2066E+11    2.0142E+11
    1.179602E+04    1.6126E+04    9.9777E-12    4.6959E+11    1.9713E+11
    1.185624E+04    1.5427E+04    9.7719E-12    4.2600E+11    1.9327E+11
    1.191139E+04    1.4842E+04    9.5872E-12    3.9743E+11    1.8978E+11
    1.196310E+04    1.4335E+04    9.4175E-12    3.8047E+11    1.8656E+11
    1.200903E+04    1.3909E+04    9.2695E-12    3.7028E+11    1.8373E+11
    1.204957E+04    1.3547E+04    9.1407E-12    3.6317E+11    1.8125E+11
    1.208724E+04    1.3221E+04    9.0225E-12    3.5723E+11    1.7897E+11
    1.211780E+04    1.2962E+04    8.9277E-12    3.5252E+11    1.7714E+11
    1.214029E+04    1.2774E+04    8.8586E-12    3.4895E+11    1.7579E+11
    1.215784E+04    1.2629E+04    8.8051E-12    3.4606E+11    1.7475E+11
    1.217298E+04    1.2506E+04    8.7592E-12    3.4345E+11    1.7386E+11
    1.218654E+04    1.2397E+04    8.7183E-12    3.4100E+11    1.7306E+11
    1.220016E+04    1.2289E+04    8.6773E-12    3.3840E+11    1.7226E+11
    1.221368E+04    1.2183E+04    8.6369E-12    3.3569E+11    1.7147E+11
    1.222859E+04    1.2068E+04    8.5925E-12    3.3252E+11    1.7060E+11
    1.224457E+04    1.1947E+04    8.5452E-12    3.2889E+11    1.6967E+11
    1.225965E+04    1.1836E+04    8.5008E-12    3.2526E+11    1.6880E+11
    1.227256E+04    1.1743E+04    8.4630E-12    3.2201E+11    1.6806E+11
    1.228514E+04    1.1655E+04    8.4263E-12    3.1872E+11    1.6733E+11
    1.229683E+04    1.1574E+04    8.3923E-12    3.1557E+11    1.6666E+11
    1.232733E+04    1.1379E+04    8.3044E-12    3.0722E+11    1.6493E+11
    1.289197E+04    8.9936E+03    6.8327E-12    2.0327E+11    1.3571E+11
    1.402569E+04    7.1510E+03    4.6185E-12    9.9371E+10    9.1731E+10
    1.518573E+04    6.2004E+03    3.0936E-12    6.5051E+10    6.1443E+10
    1.632859E+04    5.5499E+03    2.0844E-12    4.2214E+10    4.1400E+10
    1.745157E+04    5.1308E+03    1.4142E-12    2.8205E+10    2.8089E+10
    1.855827E+04    4.8765E+03    9.6490E-13    1.9189E+10    1.9164E+10
    1.963325E+04    4.6897E+03    6.6559E-13    1.3227E+10    1.3220E+10
    2.068109E+04    4.5240E+03    4.6344E-13    9.2078E+09    9.2047E+09
    2.170537E+04    4.3778E+03    3.2533E-13    6.4630E+09    6.4616E+09
    2.269952E+04    4.2580E+03    2.3076E-13    4.5841E+09    4.5833E+09
    2.366536E+04    4.1624E+03    1.6530E-13    3.2836E+09    3.2831E+09
    2.460914E+04    4.0877E+03    1.1931E-13    2.3699E+09    2.3697E+09
    2.553354E+04    4.0284E+03    8.6693E-14    1.7221E+09    1.7219E+09
    2.644080E+04    3.9775E+03    6.3368E-14    1.2587E+09    1.2586E+09
    2.733350E+04    3.9293E+03    4.6552E-14    9.2472E+08    9.2460E+08
    2.821284E+04    3.8831E+03    3.4356E-14    6.8247E+08    6.8237E+08
    2.908138E+04    3.8442E+03    2.5451E-14    5.0558E+08    5.0549E+08
    2.994295E+04    3.8239E+03    1.8899E-14    3.7544E+08    3.7536E+08
    3.079959E+04    3.8410E+03    1.4058E-14    2.7928E+08    2.7922E+08
    3.165298E+04    3.9134E+03    1.0469E-14    2.0798E+08    2.0792E+08
    3.250461E+04    4.0537E+03    7.8004E-15    1.5497E+08    1.5493E+08
    3.335585E+04    4.2221E+03    5.8131E-15    1.1549E+08    1.1546E+08
    3.420806E+04    4.3835E+03    4.3306E-15    8.6043E+07    8.6013E+07
    3.506257E+04    4.4901E+03    3.2236E-15    6.4050E+07    6.4026E+07
    3.592077E+04    4.7007E+03    2.3966E-15    4.7621E+07    4.7600E+07
    3.678416E+04    4.8952E+03    1.7785E-15    3.5343E+07    3.5323E+07
    3.765440E+04    5.1043E+03    1.3167E-15    2.6170E+07    2.6152E+07
    3.853330E+04    5.2288E+03    9.7196E-16    1.9323E+07    1.9305E+07
    3.942287E+04    5.3589E+03    7.1478E-16    1.4216E+07    1.4197E+07
    4.030996E+04    5.4125E+03    5.2611E-16    1.0469E+07    1.0449E+07
    4.032500E+04    5.4145E+03    5.2339E-16    1.0400E+07    1.0395E+07
#TIME:     2.100
#NVEL: 111
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.025000E+03    1.1046E+05    3.8330E-10    2.0638E+13    4.1276E+12
    1.037120E+03    1.1046E+05    3.8170E-10    2.0552E+13    4.1103E+12
