#NTIMES:     39
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    9.968840E+03    3.4226E+04    6.6255E-12    4.6795E+11    1.1690E+11
    1.018319E+04    3.2309E+04    6.1525E-12    4.4257E+11    1.1107E+11
    1.039299E+04    3.0501E+04    5.7224E-12    4.1697E+11    1.0536E+11
    1.058371E+04    2.8949E+04    5.3576E-12    3.9383E+11    1.0019E+11
    1.077563E+04    2.7465E+04    5.0140E-12    3.7112E+11    9.5050E+10
    1.096375E+04    2.6025E+04    4.6985E-12    3.4759E+11    9.0084E+10
    1.114542E+04    2.4622E+04    4.4127E-12    3.2114E+11    8.5385E+10
    1.132918E+04    2.3250E+04    4.1411E-12    2.8909E+11    8.0749E+10
    1.150599E+04    2.2022E+04    3.8959E-12    2.5557E+11    7.6422E+10
    1.169668E+04    2.0810E+04    3.6474E-12    2.2324E+11    7.1906E+10
    1.187886E+04    1.9729E+04    3.4249E-12    2.0146E+11    6.7757E+10
    1.207025E+04    1.8662E+04    3.2058E-12    1.8505E+11    6.3578E+10
    1.225730E+04    1.7741E+04    3.0052E-12    1.7030E+11    5.9674E+10
    1.247388E+04    1.6851E+04    2.7886E-12    1.5212E+11    5.5385E+10
    1.269912E+04    1.6002E+04    2.5799E-12    1.3195E+11    5.1240E+10
    1.297407E+04    1.5096E+04    2.3460E-12    1.0878E+11    4.6596E+10
    1.326902E+04    1.4303E+04    2.1188E-12    9.0012E+10    4.2083E+10
    1.358420E+04    1.3570E+04    1.9003E-12    7.7015E+10    3.7743E+10
    1.390438E+04    1.2901E+04    1.7013E-12    6.7844E+10    3.3790E+10
    1.422474E+04    1.2279E+04    1.5230E-12    6.0355E+10    3.0248E+10
    1.452051E+04    1.1729E+04    1.3751E-12    5.4142E+10    2.7311E+10
    1.483624E+04    1.1157E+04    1.2330E-12    4.7761E+10    2.4490E+10
    1.518451E+04    1.0549E+04    1.0932E-12    4.0575E+10    2.1713E+10
    1.558657E+04    9.9123E+03    9.5143E-13    3.3051E+10    1.8897E+10
    1.600010E+04    9.3564E+03    8.2479E-13    2.7519E+10    1.6382E+10
    1.648136E+04    8.8167E+03    6.9846E-13    2.2680E+10    1.3873E+10
    1.705607E+04    8.2819E+03    5.7269E-13    1.7685E+10    1.1374E+10
    1.769220E+04    7.7972E+03    4.5970E-13    1.2848E+10    9.1304E+09
    1.837370E+04    7.3929E+03    3.6329E-13    9.0646E+09    7.2154E+09
    1.907428E+04    7.0566E+03    2.8519E-13    6.5878E+09    5.6643E+09
    1.978118E+04    6.7725E+03    2.2339E-13    4.9599E+09    4.4369E+09
    2.048968E+04    6.5440E+03    1.7490E-13    3.8120E+09    3.4738E+09
    2.119839E+04    6.3642E+03    1.3692E-13    2.9572E+09    2.7194E+09
    2.190658E+04    6.2200E+03    1.0720E-13    2.3040E+09    2.1292E+09
    2.261529E+04    6.0987E+03    8.3922E-14    1.7982E+09    1.6668E+09
    2.332554E+04    5.9902E+03    6.5664E-14    1.4042E+09    1.3042E+09
    2.403788E+04    5.8862E+03    5.1340E-14    1.0962E+09    1.0197E+09
    2.475294E+04    5.7798E+03    4.0102E-14    8.5512E+08    7.9649E+08
    2.547112E+04    5.6676E+03    3.1291E-14    6.6633E+08    6.2148E+08
    2.619270E+04    5.5507E+03    2.4387E-14    5.1854E+08    4.8437E+08
    2.691789E+04    5.4391E+03    1.8983E-14    4.0295E+08    3.7703E+08
    2.764646E+04    5.3540E+03    1.4759E-14    3.1274E+08    2.9314E+08
    2.837780E+04    5.3108E+03    1.1464E-14    2.4254E+08    2.2769E+08
    2.911106E+04    5.3096E+03    8.8984E-15    1.8804E+08    1.7674E+08
    2.984544E+04    5.3518E+03    6.9046E-15    1.4581E+08    1.3714E+08
    3.058043E+04    5.4396E+03    5.3564E-15    1.1309E+08    1.0639E+08
    3.131582E+04    5.5591E+03    4.1547E-15    8.7725E+07    8.2519E+07
    3.205161E+04    5.6859E+03    3.2222E-15    6.8030E+07    6.3997E+07
    3.278791E+04    5.7981E+03    2.4985E-15    5.2731E+07    4.9624E+07
    3.352492E+04    5.8866E+03    1.9369E-15    4.0849E+07    3.8470E+07
    3.426300E+04    5.9539E+03    1.5010E-15    3.1624E+07    2.9812E+07
    3.500270E+04    6.0065E+03    1.1625E-15    2.4460E+07    2.3089E+07
    3.574474E+04    6.0536E+03    8.9964E-16    1.8897E+07    1.7868E+07
    3.649005E+04    6.0954E+03    6.9542E-16    1.4574E+07    1.3812E+07
    3.723979E+04    6.1331E+03    5.3673E-16    1.1215E+07    1.0660E+07
    3.799541E+04    6.1590E+03    4.1343E-16    8.6055E+06    8.2113E+06
    3.875880E+04    6.1749E+03    3.1760E-16    6.5794E+06    6.3080E+06
    3.953265E+04    6.1772E+03    2.4309E-16    5.0072E+06    4.8281E+06
    3.983682E+04    6.1843E+03    2.1884E-16    4.4995E+06    4.3465E+06
    4.003960E+04    6.1768E+03    2.0403E-16    4.1897E+06    4.0524E+06
    4.017479E+04    6.1772E+03    1.9472E-16    3.9950E+06    3.8675E+06
    4.026492E+04    6.1749E+03    1.8876E-16    3.8692E+06    3.7490E+06
    4.032440E+04    6.1604E+03    1.8492E-16    3.7835E+06    3.6728E+06
    4.032500E+04    6.1608E+03    1.8488E-16    3.7825E+06    3.6720E+06
#TIME:     3.190
#NVEL: 100
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.025000E+03    8.6334E+04    1.0935E-10    5.8878E+12    1.1776E+12
    1.037976E+03    8.6319E+04    1.0886E-10    5.8614E+12    1.1723E+12
    1.063929E+03    8.6339E+04    1.0789E-10    5.8091E+12    1.1618E+12
    1.115835E+03    8.6311E+04    1.0598E-10    5.7060E+12    1.1412E+12
    1.200831E+03    8.6090E+04    1.0291E-10    5.5409E+12    1.1082E+12
    1.292302E+03    8.5791E+04    9.9710E-11    5.3686E+12    1.0737E+12
    1.390740E+03    8.5391E+04    9.6377E-11    5.1892E+12    1.0378E+12
    1.496676E+03    8.4885E+04    9.2913E-11    5.0027E+12    1.0005E+12
    1.610682E+03    8.4319E+04    8.9325E-11    4.8095E+12    9.6190E+11
    1.733372E+03    8.3647E+04    8.5620E-11    4.6100E+12    9.2200E+11
    1.865407E+03    8.2863E+04    8.1802E-11    4.4044E+12    8.8089E+11
    2.007500E+03    8.1995E+04    7.7884E-11    4.1935E+12    8.3870E+11
    2.160417E+03    8.1051E+04    7.3878E-11    3.9778E+12    7.9556E+11
    2.324981E+03    8.0066E+04    6.9796E-11    3.7580E+12    7.5160E+11
    2.502081E+03    7.8959E+04    6.5655E-11    3.5350E+12    7.0700E+11
    2.692671E+03    7.7797E+04    6.1470E-11    3.3097E+12    6.6195E+11
    2.897779E+03    7.6555E+04    5.7265E-11    3.0833E+12    6.1666E+11
    3.118510E+03    7.5243E+04    5.3061E-11    2.8569E+12    5.7139E+11
    3.356055E+03    7.3857E+04    4.8880E-11    2.6318E+12    5.2637E+11
    3.611695E+03    7.2380E+04    4.4749E-11    2.4094E+12    4.8188E+11
    3.886807E+03    7.0811E+04    4.0692E-11    2.1909E+12    4.3820E+11
    4.182875E+03    6.9155E+04    3.6736E-11    1.9779E+12    3.9560E+11
    4.501496E+03    6.7402E+04    3.2907E-11    1.7718E+12    3.5436E+11
    4.844387E+03    6.5550E+04    2.9232E-11    1.5738E+12    3.1478E+11
    5.213396E+03    6.3572E+04    2.5733E-11    1.3855E+12    2.7711E+11
    5.610514E+03    6.1429E+04    2.2434E-11    1.2078E+12    2.4158E+11
    6.037882E+03    5.9003E+04    1.9355E-11    1.0424E+12    2.0857E+11
    6.497803E+03    5.6118E+04    1.6512E-11    8.9202E+11    1.7896E+11
    6.992758E+03    5.2865E+04    1.3917E-11    7.6154E+11    1.5437E+11
    7.470372E+03    4.9803E+04    1.1800E-11    6.6497E+11    1.3791E+11
    7.926119E+03    4.6978E+04    1.0081E-11    5.9288E+11    1.2696E+11
    8.327218E+03    4.4504E+04    8.7766E-12    5.3844E+11    1.1906E+11
    8.702978E+03    4.2135E+04    7.7082E-12    4.9109E+11    1.1221E+11
    9.042664E+03    3.9888E+04    6.8547E-12    4.4878E+11    1.0595E+11
    9.369912E+03    3.7565E+04    6.1221E-12    4.0921E+11    9.9728E+10
    9.651602E+03    3.5407E+04    5.5544E-12    3.7946E+11    9.4198E+10
    9.900591E+03    3.3405E+04    5.0966E-12    3.5673E+11    8.9194E+10
    1.013223E+04    3.1530E+04    4.7046E-12    3.3615E+11    8.4477E+10
    1.033760E+04    2.9927E+04    4.3824E-12    3.1734E+11    8.0273E+10
    1.054537E+04    2.8405E+04    4.0789E-12    2.9863E+11    7.6040E+10
    1.075487E+04    2.6942E+04    3.7942E-12    2.8009E+11    7.1822E+10
    1.096068E+04    2.5510E+04    3.5338E-12    2.6066E+11    6.7741E+10
    1.115933E+04    2.4118E+04    3.2994E-12    2.3881E+11    6.3881E+10
    1.134095E+04    2.2887E+04    3.0986E-12    2.1540E+11    6.0446E+10
    1.153457E+04    2.1671E+04    2.8983E-12    1.8899E+11    5.6896E+10
    1.172387E+04    2.0575E+04    2.7148E-12    1.6618E+11    5.3547E+10
    1.192867E+04    1.9477E+04    2.5293E-12    1.4873E+11    5.0071E+10
    1.212844E+04    1.8483E+04    2.3606E-12    1.3643E+11    4.6834E+10
    1.235381E+04    1.7523E+04    2.1839E-12    1.2382E+11    4.3368E+10
    1.261005E+04    1.6597E+04    1.9989E-12    1.0883E+11    3.9700E+10
    1.287282E+04    1.5738E+04    1.8254E-12    9.2874E+10    3.6255E+10
    1.318723E+04    1.4852E+04    1.6375E-12    7.5496E+10    3.2523E+10
    1.351444E+04    1.4086E+04    1.4625E-12    6.1948E+10    2.9048E+10
    1.386899E+04    1.3373E+04    1.2939E-12    5.2393E+10    2.5700E+10
    1.423600E+04    1.2719E+04    1.1398E-12    4.5446E+10    2.2638E+10
    1.460295E+04    1.2120E+04    1.0041E-12    3.9806E+10    1.9943E+10
    1.497211E+04    1.1551E+04    8.8391E-13    3.4820E+10    1.7556E+10
    1.532034E+04    1.1029E+04    7.8370E-13    3.0446E+10    1.5565E+10
    1.571760E+04    1.0456E+04    6.8319E-13    2.5580E+10    1.3569E+10
    1.613097E+04    9.9065E+03    5.9229E-13    2.0944E+10    1.1764E+10
    1.660087E+04    9.3721E+03    5.0354E-13    1.6997E+10    1.0001E+10
    1.713148E+04    8.8781E+03    4.1920E-13    1.3800E+10    8.3260E+09
    1.767898E+04    8.4537E+03    3.4696E-13    1.1156E+10    6.8912E+09
    1.826412E+04    8.0638E+03    2.8347E-13    8.7434E+09    5.6302E+09
    1.889025E+04    7.7181E+03    2.2833E-13    6.5941E+09    4.5350E+09
    1.955040E+04    7.4245E+03    1.8177E-13    4.8662E+09    3.6102E+09
    2.023306E+04    7.1887E+03    1.4358E-13    3.6045E+09    2.8518E+09
    2.092814E+04    7.0177E+03    1.1293E-13    2.7130E+09    2.2431E+09
    2.162974E+04    6.9098E+03    8.8626E-14    2.0730E+09    1.7602E+09
    2.233489E+04    6.8547E+03    6.9464E-14    1.6007E+09    1.3797E+09
    2.304210E+04    6.8359E+03    5.4409E-14    1.2442E+09    1.0806E+09
    2.375061E+04    6.8321E+03    4.2597E-14    9.6994E+08    8.4604E+08
    2.446004E+04    6.8210E+03    3.3338E-14    7.5630E+08    6.6214E+08
    2.517028E+04    6.7862E+03    2.6084E-14    5.8881E+08    5.1807E+08
    2.588136E+04    6.7190E+03    2.0403E-14    4.5722E+08    4.0523E+08
    2.659346E+04    6.6204E+03    1.5954E-14    3.5414E+08    3.1686E+08
    2.730677E+04    6.5007E+03    1.2469E-14    2.7413E+08    2.4766E+08
    2.802136E+04    6.3748E+03    9.7416E-15    2.1255E+08    1.9348E+08
    2.873714E+04    6.2533E+03    7.6074E-15    1.6520E+08    1.5109E+08
    2.945390E+04    6.1396E+03    5.9388E-15    1.2859E+08    1.1795E+08
    3.017126E+04    6.0347E+03    4.6353E-15    1.0016E+08    9.2064E+07
    3.088882E+04    5.9397E+03    3.6177E-15    7.8026E+07    7.1852E+07
    3.160626E+04    5.8554E+03    2.8235E-15    6.0779E+07    5.6079E+07
    3.232348E+04    5.7821E+03    2.2038E-15    4.7345E+07    4.3772E+07
    3.304056E+04    5.7195E+03    1.7203E-15    3.6889E+07    3.4167E+07
    3.375770E+04    5.6677E+03    1.3428E-15    2.8752E+07    2.6670E+07
    3.447519E+04    5.6267E+03    1.0480E-15    2.2418E+07    2.0815E+07
    3.519335E+04    5.6024E+03    8.1774E-16    1.7481E+07    1.6242E+07
    3.591267E+04    5.5897E+03    6.3781E-16    1.3629E+07    1.2668E+07
    3.663383E+04    5.5927E+03    4.9716E-16    1.0619E+07    9.8743E+06
    3.735786E+04    5.6127E+03    3.8714E-16    8.2659E+06    7.6891E+06
    3.808622E+04    5.6573E+03    3.0102E-16    6.4241E+06    5.9787E+06
    3.882088E+04    5.7295E+03    2.3355E-16    4.9807E+06    4.6387E+06
    3.956460E+04    5.8357E+03    1.8063E-16    3.8480E+06    3.5876E+06
    3.985651E+04    5.8838E+03    1.6330E-16    3.4771E+06    3.2434E+06
    4.005111E+04    5.9086E+03    1.5268E-16    3.2498E+06    3.0326E+06
    4.018085E+04    5.9290E+03    1.4599E-16    3.1064E+06    2.8997E+06
    4.026734E+04    5.9450E+03    1.4170E-16    3.0142E+06    2.8143E+06
    4.032442E+04    5.9560E+03    1.3893E-16    2.9543E+06    2.7594E+06
    4.032500E+04    5.9559E+03    1.3890E-16    2.9537E+06    2.7588E+06
#TIME:     3.510
#NVEL: 100
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.025000E+03    8.1589E+04    8.2088E-11    4.4198E+12    8.8396E+11
    1.037977E+03    8.1595E+04    8.1720E-11    4.4000E+12    8.8001E+11
    1.063929E+03    8.1609E+04    8.0991E-11    4.3607E+12    8.7215E+11
    1.115836E+03    8.1575E+04    7.9553E-11    4.2833E+12    8.5666E+11
    1.200831E+03    8.1431E+04    7.7252E-11    4.1594E+12    8.3189E+11
    1.292302E+03    8.1186E+04    7.4850E-11    4.0301E+12    8.0602E+11
    1.390740E+03    8.0846E+04    7.2348E-11    3.8954E+12    7.7908E+11
    1.496676E+03    8.0415E+04    6.9748E-11    3.7554E+12    7.5108E+11
    1.610682E+03    7.9897E+04    6.7054E-11    3.6103E+12    7.2207E+11
    1.733372E+03    7.9293E+04    6.4272E-11    3.4606E+12    6.9212E+11
    1.865407E+03    7.8604E+04    6.1406E-11    3.3063E+12    6.6126E+11
    2.007500E+03    7.7835E+04    5.8466E-11    3.1479E+12    6.2959E+11
    2.160417E+03    7.6987E+04    5.5458E-11    2.9860E+12    5.9720E+11
    2.324981E+03    7.6064E+04    5.2394E-11    2.8210E+12    5.6421E+11
    2.502081E+03    7.5063E+04    4.9285E-11    2.6536E+12    5.3073E+11
    2.692671E+03    7.3986E+04    4.6144E-11    2.4845E+12    4.9690E+11
    2.897779E+03    7.2834E+04    4.2987E-11    2.3145E+12    4.6291E+11
    3.118510E+03    7.1599E+04    3.9831E-11    2.1446E+12    4.2892E+11
    3.356056E+03    7.0301E+04    3.6693E-11    1.9756E+12    3.9513E+11
    3.611694E+03    6.8912E+04    3.3592E-11    1.8086E+12    3.6174E+11
    3.886807E+03    6.7419E+04    3.0547E-11    1.6447E+12    3.2894E+11
    4.182876E+03    6.5857E+04    2.7577E-11    1.4848E+12    2.9696E+11
    4.501496E+03    6.4174E+04    2.4703E-11    1.3300E+12    2.6601E+11
    4.844387E+03    6.2387E+04    2.1943E-11    1.1814E+12    2.3630E+11
    5.213397E+03    6.0478E+04    1.9317E-11    1.0400E+12    2.0802E+11
    5.610514E+03    5.8384E+04    1.6841E-11    9.0660E+11    1.8135E+11
    6.037882E+03    5.6023E+04    1.4529E-11    7.8240E+11    1.5657E+11
    6.497803E+03    5.3240E+04    1.2395E-11    6.6946E+11    1.3434E+11
    6.992758E+03    5.0118E+04    1.0447E-11    5.7135E+11    1.1588E+11
    7.470372E+03    4.7240E+04    8.8578E-12    4.9852E+11    1.0352E+11
    7.926119E+03    4.4625E+04    7.5675E-12    4.4378E+11    9.5306E+10
    8.327218E+03    4.2335E+04    6.5884E-12    4.0183E+11    8.9376E+10
    8.702978E+03    4.0113E+04    5.7863E-12    3.6468E+11    8.4230E+10
    9.042663E+03    3.7979E+04    5.1457E-12    3.3190E+11    7.9534E+10
    9.369911E+03    3.5770E+04    4.5957E-12    3.0366E+11    7.4863E+10
    9.651602E+03    3.3742E+04    4.1696E-12    2.8347E+11    7.0712E+10
    9.900591E+03    3.1895E+04    3.8259E-12    2.6702E+11    6.6955E+10
    1.013223E+04    3.0206E+04    3.5316E-12    2.5135E+11    6.3414E+10
    1.033760E+04    2.8784E+04    3.2897E-12    2.3734E+11    6.0259E+10
    1.054537E+04    2.7430E+04    3.0619E-12    2.2352E+11    5.7081E+10
    1.075488E+04    2.6101E+04    2.8482E-12    2.0940E+11    5.3915E+10
    1.096068E+04    2.4779E+04    2.6527E-12    1.9423E+11    5.0851E+10
    1.115933E+04    2.3502E+04    2.4768E-12    1.7719E+11    4.7954E+10
    1.134096E+04    2.2381E+04    2.3260E-12    1.5952E+11    4.5375E+10
    1.153457E+04    2.1271E+04    2.1757E-12    1.4025E+11    4.2710E+10
    1.172387E+04    2.0263E+04    2.0379E-12    1.2406E+11    4.0197E+10
    1.192868E+04    1.9246E+04    1.8987E-12    1.1155E+11    3.7587E+10
    1.212844E+04    1.8325E+04    1.7721E-12    1.0250E+11    3.5157E+10
    1.235381E+04    1.7443E+04    1.6394E-12    9.3291E+10    3.2555E+10
    1.261004E+04    1.6591E+04    1.5005E-12    8.2625E+10    2.9802E+10
    1.287281E+04    1.5794E+04    1.3703E-12    7.1317E+10    2.7215E+10
    1.318723E+04    1.4959E+04    1.2292E-12    5.8665E+10    2.4414E+10
    1.351443E+04    1.4227E+04    1.0979E-12    4.7997E+10    2.1806E+10
    1.386899E+04    1.3550E+04    9.7132E-13    3.9994E+10    1.9292E+10
    1.423600E+04    1.2941E+04    8.5561E-13    3.4349E+10    1.6994E+10
    1.460294E+04    1.2399E+04    7.5376E-13    2.9997E+10    1.4971E+10
    1.497211E+04    1.1898E+04    6.6353E-13    2.6295E+10    1.3179E+10
    1.532034E+04    1.1447E+04    5.8830E-13    2.3204E+10    1.1685E+10
    1.571760E+04    1.0948E+04    5.1285E-13    2.0000E+10    1.0186E+10
    1.613097E+04    1.0445E+04    4.4461E-13    1.6880E+10    8.8307E+09
    1.660087E+04    9.9172E+03    3.7799E-13    1.3637E+10    7.5075E+09
    1.713148E+04    9.4123E+03    3.1468E-13    1.0786E+10    6.2501E+09
    1.767898E+04    8.9946E+03    2.6045E-13    8.6879E+09    5.1730E+09
    1.826412E+04    8.6298E+03    2.1280E-13    6.9826E+09    4.2264E+09
    1.889026E+04    8.2965E+03    1.7140E-13    5.5212E+09    3.4043E+09
    1.955040E+04    8.0035E+03    1.3645E-13    4.2780E+09    2.7101E+09
    2.023306E+04    7.7646E+03    1.0779E-13    3.2637E+09    2.1408E+09
    2.092814E+04    7.5851E+03    8.4777E-14    2.4767E+09    1.6838E+09
    2.162973E+04    7.4611E+03    6.6529E-14    1.8853E+09    1.3214E+09
    2.233489E+04    7.3823E+03    5.2145E-14    1.4449E+09    1.0357E+09
    2.304210E+04    7.3325E+03    4.0843E-14    1.1147E+09    8.1121E+08
    2.375061E+04    7.2926E+03    3.1976E-14    8.6331E+08    6.3510E+08
    2.446004E+04    7.2458E+03    2.5026E-14    6.6877E+08    4.9705E+08
    2.517028E+04    7.1796E+03    1.9581E-14    5.1679E+08    3.8890E+08
    2.588137E+04    7.0858E+03    1.5316E-14    3.9777E+08    3.0420E+08
    2.659347E+04    6.9605E+03    1.1976E-14    3.0460E+08    2.3786E+08
    2.730677E+04    6.8046E+03    9.3604E-15    2.3202E+08    1.8591E+08
    2.802136E+04    6.6258E+03    7.3127E-15    1.7629E+08    1.4524E+08
    2.873714E+04    6.4366E+03    5.7107E-15    1.3430E+08    1.1342E+08
    2.945390E+04    6.2500E+03    4.4581E-15    1.0293E+08    8.8545E+07
    3.017126E+04    6.0759E+03    3.4796E-15    7.9349E+07    6.9110E+07
    3.088881E+04    5.9209E+03    2.7157E-15    6.1396E+07    5.3938E+07
    3.160626E+04    5.7849E+03    2.1195E-15    4.7570E+07    4.2097E+07
    3.232348E+04    5.6606E+03    1.6544E-15    3.6856E+07    3.2858E+07
    3.304056E+04    5.5398E+03    1.2914E-15    2.8547E+07    2.5648E+07
    3.375770E+04    5.4251E+03    1.0080E-15    2.2122E+07    2.0020E+07
    3.447519E+04    5.3314E+03    7.8671E-16    1.7165E+07    1.5625E+07
    3.519336E+04    5.2722E+03    6.1385E-16    1.3338E+07    1.2192E+07
    3.591267E+04    5.2453E+03    4.7879E-16    1.0371E+07    9.5095E+06
    3.663383E+04    5.2402E+03    3.7320E-16    8.0651E+06    7.4124E+06
    3.735786E+04    5.2511E+03    2.9061E-16    6.2678E+06    5.7720E+06
    3.808621E+04    5.2846E+03    2.2597E-16    4.8648E+06    4.4881E+06
    3.882088E+04    5.3669E+03    1.7532E-16    3.7677E+06    3.4822E+06
    3.956460E+04    5.5520E+03    1.3559E-16    2.9089E+06    2.6931E+06
    3.985651E+04    5.5917E+03    1.2259E-16    2.6282E+06    2.4348E+06
    4.005111E+04    5.6264E+03    1.1462E-16    2.4564E+06    2.2765E+06
    4.018084E+04    5.6471E+03    1.0959E-16    2.3482E+06    2.1767E+06
    4.026734E+04    5.6436E+03    1.0637E-16    2.2787E+06    2.1126E+06
    4.032442E+04    5.5814E+03    1.0429E-16    2.2338E+06    2.0714E+06
    4.032500E+04    5.5794E+03    1.0427E-16    2.2333E+06    2.0710E+06
#TIME:     3.860
#NVEL: 100
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.025000E+03    7.7170E+04    6.1722E-11    3.3232E+12    6.6465E+11
    1.037977E+03    7.7178E+04    6.1445E-11    3.3084E+12    6.6168E+11
    1.063929E+03    7.7202E+04    6.0897E-11    3.2788E+12    6.5577E+11
    1.115836E+03    7.7180E+04    5.9816E-11    3.2206E+12    6.4412E+11
    1.200831E+03    7.7062E+04    5.8086E-11    3.1275E+12    6.2550E+11
    1.292301E+03    7.6855E+04    5.6279E-11    3.0302E+12    6.0605E+11
    1.390740E+03    7.6561E+04    5.4398E-11    2.9289E+12    5.8579E+11
    1.496677E+03    7.6183E+04    5.2443E-11    2.8236E+12    5.6474E+11
    1.610682E+03    7.5724E+04    5.0418E-11    2.7146E+12    5.4293E+11
    1.733371E+03    7.5185E+04    4.8326E-11    2.6020E+12    5.2040E+11
    1.865408E+03    7.4566E+04    4.6171E-11    2.4860E+12    4.9720E+11
    2.007500E+03    7.3863E+04    4.3960E-11    2.3669E+12    4.7339E+11
    2.160417E+03    7.3087E+04    4.1699E-11    2.2451E+12    4.4904E+11
    2.324981E+03    7.2270E+04    3.9395E-11    2.1211E+12    4.2423E+11
    2.502081E+03    7.1356E+04    3.7057E-11    1.9952E+12    3.9905E+11
    2.692671E+03    7.0327E+04    3.4696E-11    1.8681E+12    3.7362E+11
    2.897779E+03    6.9228E+04    3.2322E-11    1.7403E+12    3.4806E+11
    3.118510E+03    6.8087E+04    2.9949E-11    1.6125E+12    3.2251E+11
    3.356056E+03    6.6872E+04    2.7590E-11    1.4854E+12    2.9710E+11
    3.611694E+03    6.5560E+04    2.5258E-11    1.3599E+12    2.7199E+11
    3.886808E+03    6.4135E+04    2.2968E-11    1.2366E+12    2.4733E+11
    4.182876E+03    6.2639E+04    2.0735E-11    1.1164E+12    2.2329E+11
    4.501497E+03    6.1030E+04    1.8574E-11    9.9998E+11    2.0001E+11
    4.844387E+03    5.9305E+04    1.6499E-11    8.8825E+11    1.7767E+11
    5.213397E+03    5.7459E+04    1.4525E-11    7.8191E+11    1.5641E+11
    5.610514E+03    5.5434E+04    1.2662E-11    6.8159E+11    1.3636E+11
    6.037881E+03    5.3156E+04    1.0925E-11    5.8816E+11    1.1772E+11
    6.497803E+03    5.0482E+04    9.3196E-12    5.0314E+11    1.0101E+11
    6.992758E+03    4.7522E+04    7.8549E-12    4.2911E+11    8.7132E+10
    7.470372E+03    4.4831E+04    6.6601E-12    3.7382E+11    7.7839E+10
    7.926119E+03    4.2392E+04    5.6900E-12    3.3168E+11    7.1661E+10
    8.327218E+03    4.0234E+04    4.9538E-12    2.9865E+11    6.7202E+10
    8.702978E+03    3.8121E+04    4.3507E-12    2.6934E+11    6.3332E+10
    9.042663E+03    3.6075E+04    3.8690E-12    2.4526E+11    5.9802E+10
    9.369911E+03    3.3972E+04    3.4555E-12    2.2637E+11    5.6290E+10
    9.651602E+03    3.2067E+04    3.1351E-12    2.1236E+11    5.3168E+10
    9.900591E+03    3.0370E+04    2.8767E-12    1.9995E+11    5.0344E+10
    1.013223E+04    2.8859E+04    2.6554E-12    1.8811E+11    4.7681E+10
    1.033760E+04    2.7598E+04    2.4735E-12    1.7778E+11    4.5309E+10
    1.054538E+04    2.6374E+04    2.3022E-12    1.6734E+11    4.2919E+10
    1.075488E+04    2.5137E+04    2.1415E-12    1.5624E+11    4.0538E+10
    1.096068E+04    2.3899E+04    1.9946E-12    1.4398E+11    3.8235E+10
    1.115932E+04    2.2726E+04    1.8623E-12    1.3033E+11    3.6057E+10
    1.134096E+04    2.1708E+04    1.7489E-12    1.1681E+11    3.4117E+10
    1.153457E+04    2.0696E+04    1.6359E-12    1.0290E+11    3.2114E+10
    1.172388E+04    1.9770E+04    1.5323E-12    9.1924E+10    3.0224E+10
    1.192868E+04    1.8826E+04    1.4276E-12    8.3412E+10    2.8261E+10
    1.212844E+04    1.7967E+04    1.3324E-12    7.6863E+10    2.6435E+10
    1.235381E+04    1.7149E+04    1.2326E-12    6.9952E+10    2.4478E+10
    1.261004E+04    1.6358E+04    1.1282E-12    6.1949E+10    2.2408E+10
    1.287281E+04    1.5617E+04    1.0303E-12    5.3596E+10    2.0463E+10
    1.318723E+04    1.4840E+04    9.2425E-13    4.4334E+10    1.8357E+10
    1.351443E+04    1.4158E+04    8.2551E-13    3.6441E+10    1.6396E+10
    1.386899E+04    1.3532E+04    7.3034E-13    3.0327E+10    1.4506E+10
    1.423600E+04    1.2970E+04    6.4333E-13    2.5949E+10    1.2778E+10
    1.460294E+04    1.2479E+04    5.6675E-13    2.2612E+10    1.1257E+10
    1.497210E+04    1.2032E+04    4.9891E-13    1.9815E+10    9.9091E+09
    1.532033E+04    1.1635E+04    4.4234E-13    1.7516E+10    8.7856E+09
    1.571760E+04    1.1199E+04    3.8561E-13    1.5193E+10    7.6589E+09
    1.613098E+04    1.0757E+04    3.3431E-13    1.3031E+10    6.6398E+09
    1.660088E+04    1.0279E+04    2.8421E-13    1.0798E+10    5.6449E+09
    1.713148E+04    9.7912E+03    2.3661E-13    8.5793E+09    4.6994E+09
    1.767899E+04    9.3734E+03    1.9583E-13    6.7869E+09    3.8896E+09
    1.826412E+04    9.0216E+03    1.6000E-13    5.3906E+09    3.1779E+09
    1.889026E+04    8.7165E+03    1.2888E-13    4.2742E+09    2.5597E+09
    1.955040E+04    8.4422E+03    1.0260E-13    3.3638E+09    2.0377E+09
