#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 2.0186 2.0562 2.0945 2.1335 2.1732 2.2136 2.2548 2.2968 2.3396 2.3831 2.4275 2.4727 2.5187 2.5656 2.6134 2.6620 2.7116 2.7620 2.8134 2.8658 2.9192 2.9735 3.0289 3.0853 3.1427 3.2012 3.2608 3.3215 3.3833 3.4463 3.5104 3.5758 3.6424 3.7102 3.7792 3.8496 3.9212 3.9942 4.0686 4.1443 4.2215 4.3001 4.3801 4.4617 4.5447 4.6293 4.7155 4.8033 4.8927 4.9838 5.0765 5.1711 5.2673 5.3654 5.4652 5.5670 5.6706 5.7762 5.8837 5.9932 6.1048 6.2184 6.3342 6.4521 6.5722 6.6946 6.8192 6.9461 7.0754 7.2072 7.3413 7.4780 7.6172 7.7590 7.9034 8.0506 8.2004 8.3531 8.5086 8.6670 8.8283 8.9927 9.1601 9.3306 9.5043 9.6812 9.8614 10.0450 10.2320 10.4225 10.6165 10.8141 11.0154 11.2205 11.4294 11.6421 11.8588 12.0796 12.3045 12.5335 12.7668 13.0045 13.2466 13.4932 13.7444 14.0002 14.2608 14.5263 14.7967 15.0722 15.3528 15.6386 15.9297 16.2262 16.5283 16.8360 17.1494 17.4686 17.7938 18.1251 18.4625 18.8062 19.1562 19.5128 19.8761 20.2461 20.6230 21.0069 21.3979 21.7963 22.2020 22.6153 23.0363 23.4652 23.9020 24.3469 24.8002 25.2618 25.7321 26.2111 26.6990 27.1961 27.7023 28.2180 28.7433 29.2784 29.8234 30.3786 30.9441 31.5202 32.1069 32.7046 33.3134 33.9336 34.5653 35.2087 35.8641 36.5318 37.2118 37.9045 38.6102 39.3289 40.0610 40.8068 41.5664 42.3402 43.1284 43.9313 44.7491 45.5821 46.4306 47.2950 48.1754 49.0722 49.9857 50.9162 51.8640 52.8295 53.8130 54.8147 55.8351 56.8745 57.9333 59.0118 60.1103 61.2293 62.3691 63.5301 64.7128 65.9174 67.1445 68.3945 69.6677 70.9646 72.2856 73.6312 75.0019 76.3981 77.8203 79.2690
#
#TIME: 2.0186
#NVEL: 202
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6
8.7500e+01 3.3740e-37 7.1371e-29 2.9806e-21 2.4862e-14 1.6167e-08 6.3564e-04 9.9936e-01
2.7500e+02 1.1988e-37 3.2091e-29 1.6875e-21 1.7127e-14 1.3125e-08 5.8306e-04 9.9942e-01
4.7500e+02 1.1968e-37 3.4446e-29 1.9362e-21 2.0195e-14 1.5331e-08 6.4303e-04 9.9936e-01
6.7500e+02 1.5137e-37 4.5171e-29 2.6172e-21 2.6992e-14 1.9502e-08 7.4059e-04 9.9926e-01
8.7500e+02 2.1021e-37 6.4203e-29 3.7844e-21 3.8024e-14 2.5726e-08 8.6907e-04 9.9913e-01
1.0750e+03 3.0606e-37 9.5102e-29 5.6686e-21 5.5073e-14 3.4600e-08 1.0301e-03 9.9897e-01
1.2750e+03 4.5816e-37 1.4440e-28 8.6756e-21 8.1140e-14 4.7098e-08 1.2286e-03 9.9877e-01
1.4750e+03 7.0651e-37 2.2528e-28 1.3606e-20 1.2196e-13 6.5043e-08 1.4767e-03 9.9852e-01
1.6750e+03 1.1135e-36 3.5868e-28 2.1736e-20 1.8611e-13 9.0818e-08 1.7853e-03 9.9821e-01
1.8750e+03 1.7801e-36 5.7877e-28 3.5157e-20 2.8691e-13 1.2775e-07 2.1669e-03 9.9783e-01
2.0750e+03 2.8951e-36 9.4943e-28 5.7748e-20 4.4801e-13 1.8140e-07 2.6433e-03 9.9736e-01
2.2750e+03 4.8076e-36 1.5891e-27 9.6656e-20 7.1067e-13 2.6062e-07 3.2449e-03 9.9675e-01
2.4750e+03 8.0667e-36 2.6871e-27 1.6338e-19 1.1366e-12 3.7669e-07 3.9962e-03 9.9600e-01
2.6750e+03 1.3760e-35 4.6181e-27 2.8040e-19 1.8411e-12 5.4964e-07 4.9466e-03 9.9505e-01
2.8750e+03 2.3809e-35 8.0494e-27 4.8773e-19 3.0159e-12 8.0873e-07 6.1503e-03 9.9385e-01
3.0750e+03 4.1806e-35 1.4238e-26 8.6027e-19 4.9985e-12 1.2004e-06 7.6823e-03 9.9232e-01
3.2750e+03 7.4359e-35 2.5516e-26 1.5364e-18 8.3713e-12 1.7956e-06 9.6355e-03 9.9036e-01
3.4750e+03 1.3405e-34 4.6359e-26 2.7802e-18 1.4176e-11 2.7083e-06 1.2137e-02 9.8786e-01
3.6750e+03 2.4459e-34 8.5299e-26 5.0926e-18 2.4254e-11 4.1167e-06 1.5350e-02 9.8465e-01
3.8750e+03 4.5106e-34 1.5874e-25 9.4320e-18 4.1885e-11 6.3013e-06 1.9480e-02 9.8051e-01
4.0750e+03 8.4092e-34 2.9890e-25 1.7668e-17 7.3031e-11 9.7144e-06 2.4807e-02 9.7518e-01
4.2750e+03 1.5852e-33 5.6953e-25 3.3475e-17 1.2855e-10 1.5081e-05 3.1691e-02 9.6829e-01
4.4750e+03 3.0203e-33 1.0976e-24 6.4109e-17 2.2829e-10 2.3561e-05 4.0590e-02 9.5939e-01
4.6750e+03 5.8325e-33 2.1447e-24 1.2434e-16 4.0959e-10 3.7072e-05 5.2124e-02 9.4784e-01
4.8750e+03 1.1440e-32 4.2564e-24 2.4455e-16 7.4299e-10 5.8763e-05 6.7091e-02 9.3285e-01
5.0750e+03 2.2781e-32 8.5737e-24 4.8721e-16 1.3610e-09 9.3710e-05 8.6443e-02 9.1346e-01
5.2750e+03 4.6175e-32 1.7566e-23 9.8484e-16 2.5200e-09 1.5038e-04 1.1141e-01 8.8844e-01
5.4750e+03 9.5064e-32 3.6530e-23 2.0152e-15 4.7058e-09 2.4231e-04 1.4333e-01 8.5643e-01
5.6750e+03 1.9842e-31 7.6959e-23 4.1661e-15 8.8433e-09 3.9111e-04 1.8358e-01 8.1603e-01
5.8750e+03 4.1751e-31 1.6339e-22 8.6579e-15 1.6648e-08 6.2978e-04 2.3326e-01 7.6611e-01
6.0750e+03 8.8262e-31 3.4841e-22 1.8029e-14 3.1294e-08 1.0084e-03 2.9299e-01 7.0600e-01
6.2750e+03 1.8639e-30 7.4238e-22 3.7436e-14 5.8471e-08 1.5985e-03 3.6230e-01 6.3610e-01
6.4750e+03 3.9011e-30 1.5689e-21 7.6979e-14 1.0793e-07 2.4954e-03 4.3911e-01 5.5839e-01
6.6750e+03 8.2555e-30 3.3514e-21 1.5941e-13 1.9936e-07 3.8668e-03 5.2211e-01 4.7402e-01
6.8750e+03 1.9726e-29 8.0240e-21 3.6443e-13 3.9616e-07 6.2303e-03 6.1624e-01 3.7753e-01
7.0750e+03 5.4249e-29 2.1927e-20 9.3346e-13 8.5429e-07 1.0445e-02 7.1431e-01 2.7525e-01
7.2750e+03 1.6992e-28 6.7741e-20 2.6518e-12 1.9771e-06 1.7999e-02 8.0146e-01 1.8054e-01
7.4750e+03 6.0887e-28 2.3748e-19 8.3662e-12 4.9045e-06 3.1738e-02 8.6312e-01 1.0513e-01
7.6750e+03 2.5498e-27 9.6229e-19 2.9718e-11 1.3152e-05 5.7443e-02 8.8881e-01 5.3735e-02
7.8750e+03 1.2760e-26 4.5942e-18 1.2051e-10 3.8438e-05 1.0688e-01 8.6936e-01 2.3724e-02
8.0750e+03 7.5933e-26 2.5708e-17 5.5350e-10 1.2103e-04 2.0119e-01 7.8991e-01 8.7788e-03
8.2750e+03 5.0839e-25 1.6011e-16 2.7378e-09 3.9063e-04 3.6448e-01 6.3255e-01 2.5733e-03
8.4750e+03 3.5085e-24 1.0219e-15 1.3461e-08 1.1940e-03 5.8703e-01 4.1123e-01 5.4775e-04
8.6750e+03 2.3546e-23 6.3263e-15 6.2286e-08 3.2695e-03 7.9306e-01 2.0359e-01 7.8787e-05
8.8750e+03 1.6116e-22 3.9682e-14 2.8152e-07 8.2503e-03 9.1476e-01 7.6982e-02 7.5475e-06
9.0750e+03 1.2516e-21 2.7845e-13 1.3575e-06 2.0681e-02 9.5619e-01 2.3123e-02 4.8921e-07
9.2750e+03 1.1643e-20 2.3077e-12 7.3551e-06 5.3918e-02 9.4043e-01 5.6472e-03 2.1573e-08
9.4750e+03 1.2864e-19 2.2477e-11 4.4536e-05 1.4473e-01 8.5414e-01 1.0825e-03 6.1154e-10
9.6750e+03 1.5751e-18 2.3861e-10 2.7694e-04 3.6237e-01 6.3721e-01 1.4099e-04 9.3367e-12
9.8750e+03 1.8070e-17 2.3165e-09 1.4661e-03 6.8857e-01 3.0995e-01 9.5437e-06 5.6204e-14
1.0075e+04 1.8368e-16 1.9338e-08 6.1470e-03 9.0645e-01 8.7398e-02 2.8645e-07 1.0824e-16
1.0275e+04 2.0273e-15 1.6850e-07 2.4366e-02 9.5968e-01 1.5951e-02 4.0105e-09 6.5295e-20
1.0475e+04 2.9720e-14 1.8247e-06 1.0489e-01 8.9318e-01 1.9317e-03 2.4527e-11 1.0394e-23
1.0675e+04 5.1998e-13 2.1565e-05 4.1501e-01 5.8486e-01 1.1497e-04 4.3322e-14 2.5199e-28
1.0875e+04 6.4152e-12 1.6283e-04 8.5585e-01 1.4399e-01 1.6405e-06 9.3397e-18 3.2979e-34
1.1075e+04 6.0672e-11 8.6398e-04 9.8578e-01 1.3358e-02 5.0060e-09 1.8064e-22 1.3424e-41
1.1275e+04 8.0093e-10 5.6264e-03 9.9376e-01 6.1544e-04 3.3426e-12 2.2037e-28 0.0000e+00
1.1475e+04 2.7990e-08 6.7967e-02 9.3202e-01 9.3952e-06 1.7776e-16 2.7229e-36 0.0000e+00
1.1675e+04 1.2066e-06 7.0695e-01 2.9305e-01 1.0653e-08 8.0291e-23 0.0000e+00 0.0000e+00
1.1875e+04 1.6438e-05 9.9832e-01 1.6678e-03 9.8402e-15 3.7131e-34 0.0000e+00 0.0000e+00
1.2075e+04 1.2228e-03 9.9878e-01 4.2192e-08 1.6034e-26 0.0000e+00 0.0000e+00 0.0000e+00
1.2275e+04 9.8925e-01 1.0755e-02 1.7846e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2475e+04 9.9988e-01 1.2286e-04 1.5085e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2675e+04 9.9987e-01 1.3072e-04 1.7078e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2875e+04 9.9986e-01 1.3909e-04 1.9335e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 9.9985e-01 1.4799e-04 2.1888e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3275e+04 9.9984e-01 1.5746e-04 2.4779e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3475e+04 9.9983e-01 1.6753e-04 2.8051e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3675e+04 9.9982e-01 1.7824e-04 3.1752e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3875e+04 9.9981e-01 1.8965e-04 3.5945e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4075e+04 9.9980e-01 2.0176e-04 4.0683e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4275e+04 9.9979e-01 2.1467e-04 4.6056e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4475e+04 9.9977e-01 2.2837e-04 5.2125e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
