#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
39750.00 1.2976e-11 2.7770e-05 2.7374e-02 9.7260e-01
40250.00 6.7105e-12 1.6698e-05 2.3746e-02 9.7624e-01
#TIME: 202.03
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 1.3904e-08 5.1373e-03 6.8536e-01 3.0950e-01
7250.00 1.8177e-08 6.6506e-03 7.0751e-01 2.8584e-01
7750.00 3.8589e-08 1.0987e-02 7.6377e-01 2.2524e-01
8250.00 1.9804e-07 3.4650e-02 7.9279e-01 1.7256e-01
8750.00 1.5406e-06 1.3404e-01 7.3936e-01 1.2660e-01
9250.00 5.1427e-06 2.2878e-01 6.7271e-01 9.8512e-02
9750.00 1.0997e-05 3.1972e-01 6.0269e-01 7.7578e-02
10250.00 1.8135e-05 3.7776e-01 5.6028e-01 6.1945e-02
10750.00 1.9757e-05 4.3655e-01 5.1114e-01 5.2292e-02
11250.00 1.7695e-05 4.6438e-01 4.8969e-01 4.5913e-02
11750.00 1.4731e-05 4.9202e-01 4.6720e-01 4.0771e-02
12250.00 1.2182e-05 5.0292e-01 4.5676e-01 4.0303e-02
12750.00 9.6992e-06 5.0050e-01 4.5695e-01 4.2546e-02
13250.00 8.7732e-06 4.6381e-01 4.8786e-01 4.8324e-02
13750.00 8.2432e-06 4.3036e-01 5.1556e-01 5.4069e-02
14250.00 7.3801e-06 4.1294e-01 5.2862e-01 5.8423e-02
14750.00 6.8010e-06 4.1002e-01 5.2915e-01 6.0829e-02
15250.00 6.5451e-06 4.2955e-01 5.0615e-01 6.4287e-02
15750.00 5.1446e-06 3.8331e-01 5.4114e-01 7.5544e-02
16250.00 5.7890e-06 3.7815e-01 5.4479e-01 7.7054e-02
16750.00 5.5962e-06 3.7427e-01 5.4952e-01 7.6198e-02
17250.00 4.4345e-06 3.4062e-01 5.6622e-01 9.3160e-02
17750.00 3.7998e-06 3.2008e-01 5.7371e-01 1.0621e-01
18250.00 3.5460e-06 2.6127e-01 6.3159e-01 1.0713e-01
18750.00 1.7605e-06 1.4553e-01 7.1038e-01 1.4409e-01
19250.00 3.2121e-06 2.8280e-01 5.7968e-01 1.3752e-01
19750.00 2.5347e-06 2.5692e-01 5.9091e-01 1.5218e-01
20250.00 1.8656e-06 2.2857e-01 5.9823e-01 1.7320e-01
20750.00 1.3389e-06 1.4543e-01 6.6055e-01 1.9402e-01
21250.00 1.4539e-06 1.7112e-01 6.3256e-01 1.9632e-01
21750.00 6.2580e-07 8.1807e-02 6.9081e-01 2.2738e-01
22250.00 1.0337e-06 1.4826e-01 6.2242e-01 2.2933e-01
22750.00 8.5553e-07 1.2494e-01 6.2047e-01 2.5459e-01
23250.00 8.3167e-07 1.1599e-01 6.1284e-01 2.7118e-01
23750.00 9.2537e-07 1.3620e-01 5.6819e-01 2.9561e-01
24250.00 6.5183e-07 1.1085e-01 5.5021e-01 3.3894e-01
24750.00 4.7413e-07 9.3420e-02 5.3814e-01 3.6844e-01
25250.00 4.3276e-07 7.9882e-02 5.2585e-01 3.9427e-01
25750.00 3.2194e-07 6.6448e-02 5.1390e-01 4.1965e-01
26250.00 1.2015e-07 2.9511e-02 5.0399e-01 4.6650e-01
26750.00 9.7428e-08 2.5466e-02 4.6563e-01 5.0890e-01
27250.00 6.3006e-08 1.6194e-02 4.3851e-01 5.4530e-01
27750.00 1.2457e-07 3.2862e-02 3.9864e-01 5.6850e-01
28250.00 1.0531e-07 2.6868e-02 3.7222e-01 6.0091e-01
28750.00 3.6165e-08 1.0220e-02 3.4644e-01 6.4334e-01
29250.00 2.2144e-08 6.1619e-03 3.2025e-01 6.7359e-01
29750.00 4.4622e-08 1.3710e-02 2.8945e-01 6.9684e-01
30250.00 3.3357e-08 1.0584e-02 2.6465e-01 7.2477e-01
30750.00 1.9501e-08 8.0382e-03 2.4853e-01 7.4343e-01
31250.00 1.5050e-08 6.5636e-03 2.2423e-01 7.6921e-01
31750.00 1.1499e-08 5.6835e-03 2.0190e-01 7.9241e-01
32250.00 5.8341e-09 3.0901e-03 1.8144e-01 8.1547e-01
32750.00 4.2927e-09 2.5044e-03 1.6228e-01 8.3522e-01
33250.00 3.3900e-09 1.8993e-03 1.4477e-01 8.5333e-01
33750.00 2.0066e-09 1.2209e-03 1.2903e-01 8.6975e-01
34250.00 1.5082e-09 9.7154e-04 1.1474e-01 8.8428e-01
34750.00 1.1190e-09 7.8220e-04 1.0190e-01 8.9732e-01
35250.00 7.2238e-10 5.5307e-04 9.0285e-02 9.0916e-01
35750.00 4.7936e-10 3.9513e-04 7.9971e-02 9.1963e-01
36250.00 2.3072e-10 2.2736e-04 7.0325e-02 9.2945e-01
36750.00 2.3366e-10 2.3749e-04 6.2040e-02 9.3772e-01
