#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
2.262500E+04 9.049003E-10 2.065288E-02 9.793471E-01 5.559019E-08 1.865809E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.267500E+04 9.073110E-10 2.079739E-02 9.792026E-01 5.478003E-08 1.803001E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.272500E+04 9.163015E-10 2.104302E-02 9.789569E-01 5.312423E-08 1.674817E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.277500E+04 9.234244E-10 2.126130E-02 9.787386E-01 5.187952E-08 1.583572E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.282500E+04 9.292138E-10 2.146167E-02 9.785383E-01 5.052144E-08 1.484968E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.287500E+04 9.393131E-10 2.172874E-02 9.782712E-01 4.894422E-08 1.376272E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.292500E+04 9.400645E-10 2.185412E-02 9.781458E-01 4.832838E-08 1.335994E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.297500E+04 9.376276E-10 2.193200E-02 9.780680E-01 4.787598E-08 1.306166E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.302500E+04 9.362265E-10 2.202529E-02 9.779747E-01 4.751360E-08 1.283884E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.307500E+04 9.328064E-10 2.208801E-02 9.779119E-01 4.720096E-08 1.264046E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.312500E+04 9.345964E-10 2.223275E-02 9.777672E-01 4.637367E-08 1.211312E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.317500E+04 9.422927E-10 2.247080E-02 9.775292E-01 4.509179E-08 1.132402E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.322500E+04 9.587139E-10 2.284767E-02 9.771523E-01 4.316817E-08 1.019798E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.327500E+04 9.530203E-10 2.287830E-02 9.771217E-01 4.300158E-08 1.010323E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.332500E+04 9.610352E-10 2.312591E-02 9.768740E-01 4.183308E-08 9.458302E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.337500E+04 9.574446E-10 2.319154E-02 9.768084E-01 4.140568E-08 9.220798E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.342500E+04 9.564743E-10 2.329847E-02 9.767015E-01 4.091500E-08 8.961277E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.347500E+04 9.501146E-10 2.331928E-02 9.766807E-01 4.077022E-08 8.882747E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.352500E+04 9.560102E-10 2.353806E-02 9.764619E-01 3.979185E-08 8.380081E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.357500E+04 9.654428E-10 2.381624E-02 9.761837E-01 3.844675E-08 7.708050E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.362500E+04 9.578927E-10 2.381919E-02 9.761808E-01 3.835332E-08 7.658969E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.367500E+04 9.561383E-10 2.391655E-02 9.760834E-01 3.788326E-08 7.432352E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.372500E+04 9.538744E-10 2.400600E-02 9.759940E-01 3.744819E-08 7.225731E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.377500E+04 9.580101E-10 2.420152E-02 9.757984E-01 3.670008E-08 6.886373E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.382500E+04 9.575381E-10 2.432192E-02 9.756780E-01 3.613127E-08 6.628212E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.387500E+04 9.551044E-10 2.441113E-02 9.755888E-01 3.557440E-08 6.375008E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.392500E+04 9.541648E-10 2.452427E-02 9.754757E-01 3.512379E-08 6.182052E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.397500E+04 9.471856E-10 2.453574E-02 9.754642E-01 3.506300E-08 6.155888E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.402500E+04 9.468156E-10 2.466002E-02 9.753399E-01 3.446938E-08 5.902412E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.407500E+04 9.478142E-10 2.480782E-02 9.751921E-01 3.388820E-08 5.664400E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.412500E+04 9.389658E-10 2.478717E-02 9.752128E-01 3.380588E-08 5.624315E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.417500E+04 9.425260E-10 2.498063E-02 9.750193E-01 3.306527E-08 5.330564E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.422500E+04 9.461919E-10 2.517681E-02 9.748232E-01 3.235633E-08 5.058848E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.427500E+04 9.537087E-10 2.544231E-02 9.745577E-01 3.146492E-08 4.730348E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.432500E+04 9.495844E-10 2.550527E-02 9.744947E-01 3.112692E-08 4.603830E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.437500E+04 9.480586E-10 2.561339E-02 9.743866E-01 3.070506E-08 4.452459E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.442500E+04 9.392895E-10 2.559353E-02 9.744064E-01 3.065432E-08 4.430409E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.447500E+04 9.410667E-10 2.576161E-02 9.742384E-01 2.999351E-08 4.199233E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.452500E+04 9.508493E-10 2.607515E-02 9.739248E-01 2.897593E-08 3.862453E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.457500E+04 9.431641E-10 2.607452E-02 9.739255E-01 2.887584E-08 3.826873E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.462500E+04 9.277585E-10 2.593236E-02 9.740676E-01 2.913534E-08 3.904149E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.467500E+04 9.256575E-10 2.603173E-02 9.739682E-01 2.875825E-08 3.780934E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.472500E+04 9.363345E-10 2.636829E-02 9.736317E-01 2.763734E-08 3.430999E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.477500E+04 9.328948E-10 2.644433E-02 9.735556E-01 2.736815E-08 3.349402E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.482500E+04 9.352352E-10 2.662899E-02 9.733710E-01 2.678023E-08 3.176338E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.487500E+04 9.365344E-10 2.679528E-02 9.732047E-01 2.621806E-08 3.014602E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.492500E+04 9.331925E-10 2.687539E-02 9.731246E-01 2.588647E-08 2.919976E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.497500E+04 9.374155E-10 2.709826E-02 9.729017E-01 2.526101E-08 2.751489E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.502500E+04 9.231875E-10 2.697160E-02 9.730284E-01 2.539733E-08 2.781888E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.507500E+04 9.216911E-10 2.708671E-02 9.729133E-01 2.503752E-08 2.686032E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.512500E+04 9.221358E-10 2.723925E-02 9.727607E-01 2.460303E-08 2.573653E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.517500E+04 9.150383E-10 2.724617E-02 9.727538E-01 2.447722E-08 2.539089E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.522500E+04 9.185030E-10 2.745973E-02 9.725402E-01 2.383807E-08 2.378946E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.527500E+04 9.072167E-10 2.738435E-02 9.726156E-01 2.380474E-08 2.365233E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.532500E+04 9.083800E-10 2.755382E-02 9.724462E-01 2.330656E-08 2.245131E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.537500E+04 9.008906E-10 2.755047E-02 9.724495E-01 2.324447E-08 2.229043E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.542500E+04 9.022134E-10 2.772415E-02 9.722758E-01 2.276048E-08 2.116666E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.547500E+04 8.920886E-10 2.766744E-02 9.723325E-01 2.269927E-08 2.098275E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.552500E+04 8.909457E-10 2.779160E-02 9.722084E-01 2.234754E-08 2.018999E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.557500E+04 8.671682E-10 2.744986E-02 9.725501E-01 2.290241E-08 2.136607E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.562500E+04 8.677657E-10 2.760875E-02 9.723912E-01 2.246949E-08 2.038807E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.567500E+04 8.575588E-10 2.754235E-02 9.724576E-01 2.244361E-08 2.028929E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.572500E+04 8.592273E-10 2.772472E-02 9.722753E-01 2.194840E-08 1.920533E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.577500E+04 8.627037E-10 2.794682E-02 9.720532E-01 2.137047E-08 1.798572E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.582500E+04 8.709942E-10 2.827260E-02 9.717274E-01 2.062227E-08 1.648819E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.587500E+04 8.722618E-10 2.845106E-02 9.715489E-01 2.014597E-08 1.555961E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.592500E+04 8.602766E-10 2.834558E-02 9.716544E-01 2.018467E-08 1.559704E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.597500E+04 8.486059E-10 2.824323E-02 9.717567E-01 2.027356E-08 1.574021E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.602500E+04 8.372139E-10 2.814465E-02 9.718553E-01 2.027993E-08 1.571279E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.607500E+04 8.337556E-10 2.821845E-02 9.717815E-01 2.004049E-08 1.525042E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.612500E+04 8.338664E-10 2.837179E-02 9.716282E-01 1.965004E-08 1.452551E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.617500E+04 8.150508E-10 2.810084E-02 9.718991E-01 1.998487E-08 1.509112E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.622500E+04 8.180377E-10 2.831904E-02 9.716809E-01 1.945627E-08 1.412563E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.627500E+04 8.111128E-10 2.831264E-02 9.716873E-01 1.933799E-08 1.389458E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.632500E+04 8.057483E-10 2.834106E-02 9.716589E-01 1.914339E-08 1.353314E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.637500E+04 8.036576E-10 2.844405E-02 9.715559E-01 1.887413E-08 1.306445E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.642500E+04 8.052447E-10 2.863329E-02 9.713667E-01 1.842376E-08 1.230597E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.647500E+04 7.946531E-10 2.853838E-02 9.714616E-01 1.844011E-08 1.230511E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.652500E+04 7.905630E-10 2.859496E-02 9.714050E-01 1.816794E-08 1.184155E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.657500E+04 7.764581E-10 2.841125E-02 9.715887E-01 1.835924E-08 1.212110E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.662500E+04 7.718089E-10 2.845119E-02 9.715488E-01 1.819548E-08 1.184617E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.667500E+04 7.715190E-10 2.859682E-02 9.714032E-01 1.779738E-08 1.120642E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.672500E+04 7.630340E-10 2.854279E-02 9.714572E-01 1.775389E-08 1.111776E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.677500E+04 7.562666E-10 2.852960E-02 9.714704E-01 1.758365E-08 1.083040E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.682500E+04 7.531417E-10 2.860504E-02 9.713949E-01 1.731848E-08 1.041855E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.687500E+04 7.471913E-10 2.860977E-02 9.713902E-01 1.714598E-08 1.014389E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.692500E+04 7.367339E-10 2.849908E-02 9.715009E-01 1.719130E-08 1.018682E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.697500E+04 7.258242E-10 2.837338E-02 9.716266E-01 1.726115E-08 1.026468E-23 0.000000E+00 0.000000E+00 0.000000E+00
2.702500E+04 7.220135E-10 2.842739E-02 9.715726E-01 1.705850E-08 9.959047E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.707500E+04 7.125508E-10 2.833443E-02 9.716655E-01 1.704108E-08 9.907738E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.712500E+04 7.075700E-10 2.835602E-02 9.716440E-01 1.687495E-08 9.656515E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.717500E+04 7.045771E-10 2.842876E-02 9.715712E-01 1.666933E-08 9.362399E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.722500E+04 7.045277E-10 2.857989E-02 9.714201E-01 1.632789E-08 8.892173E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.727500E+04 6.906046E-10 2.836071E-02 9.716393E-01 1.647975E-08 9.063687E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.732500E+04 6.803724E-10 2.823578E-02 9.717642E-01 1.652900E-08 9.106752E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.737500E+04 6.738803E-10 2.821015E-02 9.717898E-01 1.639111E-08 8.898438E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.742500E+04 6.703156E-10 2.826352E-02 9.717365E-01 1.617109E-08 8.593933E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.747500E+04 6.657173E-10 2.828752E-02 9.717125E-01 1.599149E-08 8.345733E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.752500E+04 6.595611E-10 2.826714E-02 9.717328E-01 1.588512E-08 8.193454E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.757500E+04 6.550929E-10 2.829280E-02 9.717072E-01 1.570409E-08 7.950911E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.762500E+04 6.595886E-10 2.857220E-02 9.714278E-01 1.520283E-08 7.342119E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.767500E+04 6.496433E-10 2.844163E-02 9.715584E-01 1.523183E-08 7.354693E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.772500E+04 6.395758E-10 2.830375E-02 9.716962E-01 1.528071E-08 7.391513E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.777500E+04 6.348506E-10 2.831789E-02 9.716821E-01 1.514888E-08 7.224642E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.782500E+04 6.227083E-10 2.811282E-02 9.718872E-01 1.526606E-08 7.335761E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.787500E+04 6.181689E-10 2.812914E-02 9.718708E-01 1.509530E-08 7.120911E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.792500E+04 6.103099E-10 2.804466E-02 9.719553E-01 1.506077E-08 7.061574E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.797500E+04 6.016214E-10 2.793185E-02 9.720681E-01 1.508529E-08 7.071401E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.802500E+04 5.996523E-10 2.802192E-02 9.719781E-01 1.481935E-08 6.758234E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.807500E+04 5.961110E-10 2.806355E-02 9.719364E-01 1.463153E-08 6.538283E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.812500E+04 5.885543E-10 2.798016E-02 9.720198E-01 1.458894E-08 6.473074E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.817500E+04 5.834773E-10 2.797177E-02 9.720282E-01 1.444340E-08 6.299957E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.822500E+04 5.713812E-10 2.773967E-02 9.722603E-01 1.457701E-08 6.417602E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.827500E+04 5.632721E-10 2.762935E-02 9.723706E-01 1.457411E-08 6.395291E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.832500E+04 5.617448E-10 2.772849E-02 9.722715E-01 1.432131E-08 6.118491E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.837500E+04 5.526891E-10 2.758267E-02 9.724173E-01 1.436941E-08 6.149719E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.842500E+04 5.420075E-10 2.737930E-02 9.726207E-01 1.448188E-08 6.245312E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.847500E+04 5.347015E-10 2.728316E-02 9.727168E-01 1.448306E-08 6.230538E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.852500E+04 5.312212E-10 2.731304E-02 9.726869E-01 1.430633E-08 6.033712E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.857500E+04 5.214866E-10 2.712986E-02 9.728701E-01 1.439329E-08 6.102098E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.862500E+04 5.126318E-10 2.697187E-02 9.730281E-01 1.446036E-08 6.152059E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.867500E+04 5.143971E-10 2.717793E-02 9.728221E-01 1.405674E-08 5.734617E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.872500E+04 5.067140E-10 2.705660E-02 9.729434E-01 1.405442E-08 5.713101E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.877500E+04 5.001258E-10 2.697054E-02 9.730294E-01 1.400225E-08 5.643054E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.882500E+04 5.012081E-10 2.715408E-02 9.728459E-01 1.364317E-08 5.289892E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.887500E+04 4.948019E-10 2.707150E-02 9.729285E-01 1.360706E-08 5.240646E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.892500E+04 4.892921E-10 2.701860E-02 9.729814E-01 1.353027E-08 5.154267E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.897500E+04 4.832175E-10 2.694282E-02 9.730572E-01 1.348530E-08 5.097888E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.902500E+04 4.764833E-10 2.684039E-02 9.731596E-01 1.346506E-08 5.063112E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.907500E+04 4.739778E-10 2.689197E-02 9.731080E-01 1.328169E-08 4.887361E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.912500E+04 4.642738E-10 2.667323E-02 9.733268E-01 1.340643E-08 4.981260E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.917500E+04 4.552235E-10 2.647359E-02 9.735264E-01 1.351027E-08 5.057256E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.922500E+04 4.464318E-10 2.627878E-02 9.737212E-01 1.362211E-08 5.142227E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.927500E+04 4.483988E-10 2.649650E-02 9.735035E-01 1.318849E-08 4.743733E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.932500E+04 4.356130E-10 2.613981E-02 9.738602E-01 1.347571E-08 4.975786E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.937500E+04 4.312617E-10 2.610866E-02 9.738913E-01 1.338147E-08 4.878785E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.942500E+04 4.282067E-10 2.612753E-02 9.738725E-01 1.321244E-08 4.717796E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.947500E+04 4.256176E-10 2.616421E-02 9.738358E-01 1.304302E-08 4.562118E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.952500E+04 4.228103E-10 2.619143E-02 9.738086E-01 1.286000E-08 4.395832E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.957500E+04 4.176489E-10 2.612193E-02 9.738781E-01 1.280243E-08 4.334762E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.962500E+04 4.134425E-10 2.608936E-02 9.739106E-01 1.270921E-08 4.246760E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.967500E+04 4.088971E-10 2.604104E-02 9.739589E-01 1.261658E-08 4.158553E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.972500E+04 4.034103E-10 2.595075E-02 9.740492E-01 1.259728E-08 4.130967E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.977500E+04 3.997171E-10 2.593436E-02 9.740656E-01 1.246154E-08 4.010770E-24 0.000000E+00 0.000000E+00 0.000000E+00
2.982500E+04 3.943926E-10 2.584627E-02 9.741537E-01 1.242342E-08 3.967986E-24 0.000000E+00 0.000000E+00 0.000000E+00
