#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 co7 co8
2.875008e+03 1.218292e-41 1.400218e-32 3.618082e-24 1.242821e-16 2.636907e-10 1.931688e-05 3.311465e-02 7.931163e-01 1.737497e-01 
3.125008e+03 2.897801e-41 3.432780e-32 8.916311e-24 2.942383e-16 5.728730e-10 3.566525e-05 4.792517e-02 8.314460e-01 1.205931e-01 
3.375011e+03 6.363460e-41 7.845029e-32 2.049908e-23 6.557764e-16 1.173111e-09 6.242020e-05 6.679204e-02 8.500805e-01 8.306501e-02 
3.625012e+03 1.339546e-40 1.712819e-31 4.500451e-23 1.400435e-15 2.311114e-09 1.056282e-04 9.053849e-02 8.524384e-01 5.691747e-02 
3.875015e+03 2.697716e-40 3.573897e-31 9.568821e-23 2.882175e-15 4.409728e-09 1.735069e-04 1.198985e-01 8.415951e-01 3.833293e-02 
4.125020e+03 5.881539e-40 8.114636e-31 2.176484e-22 6.321868e-15 8.838034e-09 2.956495e-04 1.604056e-01 8.146089e-01 2.468988e-02 
4.375025e+03 1.253107e-39 1.790642e-30 4.827544e-22 1.359245e-14 1.735861e-08 4.930257e-04 2.102207e-01 7.737765e-01 1.550977e-02 
4.625029e+03 2.685451e-39 3.996429e-30 1.083144e-21 2.939430e-14 3.421242e-08 8.179607e-04 2.726536e-01 7.171163e-01 9.412151e-03 
4.875029e+03 6.315575e-39 9.656717e-30 2.636243e-21 6.845268e-14 7.130487e-08 1.405725e-03 3.536722e-01 6.397066e-01 5.215442e-03 
5.125029e+03 1.338587e-38 2.130176e-29 5.870214e-21 1.463106e-13 1.383058e-07 2.272484e-03 4.389319e-01 5.558915e-01 2.903977e-03 
5.375030e+03 2.843859e-38 4.717117e-29 1.305457e-20 3.125333e-13 2.664298e-07 3.615486e-03 5.289771e-01 4.658881e-01 1.518989e-03 
5.625029e+03 5.814104e-38 1.004254e-28 2.801341e-20 6.448370e-13 4.952560e-07 5.549827e-03 6.184093e-01 3.752740e-01 7.664047e-04 
5.875027e+03 1.256807e-37 2.249626e-28 6.255338e-20 1.377322e-12 9.354313e-07 8.550875e-03 7.058776e-01 2.852205e-01 3.500694e-04 
6.125024e+03 2.677706e-37 4.960340e-28 1.385885e-19 2.890919e-12 1.743331e-06 1.279279e-02 7.776007e-01 2.094505e-01 1.542659e-04 
6.375019e+03 6.016448e-37 1.149901e-27 3.189607e-19 6.262856e-12 3.292277e-06 1.909658e-02 8.350475e-01 1.457911e-01 6.160186e-05 
6.625017e+03 1.479622e-36 2.892327e-27 7.881405e-19 1.442446e-11 6.468701e-06 2.892327e-02 8.773640e-01 9.368463e-02 2.163669e-05 
6.875017e+03 3.713999e-36 7.419764e-27 1.984643e-18 3.351658e-11 1.276430e-05 4.339862e-02 8.976185e-01 5.896283e-02 7.312708e-06 
7.125017e+03 1.228756e-35 2.457513e-26 6.290499e-18 9.444918e-11 2.888494e-05 6.950726e-02 8.986427e-01 3.181929e-02 1.843135e-06 
7.375020e+03 5.546454e-35 1.092641e-25 2.601526e-17 3.350766e-10 7.710923e-05 1.196702e-01 8.657879e-01 1.446448e-02 3.277923e-07 
7.625021e+03 3.102800e-34 5.966001e-25 1.293831e-16 1.377691e-09 2.276185e-04 2.132426e-01 7.810909e-01 5.438884e-03 4.216932e-08 
7.875023e+03 1.961655e-33 3.657086e-24 7.132018e-16 6.123167e-09 6.907829e-04 3.671098e-01 6.305320e-01 1.667407e-03 3.909299e-09 
8.125025e+03 1.692794e-32 2.954092e-23 4.962211e-15 3.219628e-08 2.257059e-03 5.957972e-01 4.016237e-01 3.219628e-04 1.759178e-10 
8.375030e+03 1.608547e-31 2.580878e-22 3.621231e-14 1.686573e-07 6.822320e-03 8.042735e-01 1.888642e-01 3.981354e-05 4.181422e-12 
8.625034e+03 1.670083e-30 2.396313e-21 2.714191e-13 8.729425e-07 1.897488e-02 9.145112e-01 6.650990e-02 3.178782e-06 5.428382e-14 
8.875032e+03 1.893378e-29 2.413069e-20 2.176017e-12 4.619477e-06 5.105738e-02 9.299737e-01 1.896417e-02 1.805243e-07 4.315564e-16 
9.125029e+03 2.434473e-28 2.737344e-19 1.924575e-11 2.603160e-05 1.368672e-01 8.587746e-01 4.332211e-03 7.015881e-09 1.928409e-18 
9.375026e+03 3.386434e-27 3.342005e-18 1.801820e-10 1.480948e-04 3.425925e-01 6.565534e-01 7.059184e-04 1.609296e-10 4.003495e-21 
9.625020e+03 3.947834e-26 3.410670e-17 1.391450e-09 6.730734e-04 6.471859e-01 3.520692e-01 7.183764e-05 2.019220e-12 3.857228e-24 
9.875013e+03 3.936547e-25 2.945893e-16 8.863749e-09 2.389736e-03 8.776850e-01 1.199213e-01 3.979997e-06 1.112314e-14 1.268733e-27 
1.012500e+04 3.858711e-24 2.481448e-15 5.354704e-08 7.539328e-03 9.640841e-01 2.837637e-02 1.270406e-07 2.825764e-17 1.436628e-31 
1.037500e+04 4.008250e-23 2.180220e-14 3.320642e-07 2.331158e-02 9.710363e-01 5.651800e-03 3.052307e-09 4.612003e-20 8.771191e-36 
1.062501e+04 6.168637e-22 2.741617e-13 2.717138e-06 8.371722e-02 9.155041e-01 7.759754e-04 3.378063e-11 2.132096e-23 8.298286e-41 
1.087502e+04 9.695783e-21 3.515189e-12 2.219923e-05 2.773967e-01 7.225043e-01 7.674269e-05 2.234897e-13 4.567126e-27 2.669148e-46 
1.112502e+04 1.321814e-19 3.856302e-11 1.473398e-04 6.609071e-01 3.389422e-01 3.340916e-06 4.341371e-16 1.734123e-31 8.185546e-53 
1.137501e+04 1.369649e-18 3.185231e-10 6.869481e-04 9.300873e-01 6.922568e-02 3.981538e-08 1.252857e-19 4.491175e-37 6.550958e-61 
1.162501e+04 1.462755e-17 2.684535e-09 2.980468e-03 9.892619e-01 7.757673e-03 1.570559e-10 6.235732e-24 8.624334e-44 1.380316e-70 
1.187501e+04 5.844566e-16 6.739679e-08 2.564237e-02 9.740943e-01 2.632687e-04 3.559393e-14 2.132477e-30 8.003369e-54 5.528643e-85 
1.212501e+04 5.986951e-14 3.752690e-06 3.340545e-01 6.659398e-01 1.887191e-06 2.668098e-19 2.190877e-39 1.088931e-67 8.025985e-105 
