#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Fe0 Fe1 Fe2 Fe3 Fe4 Fe5
1.875e+09 4.502973e-04 9.995464e-01 3.271126e-06 1.460575e-26 3.722684e-70 6.666483e-135
1.925e+09 3.839005e-04 9.996123e-01 3.837384e-06 2.009885e-26 6.009147e-70 1.262301e-134
1.975e+09 3.270163e-04 9.996685e-01 4.505400e-06 2.770403e-26 9.724297e-70 2.398180e-134
2.025e+09 2.783216e-04 9.997164e-01 5.294165e-06 3.825166e-26 1.577644e-69 4.571679e-134
2.075e+09 2.366840e-04 9.997571e-01 6.226025e-06 5.290045e-26 2.565747e-69 8.743320e-134
2.125e+09 2.011146e-04 9.997916e-01 7.327675e-06 7.327487e-26 4.182633e-69 1.677462e-133
2.175e+09 1.707592e-04 9.998206e-01 8.630797e-06 1.016511e-25 6.834059e-69 3.228151e-133
2.225e+09 1.448888e-04 9.998449e-01 1.017235e-05 1.412024e-25 1.118841e-68 6.228785e-133
2.275e+09 1.228599e-04 9.998651e-01 1.199675e-05 1.963892e-25 1.835176e-68 1.204886e-132
2.325e+09 1.041243e-04 9.998817e-01 1.415585e-05 2.734360e-25 3.014957e-68 2.335687e-132
2.375e+09 8.820449e-05 9.998951e-01 1.671125e-05 3.810619e-25 4.960073e-68 4.536164e-132
2.425e+09 7.468660e-05 9.999056e-01 1.973631e-05 5.315024e-25 8.170531e-68 8.824773e-132
2.475e+09 6.321631e-05 9.999135e-01 2.331774e-05 7.418952e-25 1.347425e-67 1.719392e-131
2.525e+09 5.348915e-05 9.999190e-01 2.755844e-05 1.036279e-24 2.224357e-67 3.354598e-131
2.575e+09 4.524996e-05 9.999222e-01 3.257654e-05 1.448025e-24 3.674115e-67 6.549946e-131
2.625e+09 3.826819e-05 9.999232e-01 3.851999e-05 2.024593e-24 6.074286e-67 1.280445e-130
2.675e+09 3.235534e-05 9.999221e-01 4.555930e-05 2.832175e-24 1.005007e-66 2.505683e-130
2.725e+09 2.734905e-05 9.999188e-01 5.389865e-05 3.963905e-24 1.664081e-66 4.908331e-130
2.775e+09 2.311130e-05 9.999131e-01 6.378093e-05 5.550749e-24 2.757517e-66 9.624828e-130
2.825e+09 1.952534e-05 9.999050e-01 7.549350e-05 7.776650e-24 4.572792e-66 1.889202e-129
2.875e+09 1.649122e-05 9.998941e-01 8.938114e-05 1.090109e-23 7.589268e-66 3.712257e-129
2.925e+09 1.392428e-05 9.998802e-01 1.058556e-04 1.529015e-23 1.260711e-65 7.303444e-129
2.975e+09 1.175350e-05 9.998628e-01 1.254020e-04 2.145856e-23 2.096054e-65 1.438509e-128
3.025e+09 9.918672e-06 9.998415e-01 1.485934e-04 3.013007e-23 3.487438e-65 2.836097e-128
3.075e+09 8.367517e-06 9.998155e-01 1.761302e-04 4.233310e-23 5.808073e-65 5.598766e-128
