#NTIMES: 110 
#time[d] Lbol[erg/s] Edep[erg/s] 
2.04 4.82e+39 3.20e+43 
2.11 6.40e+39 3.20e+43 
2.19 1.67e+40 3.16e+43 
2.28 2.80e+40 3.15e+43 
2.36 4.24e+40 3.13e+43 
2.45 5.64e+40 3.12e+43 
2.54 9.38e+40 3.08e+43 
2.64 1.50e+41 3.07e+43 
2.74 1.70e+41 3.05e+43 
2.84 2.43e+41 3.02e+43 
2.95 3.40e+41 2.97e+43 
3.06 4.34e+41 2.95e+43 
3.17 5.22e+41 2.91e+43 
3.29 6.12e+41 2.89e+43 
3.41 6.81e+41 2.86e+43 
3.54 7.96e+41 2.83e+43 
3.68 8.55e+41 2.78e+43 
3.81 9.99e+41 2.76e+43 
3.96 1.07e+42 2.72e+43 
4.11 1.21e+42 2.69e+43 
4.26 1.30e+42 2.66e+43 
4.42 1.44e+42 2.62e+43 
4.59 1.53e+42 2.59e+43 
4.76 1.72e+42 2.54e+43 
4.94 1.82e+42 2.51e+43 
5.12 1.96e+42 2.45e+43 
5.32 2.14e+42 2.43e+43 
5.52 2.32e+42 2.39e+43 
5.72 2.48e+42 2.36e+43 
5.94 2.74e+42 2.30e+43 
6.16 2.98e+42 2.27e+43 
6.39 3.25e+42 2.24e+43 
6.63 3.61e+42 2.18e+43 
6.88 3.86e+42 2.14e+43 
7.14 4.14e+42 2.10e+43 
7.41 4.47e+42 2.05e+43 
7.69 4.73e+42 2.02e+43 
7.98 5.14e+42 1.97e+43 
8.28 5.42e+42 1.92e+43 
8.59 5.81e+42 1.87e+43 
8.91 6.13e+42 1.84e+43 
9.24 6.36e+42 1.79e+43 
9.59 6.66e+42 1.75e+43 
9.95 7.04e+42 1.71e+43 
10.33 7.39e+42 1.66e+43 
10.71 7.78e+42 1.61e+43 
11.12 8.08e+42 1.57e+43 
11.53 8.43e+42 1.53e+43 
11.97 8.73e+42 1.48e+43 
12.42 8.96e+42 1.43e+43 
12.88 9.21e+42 1.38e+43 
13.37 9.57e+42 1.34e+43 
13.87 9.70e+42 1.30e+43 
14.39 1.00e+43 1.25e+43 
14.93 1.03e+43 1.22e+43 
15.49 1.04e+43 1.17e+43 
16.07 1.05e+43 1.12e+43 
16.68 1.07e+43 1.08e+43 
17.30 1.08e+43 1.04e+43 
17.95 1.08e+43 1.00e+43 
18.63 1.07e+43 9.64e+42 
19.33 1.07e+43 9.21e+42 
20.06 1.06e+43 8.81e+42 
20.81 1.04e+43 8.43e+42 
21.59 1.02e+43 8.05e+42 
22.40 9.96e+42 7.69e+42 
23.24 9.66e+42 7.38e+42 
24.12 9.12e+42 7.03e+42 
25.02 8.71e+42 6.69e+42 
25.96 8.29e+42 6.39e+42 
26.94 7.84e+42 6.07e+42 
27.95 7.44e+42 5.75e+42 
29.00 7.08e+42 5.49e+42 
30.09 6.61e+42 5.20e+42 
31.22 6.16e+42 4.95e+42 
32.40 5.83e+42 4.68e+42 
33.61 5.50e+42 4.42e+42 
34.88 5.28e+42 4.18e+42 
36.19 5.02e+42 3.95e+42 
37.55 4.74e+42 3.75e+42 
38.96 4.42e+42 3.54e+42 
40.42 4.15e+42 3.34e+42 
41.94 3.79e+42 3.15e+42 
43.52 3.47e+42 2.94e+42 
45.15 3.17e+42 2.78e+42 
46.85 2.89e+42 2.61e+42 
48.61 2.63e+42 2.45e+42 
50.43 2.39e+42 2.28e+42 
52.33 2.16e+42 2.13e+42 
54.30 1.98e+42 1.99e+42 
56.34 1.84e+42 1.86e+42 
58.45 1.69e+42 1.72e+42 
60.65 1.58e+42 1.61e+42 
62.93 1.48e+42 1.50e+42 
65.29 1.37e+42 1.39e+42 
67.75 1.28e+42 1.29e+42 
70.29 1.20e+42 1.19e+42 
72.93 1.10e+42 1.10e+42 
75.67 1.02e+42 1.01e+42 
78.52 9.43e+41 9.40e+41 
81.47 8.78e+41 8.61e+41 
84.53 8.09e+41 7.96e+41 
87.70 7.47e+41 7.40e+41 
91.00 6.94e+41 6.79e+41 
94.42 6.27e+41 6.20e+41 
97.97 4.69e+41 5.68e+41 
101.65 1.95e+41 5.23e+41 
105.47 2.52e+39 4.72e+41 
109.43 2.71e+37 4.34e+41 
113.54 0.00e+00 3.98e+41 
