#NTIMES 4
#NVEL 20
#TIMES[d] 100 200 300 400
#Vel_mid[km/s], ne_t1 [erg/s/cm3] ne_t2 ...
2.500000e+02 1.620000e+00 1.670000e+00 1.640000e+00 1.570000e+00
7.500000e+02 1.640000e+00 1.700000e+00 1.670000e+00 1.600000e+00
1.250000e+03 1.670000e+00 1.720000e+00 1.700000e+00 1.640000e+00
1.750000e+03 1.690000e+00 1.750000e+00 1.730000e+00 1.670000e+00
2.250000e+03 1.710000e+00 1.770000e+00 1.750000e+00 1.700000e+00
2.750000e+03 1.730000e+00 1.790000e+00 1.780000e+00 1.740000e+00
3.250000e+03 1.750000e+00 1.810000e+00 1.800000e+00 1.760000e+00
3.750000e+03 1.760000e+00 1.820000e+00 1.820000e+00 1.790000e+00
4.250000e+03 1.780000e+00 1.840000e+00 1.840000e+00 1.810000e+00
4.750000e+03 1.790000e+00 1.850000e+00 1.860000e+00 1.840000e+00
5.250000e+03 1.800000e+00 1.870000e+00 1.880000e+00 1.860000e+00
5.750000e+03 1.820000e+00 1.880000e+00 1.890000e+00 1.880000e+00
6.250000e+03 1.830000e+00 1.890000e+00 1.910000e+00 1.890000e+00
6.750000e+03 1.840000e+00 1.900000e+00 1.920000e+00 1.900000e+00
7.250000e+03 1.830000e+00 1.900000e+00 1.910000e+00 1.900000e+00
7.750000e+03 1.820000e+00 1.890000e+00 1.900000e+00 1.880000e+00
8.250000e+03 1.800000e+00 1.860000e+00 1.870000e+00 1.860000e+00
8.750000e+03 1.770000e+00 1.840000e+00 1.840000e+00 1.820000e+00
9.250000e+03 1.750000e+00 1.810000e+00 1.810000e+00 1.780000e+00
9.750000e+03 1.730000e+00 1.780000e+00 1.780000e+00 1.740000e+00
