#NTIMES: 99
#NSTAGES: 8
#TIMES[d]:    2.0   3.0   4.0   5.0   6.0   7.0   8.0   9.0  10.0  11.0  12.0  13.0  14.0  15.0  16.0  17.0  18.0  19.0  20.0  21.0  22.0  23.0  24.0  25.0  26.0  27.0  28.0  29.0  30.0  31.0  32.0  33.0  34.0  35.0  36.0  37.0  38.0  39.0  40.0  41.0  42.0  43.0  44.0  45.0  46.0  47.0  48.0  49.0  50.0  51.0  52.0  53.0  54.0  55.0  56.0  57.0  58.0  59.0  60.0  61.0  62.0  63.0  64.0  65.0  66.0  67.0  68.0  69.0  70.0  71.0  72.0  73.0  74.0  75.0  76.0  77.0  78.0  79.0  80.0  81.0  82.0  83.0  84.0  85.0  86.0  87.0  88.0  89.0  90.0  91.0  92.0  93.0  94.0  95.0  96.0  97.0  98.0  99.0 100.0
#
#TIME: 2.0
#NVEL: 100
#vel_mid[km/s]    ni0          ni1          ni2          ni3          ni4          ni5          ni6          ni7
   9.0000E+03   5.6301E-32   1.5991E-22   1.5779E-14   8.3317E-08   4.4498E-03   8.3033E-01   1.6517E-01   4.6728E-05
   9.5000E+03   3.8324E-29   6.9604E-20   4.0296E-12   7.3101E-06   6.4102E-02   9.2957E-01   6.3229E-03   2.4646E-08
   1.0000E+04   6.3458E-26   6.7392E-17   1.9572E-09   8.4231E-04   6.6669E-01   3.3244E-01   2.6030E-05   3.5575E-13
   1.0500E+04   1.0557E-22   5.7668E-14   6.3197E-07   3.4758E-02   9.6067E-01   4.5667E-03   7.3534E-10   4.0834E-21
   1.1000E+04   6.4261E-19   1.4831E-10   3.5590E-04   8.3946E-01   1.6019E-01   8.2545E-07   1.3675E-17   6.9697E-34
   1.1500E+04   7.1412E-15   5.0749E-07   8.7368E-02   9.1259E-01   4.1986E-05   2.6621E-15   7.1518E-33   9.9223E-58
   1.2000E+04   1.6546E-09   5.4339E-03   9.9454E-01   2.7477E-05   5.1731E-18   7.8620E-40   5.0243E-74   1.0000E-99
   1.2500E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.3000E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.3500E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
