### SNIa toy model generated with mk_snia_toy_model.py version 2022-10-02
#
## Adopted constants:
#
# MSUN = 1.98900000e+33 g
# 56Ni half-life THALF_56NI = 6.07500000e+00 day
# 56Co half-life THALF_56CO = 7.72360000e+01 day
# Energy per 56Ni decay EDECAY_56NI = 1.72060000e+00 MeV
# Energy per 56Co decay EDECAY_56CO = 3.60720000e+00 MeV
#
## Ejecta parameters (actual vs. requested):
#
# Mtot = 9.9990e-01 Msun (1.0000e+00 requested)
# Ekin = 9.9817e+50 erg (1.0000e+51 requested)
# nzones =  202 ; cell size dvel = 2.0000e+02 km/s ; Vmax = 4.0300e+04 km/s
# density profile = expon
# time at which radius, temperature and abundances are calculated, tend = 4.1667e-02 DAYS
# M(stable IGE) = 0.0000e+00 Msun (0.0000e+00 requested) with relative (Ni, Fe) fractions = 1.0000e-01, 9.0000e-01
# M(56Ni,t=0) = 5.9995e-01 Msun (6.0000e-01 requested)
# M(IME) = 3.9995e-01 Msun (4.0000e-01 requested); IMEs = Ca, S, Si with relative fractions = 0.1, 0.35, 0.55
# M(unburnt C/O) = 0.0000e+00 Msun with relative (O, C) fractions = 5.0000e-01, 5.0000e-01
# dM(IGE,56Ni,IME) = 0.0000e+00, 4.0000e-01, 0.0000e+00 Msun; transition profile = cosine
# 56Ni-weighted average column density=4.3554e+14 g cm^-2 s^2; t0_gamma=3.8192e+01 day
#
# COLUMNS:
#
# (1) zone index
# (2) velocity at zone center [km/s]
# (3) zone mass [Msun]
# (4) Lagrangian mass coordinate (corresponding to outer zone boundary) [Msun]
# (5) stable IGE (Fe) mass fraction at t=0
# (6) 56Ni mass fraction at t=0
# (7) IME mass fraction
# (8) Ti mass fraction
# (9) unburnt C+O mass fraction
# (10) radius at zone center [cm] = velocity * time_since_explosion (homologous expansion)
# (11) mean density over zone [g/cm^3] (*not* density at zone center)
# (12) temperature [K]
# (13)-(21) mass fractions
#
# NOTES ON MASS FRACTIONS:
#
# !!! All mass fractions are given at tend = 4.1667e-02 DAYS !!!
# (apart from IGE & 56Ni mass fractions in columns (5) and (6) which are at t=0)
#
# (8) X_Ti only appears in this column (no duplicate entry in columns (13)-(21))
# (14) X_Ni includes X_56Ni
# (15) X_Co = X_56Co
# (16) X_Fe includes 56Fe from 56Co decay
#
#idx vel[km/s]  dmass[Msun] mass[Msun] X_IGE0     X_56Ni0    X_IME      X_Ti       X_CO       rad[cm]    dens[gcc]  temp[K]    X_56Ni     X_Ni       X_Co       X_Fe       X_Ca       X_S        X_Si       X_O        X_C       
#(1) (2)        (3)        (4)        (5)        (6)        (7)        (8)        (9)        (10)       (11)       (12)       (13)       (14)       (15)       (16)       (17)       (18)       (19)       (20)       (21)      
  42 8.3000e+03 1.6146e-02 5.5446e-01 0.0000e+00 7.0405e-01 2.9595e-01 0.0000e+00 0.0000e+00 2.9880e+12 3.9754e-06 4.0166e+05 7.0071e-01 7.0071e-01 3.3386e-03 6.2474e-07 2.9595e-02 1.0358e-01 1.6277e-01 0.0000e+00 0.0000e+00
  43 8.5000e+03 1.5803e-02 5.7026e-01 0.0000e+00 6.4538e-01 3.5462e-01 0.0000e+00 0.0000e+00 3.0600e+12 3.7101e-06 3.8628e+05 6.4232e-01 6.4232e-01 3.0603e-03 5.7267e-07 3.5462e-02 1.2412e-01 1.9504e-01 0.0000e+00 0.0000e+00
  44 8.7000e+03 1.5451e-02 5.8571e-01 0.0000e+00 5.8576e-01 4.1424e-01 0.0000e+00 0.0000e+00 3.1320e+12 3.4624e-06 3.7058e+05 5.8298e-01 5.8298e-01 2.7776e-03 5.1977e-07 4.1424e-02 1.4498e-01 2.2783e-01 0.0000e+00 0.0000e+00
  45 8.9000e+03 1.5090e-02 6.0080e-01 0.0000e+00 5.2624e-01 4.7376e-01 0.0000e+00 0.0000e+00 3.2040e+12 3.2313e-06 3.5461e+05 5.2375e-01 5.2375e-01 2.4954e-03 4.6696e-07 4.7376e-02 1.6581e-01 2.6057e-01 0.0000e+00 0.0000e+00
  46 9.1000e+03 1.4723e-02 6.1553e-01 0.0000e+00 4.6778e-01 5.3222e-01 0.0000e+00 0.0000e+00 3.2760e+12 3.0156e-06 3.3842e+05 4.6556e-01 4.6556e-01 2.2182e-03 4.1508e-07 5.3222e-02 1.8628e-01 2.9272e-01 0.0000e+00 0.0000e+00
  47 9.3000e+03 1.4350e-02 6.2988e-01 0.0000e+00 4.1117e-01 5.8883e-01 0.0000e+00 0.0000e+00 3.3480e+12 2.8143e-06 3.2207e+05 4.0922e-01 4.0922e-01 1.9498e-03 3.6485e-07 5.8883e-02 2.0609e-01 3.2386e-01 0.0000e+00 0.0000e+00
  48 9.5000e+03 1.3975e-02 6.4385e-01 0.0000e+00 3.5713e-01 6.4287e-01 0.0000e+00 0.0000e+00 3.4200e+12 2.6264e-06 3.0560e+05 3.5543e-01 3.5543e-01 1.6935e-03 3.1690e-07 6.4287e-02 2.2500e-01 3.5358e-01 0.0000e+00 0.0000e+00
  49 9.7000e+03 1.3597e-02 6.5745e-01 0.0000e+00 3.0621e-01 6.9379e-01 0.0000e+00 0.0000e+00 3.4920e+12 2.4511e-06 2.8904e+05 3.0476e-01 3.0476e-01 1.4520e-03 2.7171e-07 6.9379e-02 2.4283e-01 3.8158e-01 0.0000e+00 0.0000e+00
  50 9.9000e+03 1.3218e-02 6.7067e-01 0.0000e+00 2.5886e-01 7.4114e-01 0.0000e+00 0.0000e+00 3.5640e+12 2.2875e-06 2.7240e+05 2.5763e-01 2.5763e-01 1.2275e-03 2.2970e-07 7.4114e-02 2.5940e-01 4.0763e-01 0.0000e+00 0.0000e+00
  51 1.0100e+04 1.2839e-02 6.8351e-01 0.0000e+00 2.1540e-01 7.8460e-01 0.0000e+00 0.0000e+00 3.6360e+12 2.1348e-06 2.5572e+05 2.1438e-01 2.1438e-01 1.0214e-03 1.9113e-07 7.8460e-02 2.7461e-01 4.3153e-01 0.0000e+00 0.0000e+00
  52 1.0300e+04 1.2461e-02 6.9597e-01 0.0000e+00 1.7604e-01 8.2396e-01 0.0000e+00 0.0000e+00 3.7080e+12 1.9923e-06 2.3897e+05 1.7521e-01 1.7521e-01 8.3479e-04 1.5621e-07 8.2396e-02 2.8838e-01 4.5318e-01 0.0000e+00 0.0000e+00
  53 1.0500e+04 1.2085e-02 7.0805e-01 0.0000e+00 1.4091e-01 8.5909e-01 0.0000e+00 0.0000e+00 3.7800e+12 1.8593e-06 2.2217e+05 1.4024e-01 1.4024e-01 6.6819e-04 1.2504e-07 8.5909e-02 3.0068e-01 4.7250e-01 0.0000e+00 0.0000e+00
  54 1.0700e+04 1.1712e-02 7.1976e-01 0.0000e+00 1.1003e-01 8.8997e-01 0.0000e+00 0.0000e+00 3.8520e+12 1.7352e-06 2.0527e+05 1.0950e-01 1.0950e-01 5.2174e-04 9.7631e-08 8.8997e-02 3.1149e-01 4.8949e-01 0.0000e+00 0.0000e+00
  55 1.0900e+04 1.1343e-02 7.3111e-01 0.0000e+00 8.3348e-02 9.1665e-01 0.0000e+00 0.0000e+00 3.9240e+12 1.6193e-06 1.8822e+05 8.2953e-02 8.2953e-02 3.9523e-04 7.3958e-08 9.1665e-02 3.2083e-01 5.0416e-01 0.0000e+00 0.0000e+00
  56 1.1100e+04 1.0977e-02 7.4208e-01 0.0000e+00 6.0768e-02 9.3923e-01 0.0000e+00 0.0000e+00 3.9960e+12 1.5112e-06 1.7095e+05 6.0480e-02 6.0480e-02 2.8816e-04 5.3922e-08 9.3923e-02 3.2873e-01 5.1658e-01 0.0000e+00 0.0000e+00
  57 1.1300e+04 1.0617e-02 7.5270e-01 0.0000e+00 4.2130e-02 9.5787e-01 0.0000e+00 0.0000e+00 4.0680e+12 1.4104e-06 1.5332e+05 4.1930e-02 4.1930e-02 1.9978e-04 3.7383e-08 9.5787e-02 3.3525e-01 5.2683e-01 0.0000e+00 0.0000e+00
  58 1.1500e+04 1.0262e-02 7.6296e-01 0.0000e+00 2.7235e-02 9.7276e-01 0.0000e+00 0.0000e+00 4.1400e+12 1.3162e-06 1.3512e+05 2.7106e-02 2.7106e-02 1.2915e-04 2.4167e-08 9.7276e-02 3.4047e-01 5.3502e-01 0.0000e+00 0.0000e+00
  59 1.1700e+04 9.9132e-03 7.7288e-01 0.0000e+00 1.5860e-02 9.8414e-01 0.0000e+00 0.0000e+00 4.2120e+12 1.2283e-06 1.1602e+05 1.5785e-02 1.5785e-02 7.5208e-05 1.4073e-08 9.8414e-02 3.4445e-01 5.4128e-01 0.0000e+00 0.0000e+00
  60 1.1900e+04 9.5704e-03 7.8245e-01 0.0000e+00 7.7572e-03 9.9224e-01 0.0000e+00 0.0000e+00 4.2840e+12 1.1463e-06 9.5359e+04 7.7204e-03 7.7204e-03 3.6784e-05 6.8833e-09 9.9224e-02 3.4728e-01 5.4573e-01 0.0000e+00 0.0000e+00
  61 1.2100e+04 9.2343e-03 7.9168e-01 0.0000e+00 2.6675e-03 9.9733e-01 0.0000e+00 0.0000e+00 4.3560e+12 1.0698e-06 7.1773e+04 2.6549e-03 2.6549e-03 1.2649e-05 2.3670e-09 9.9733e-02 3.4907e-01 5.4853e-01 0.0000e+00 0.0000e+00
  62 1.2300e+04 8.9051e-03 8.0059e-01 0.0000e+00 3.2630e-04 9.9967e-01 0.0000e+00 0.0000e+00 4.4280e+12 9.9840e-07 4.1719e+04 3.2475e-04 3.2475e-04 1.5473e-06 2.8954e-10 9.9967e-02 3.4989e-01 5.4982e-01 0.0000e+00 0.0000e+00
  63 1.2500e+04 8.5831e-03 8.0917e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 4.5000e+12 9.3175e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  64 1.2700e+04 8.2685e-03 8.1744e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 4.5720e+12 8.6955e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  65 1.2900e+04 7.9615e-03 8.2540e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 4.6440e+12 8.1150e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  66 1.3100e+04 7.6621e-03 8.3306e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 4.7160e+12 7.5733e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  67 1.3300e+04 7.3707e-03 8.4043e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 4.7880e+12 7.0678e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  68 1.3500e+04 7.0870e-03 8.4752e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 4.8600e+12 6.5959e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  69 1.3700e+04 6.8114e-03 8.5433e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 4.9320e+12 6.1556e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  70 1.3900e+04 6.5436e-03 8.6087e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.0040e+12 5.7447e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  71 1.4100e+04 6.2838e-03 8.6716e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.0760e+12 5.3612e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  72 1.4300e+04 6.0318e-03 8.7319e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.1480e+12 5.0033e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  73 1.4500e+04 5.7877e-03 8.7898e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.2200e+12 4.6693e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  74 1.4700e+04 5.5514e-03 8.8453e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.2920e+12 4.3576e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  75 1.4900e+04 5.3227e-03 8.8985e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.3640e+12 4.0667e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  76 1.5100e+04 5.1016e-03 8.9495e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.4360e+12 3.7952e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  77 1.5300e+04 4.8880e-03 8.9984e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.5080e+12 3.5419e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  78 1.5500e+04 4.6818e-03 9.0452e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.5800e+12 3.3054e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  79 1.5700e+04 4.4827e-03 9.0901e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.6520e+12 3.0848e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  80 1.5900e+04 4.2907e-03 9.1330e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.7240e+12 2.8788e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  81 1.6100e+04 4.1057e-03 9.1740e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.7960e+12 2.6866e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  82 1.6300e+04 3.9274e-03 9.2133e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.8680e+12 2.5073e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  83 1.6500e+04 3.7557e-03 9.2509e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 5.9400e+12 2.3399e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  84 1.6700e+04 3.5904e-03 9.2868e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.0120e+12 2.1837e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  85 1.6900e+04 3.4315e-03 9.3211e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.0840e+12 2.0379e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  86 1.7100e+04 3.2787e-03 9.3539e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.1560e+12 1.9019e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  87 1.7300e+04 3.1318e-03 9.3852e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.2280e+12 1.7749e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  88 1.7500e+04 2.9907e-03 9.4151e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.3000e+12 1.6564e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  89 1.7700e+04 2.8552e-03 9.4436e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.3720e+12 1.5459e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  90 1.7900e+04 2.7251e-03 9.4709e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.4440e+12 1.4427e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  91 1.8100e+04 2.6004e-03 9.4969e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.5160e+12 1.3464e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  92 1.8300e+04 2.4807e-03 9.5217e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.5880e+12 1.2565e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  93 1.8500e+04 2.3660e-03 9.5454e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.6600e+12 1.1726e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  94 1.8700e+04 2.2560e-03 9.5679e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.7320e+12 1.0943e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  95 1.8900e+04 2.1507e-03 9.5894e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.8040e+12 1.0213e-07 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  96 1.9100e+04 2.0498e-03 9.6099e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.8760e+12 9.5308e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  97 1.9300e+04 1.9533e-03 9.6295e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 6.9480e+12 8.8946e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  98 1.9500e+04 1.8608e-03 9.6481e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.0200e+12 8.3008e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
  99 1.9700e+04 1.7724e-03 9.6658e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.0920e+12 7.7467e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 100 1.9900e+04 1.6878e-03 9.6827e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.1640e+12 7.2295e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 101 2.0100e+04 1.6070e-03 9.6987e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.2360e+12 6.7469e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 102 2.0300e+04 1.5297e-03 9.7140e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.3080e+12 6.2965e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 103 2.0500e+04 1.4559e-03 9.7286e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.3800e+12 5.8762e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 104 2.0700e+04 1.3853e-03 9.7424e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.4520e+12 5.4839e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 105 2.0900e+04 1.3179e-03 9.7556e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.5240e+12 5.1178e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 106 2.1100e+04 1.2536e-03 9.7682e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.5960e+12 4.7761e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 107 2.1300e+04 1.1922e-03 9.7801e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.6680e+12 4.4573e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 108 2.1500e+04 1.1336e-03 9.7914e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.7400e+12 4.1597e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 109 2.1700e+04 1.0777e-03 9.8022e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.8120e+12 3.8820e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 110 2.1900e+04 1.0244e-03 9.8124e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.8840e+12 3.6229e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 111 2.2100e+04 9.7353e-04 9.8222e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 7.9560e+12 3.3810e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 112 2.2300e+04 9.2506e-04 9.8314e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 8.0280e+12 3.1553e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 113 2.2500e+04 8.7886e-04 9.8402e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 8.1000e+12 2.9447e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 114 2.2700e+04 8.3484e-04 9.8486e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 8.1720e+12 2.7481e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 115 2.2900e+04 7.9289e-04 9.8565e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 8.2440e+12 2.5646e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 116 2.3100e+04 7.5294e-04 9.8640e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 8.3160e+12 2.3934e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 117 2.3300e+04 7.1490e-04 9.8712e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 8.3880e+12 2.2337e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
 118 2.3500e+04 6.7868e-04 9.8780e-01 0.0000e+00 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 8.4600e+12 2.0845e-08 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-01 3.5000e-01 5.5000e-01 0.0000e+00 0.0000e+00
