# MODEL DDC25
#
# TIME SINCE EXPLOSION = 7.24500e-04 days
# TOTAL MASS = 2.81611e+33 g = 1.41584e+00 Msun
# KINETIC ENERGY = 1.18372e+51 erg
# 56Ni MASS AT 7.24500e-04 days PAST EXPLOSION = 2.39092e+32 g = 1.20207e-01 Msun
#
# COLUMNS:
#
# (1) velocity at zone center (km/s)
# (2) radius at zone center [cm] = velocity at zone center * time_since_explosion
# (3) shell node volumes [cm^3], for zone index i = 1,...,n:
#       dvol_1 = 4pi/3 * [0.5*(r_1+r_2)^3 - r_1^3]
#       dvol_2,...,{n-1} = 4pi/3 * [0.5*(r_{i+1}+r_i)^3 - 0.5*(r_{i-1}+r_i)^3]
#       dvol_n = 4pi/3 * [r_n^3 - 0.5*(r_{n-1}+r_n)^3]
# (4) density at zone center [g/cm^3] (NOT mean density over shell)
# (5) shell mass estimate = shell node volumes * density at zone center
# (6) temperature at zone center [K]
# (7)-(30) elemental mass fractions at t = 7.24500e-04 days since explosion
# (31)-(54) isotopic mass fractions for radioactive nuclei at t = 7.24500e-04 days since explosion
#
# RADIOACTIVE CHAINS:
#
# ni56 -> co56   thalf_day = 6.07490000e+00   MeV/decay = 1.71827580e+00
# co56 -> fe56   thalf_day = 7.72330000e+01   MeV/decay = 3.74889320e+00
# ni57 -> co57   thalf_day = 1.48333000e+00   MeV/decay = 2.09130000e+00
# co57 -> fe57   thalf_day = 2.71740000e+02   MeV/decay = 1.21800000e-01
# cr48 -> v48    thalf_day = 8.98330000e-01   MeV/decay = 4.34000000e-01
# v48  -> ti48   thalf_day = 1.59735000e+01   MeV/decay = 3.05530000e+00
# cr49 -> v49    thalf_day = 2.93700000e-02   MeV/decay = 1.65300000e+00
# v49  -> ti49   thalf_day = 3.30000000e+02   MeV/decay = 0.00000000e+00
# mn51 -> cr51   thalf_day = 3.20000000e-02   MeV/decay = 1.92560000e+00
# cr51 -> v51    thalf_day = 2.77000000e+01   MeV/decay = 3.17000000e-02
# co55 -> fe55   thalf_day = 7.30420000e-01   MeV/decay = 2.37300000e+00
# fe55 -> mn55   thalf_day = 1.00220000e+03   MeV/decay = 0.00000000e+00
# k37  -> ar37   thalf_day = 1.41900000e-05   MeV/decay = 3.41930000e+00
# ar37 -> cl37   thalf_day = 3.50400000e+01   MeV/decay = 1.00000000e-04
# fe52 -> mn52   thalf_day = 3.44790000e-01   MeV/decay = 9.42100000e-01
# mn52 -> cr52   thalf_day = 1.47200000e-02   MeV/decay = 3.56040000e+00
# ti44 -> sc44   thalf_day = 2.19150000e+04   MeV/decay = 0.00000000e+00
# sc44 -> ca44   thalf_day = 1.65420000e-01   MeV/decay = 2.73170000e+00
# ar41 -> k41    thalf_day = 7.61200000e-02   MeV/decay = 1.74700000e+00
# k42  -> ca42   thalf_day = 5.13400000e-01   MeV/decay = 1.70600000e+00
# k43  -> ca43   thalf_day = 9.29000000e-01   MeV/decay = 1.27400000e+00
# sc43 -> ca43   thalf_day = 1.62130000e-01   MeV/decay = 1.40400000e+00
# sc47 -> ti47   thalf_day = 3.34920000e+00   MeV/decay = 2.70870000e-01
# co61 -> ni61   thalf_day = 6.87500000e-02   MeV/decay = 5.55000000e-01
#
#vel[km/s]  rad[cm]     dvol[cm^3]  dens[g/cm^3] dmass[g]    temp[K]     h           he          c           n           o           ne          na          mg          al          si          p           s           cl          ar          k           ca          sc          ti          v           cr          mn          fe          co          ni          ni56        co56        ni57        co57        cr48        v48         cr49        v49         mn51        cr51        co55        fe55        k37         ar37        fe52        mn52        ti44        sc44        ar41        k42         k43         sc43        sc47        co61       
#(1)        (2)         (3)         (4)         (5)         (6)         (7)         (8)         (9)         (10)        (11)        (12)        (13)        (14)        (15)        (16)        (17)        (18)        (19)        (20)        (21)        (22)        (23)        (24)        (25)        (26)        (27)        (28)        (29)        (30)        (31)        (32)        (33)        (34)        (35)        (36)        (37)        (38)        (39)        (40)        (41)        (42)        (43)        (44)        (45)        (46)        (47)        (48)        (49)        (50)        (51)        (52)        (53)        (54)       
1.86020e+03 1.16436e+10 5.92848e+29 1.35331e+01 8.02306e+30 1.50800e+06 1.24816e-16 1.18106e-05 2.95928e-08 1.00000e-20 6.99793e-03 1.25687e-07 1.93650e-10 8.55612e-04 4.52356e-05 5.66160e-03 1.88911e-05 2.61157e-03 2.66346e-06 4.10508e-04 2.16759e-06 3.40596e-04 2.23954e-09 1.95064e-04 1.04283e-04 6.76470e-02 3.85463e-03 5.82057e-01 1.12094e-02 3.17931e-01 1.40145e-01 2.16151e-04 7.46293e-03 5.71057e-03 1.68547e-05 3.45199e-09 3.85440e-06 3.87678e-07 1.47237e-05 5.40824e-05 4.19342e-03 1.74366e-02 0.00000e+00 1.30152e-06 1.34291e-03 4.66102e-06 2.37323e-07 8.46407e-11 1.90762e-16 3.26617e-13 3.15466e-14 5.13928e-11 9.87118e-10 3.66082e-06
1.91550e+03 1.19897e+10 6.20382e+29 1.34214e+01 8.32640e+30 1.49560e+06 1.24816e-16 1.18106e-05 2.95928e-08 1.00000e-20 6.99793e-03 1.25687e-07 1.93650e-10 8.55612e-04 4.52356e-05 5.66160e-03 1.88911e-05 2.61157e-03 2.66346e-06 4.10508e-04 2.16759e-06 3.40596e-04 2.23954e-09 1.95064e-04 1.04283e-04 6.76470e-02 3.85463e-03 5.82057e-01 1.12094e-02 3.17931e-01 1.40145e-01 2.16151e-04 7.46293e-03 5.71057e-03 1.68547e-05 3.45199e-09 3.85440e-06 3.87678e-07 1.47237e-05 5.40824e-05 4.19342e-03 1.74366e-02 0.00000e+00 1.30152e-06 1.34291e-03 4.66102e-06 2.37323e-07 8.46407e-11 1.90762e-16 3.26617e-13 3.15466e-14 5.13928e-11 9.87118e-10 3.66082e-06
1.96995e+03 1.23305e+10 6.18070e+29 1.33109e+01 8.22707e+30 1.52650e+06 1.45139e-16 1.37333e-05 3.44122e-08 1.00000e-20 8.13759e-03 1.46155e-07 2.25187e-10 9.94954e-04 5.26025e-05 6.58361e-03 2.19675e-05 3.03683e-03 3.09670e-06 4.77288e-04 2.51827e-06 3.95963e-04 2.24278e-09 1.59727e-04 8.52271e-05 5.64220e-02 3.33063e-03 5.60006e-01 1.14229e-02 3.48806e-01 1.62835e-01 2.29116e-04 8.63128e-03 5.44843e-03 1.95928e-05 3.37874e-09 4.46612e-06 3.33659e-07 1.70045e-05 4.79294e-05 4.84975e-03 1.63517e-02 0.00000e+00 1.51326e-06 1.56066e-03 4.57985e-06 2.75736e-07 9.80961e-11 2.00320e-16 3.78716e-13 2.81010e-14 5.92880e-11 8.09882e-10 2.99744e-06
2.01900e+03 1.26375e+10 5.90806e+29 1.32132e+01 7.80646e+30 1.52790e+06 1.70031e-16 1.60882e-05 4.03151e-08 1.00000e-20 9.53350e-03 1.71227e-07 2.63815e-10 1.16563e-03 6.16258e-05 7.71293e-03 2.57356e-05 3.55771e-03 3.62739e-06 5.59077e-04 2.94782e-06 4.63708e-04 2.29988e-09 1.26433e-04 6.72527e-05 4.54270e-02 2.78845e-03 5.33136e-01 1.16363e-02 3.83663e-01 1.90445e-01 2.40613e-04 1.00239e-02 5.05100e-03 2.29376e-05 3.30647e-09 5.20673e-06 2.78348e-07 1.97342e-05 4.10447e-05 5.63309e-03 1.48908e-02 0.00000e+00 1.77261e-06 1.82605e-03 4.42509e-06 3.22559e-07 1.14586e-10 2.15238e-16 4.42691e-13 2.51619e-14 6.88859e-11 6.43243e-10 2.37292e-06
2.06410e+03 1.29198e+10 5.93506e+29 1.31238e+01 7.78905e+30 1.49740e+06 1.70031e-16 1.60882e-05 4.03151e-08 1.00000e-20 9.53350e-03 1.71227e-07 2.63815e-10 1.16563e-03 6.16258e-05 7.71293e-03 2.57356e-05 3.55771e-03 3.62739e-06 5.59077e-04 2.94782e-06 4.63708e-04 2.29988e-09 1.26433e-04 6.72527e-05 4.54270e-02 2.78845e-03 5.33136e-01 1.16363e-02 3.83663e-01 1.90445e-01 2.40613e-04 1.00239e-02 5.05100e-03 2.29376e-05 3.30647e-09 5.20673e-06 2.78348e-07 1.97342e-05 4.10447e-05 5.63309e-03 1.48908e-02 0.00000e+00 1.77261e-06 1.82605e-03 4.42509e-06 3.22559e-07 1.14586e-10 2.15238e-16 4.42691e-13 2.51619e-14 6.88859e-11 6.43243e-10 2.37292e-06
2.10940e+03 1.32034e+10 6.21184e+29 1.30319e+01 8.09522e+30 1.48330e+06 1.94015e-16 1.83571e-05 4.60028e-08 1.00000e-20 1.08785e-02 1.95383e-07 3.01034e-10 1.33007e-03 7.03201e-05 8.80107e-03 2.93663e-05 4.05958e-03 4.13878e-06 6.37851e-04 3.36181e-06 5.28703e-04 2.42153e-09 1.06822e-04 5.66374e-05 3.85929e-02 2.41748e-03 5.08729e-01 1.17838e-02 4.11894e-01 2.16325e-01 2.44473e-04 1.12447e-02 4.61580e-03 2.61234e-05 3.28513e-09 5.89199e-06 2.42269e-07 2.21682e-05 3.58796e-05 6.32184e-03 1.34774e-02 0.00000e+00 2.02251e-06 2.07647e-03 4.22631e-06 3.66815e-07 1.30501e-10 2.33617e-16 5.04537e-13 2.39282e-14 7.79933e-11 5.45613e-10 2.00570e-06
2.15470e+03 1.34869e+10 6.26980e+29 1.29350e+01 8.10996e+30 1.51070e+06 2.20791e-16 2.08901e-05 5.23525e-08 1.00000e-20 1.23800e-02 2.22352e-07 3.42586e-10 1.51366e-03 8.00263e-05 1.00159e-02 3.34196e-05 4.61984e-03 4.70972e-06 7.25755e-04 3.82405e-06 6.00983e-04 2.58223e-09 8.95735e-05 4.72831e-05 3.24642e-02 2.07120e-03 4.82753e-01 1.19266e-02 4.40584e-01 2.44534e-01 2.45461e-04 1.25107e-02 4.13995e-03 2.96424e-05 3.28989e-09 6.63262e-06 2.09587e-07 2.47278e-05 3.09219e-05 7.03691e-03 1.19884e-02 0.00000e+00 2.30150e-06 2.35092e-03 3.99861e-06 4.15407e-07 1.48284e-10 2.55624e-16 5.73657e-13 2.31456e-14 8.80781e-11 4.60038e-10 1.68302e-06
2.19710e+03 1.37523e+10 6.11060e+29 1.28372e+01 7.84431e+30 1.51130e+06 2.20791e-16 2.08901e-05 5.23525e-08 1.00000e-20 1.23800e-02 2.22352e-07 3.42586e-10 1.51366e-03 8.00263e-05 1.00159e-02 3.34196e-05 4.61984e-03 4.70972e-06 7.25755e-04 3.82405e-06 6.00983e-04 2.58223e-09 8.95735e-05 4.72831e-05 3.24642e-02 2.07120e-03 4.82753e-01 1.19266e-02 4.40584e-01 2.44534e-01 2.45461e-04 1.25107e-02 4.13995e-03 2.96424e-05 3.28989e-09 6.63262e-06 2.09587e-07 2.47278e-05 3.09219e-05 7.03691e-03 1.19884e-02 0.00000e+00 2.30150e-06 2.35092e-03 3.99861e-06 4.15407e-07 1.48284e-10 2.55624e-16 5.73657e-13 2.31456e-14 8.80781e-11 4.60038e-10 1.68302e-06
2.23690e+03 1.40014e+10 6.14511e+29 1.27377e+01 7.82743e+30 1.49980e+06 2.48011e-16 2.34649e-05 5.88073e-08 1.00000e-20 1.39064e-02 2.49767e-07 3.84824e-10 1.70029e-03 8.98930e-05 1.12507e-02 3.75400e-05 5.18926e-03 5.29014e-06 8.14970e-04 4.29405e-06 6.73532e-04 2.77912e-09 7.82876e-05 4.11335e-05 2.83452e-02 1.82464e-03 4.59307e-01 1.20331e-02 4.64602e-01 2.71225e-01 2.41614e-04 1.35590e-02 3.72260e-03 3.30996e-05 3.34591e-09 7.31857e-06 1.87706e-07 2.69325e-05 2.72762e-05 7.62888e-03 1.07407e-02 0.00000e+00 2.58508e-06 2.61453e-03 3.78207e-06 4.62358e-07 1.66389e-10 2.80000e-16 6.44023e-13 2.31498e-14 9.81632e-11 4.04544e-10 1.47236e-06
2.27680e+03 1.42512e+10 6.36600e+29 1.26294e+01 8.03989e+30 1.47840e+06 2.79499e-16 2.64435e-05 6.62744e-08 1.00000e-20 1.56722e-02 2.81481e-07 4.33688e-10 1.91619e-03 1.01307e-04 1.26793e-02 4.23066e-05 5.84792e-03 5.96161e-06 9.18049e-04 4.83782e-06 7.56672e-04 3.02045e-09 6.77579e-05 3.53778e-05 2.44620e-02 1.58736e-03 4.34012e-01 1.21314e-02 4.89651e-01 3.00616e-01 2.35279e-04 1.46176e-02 3.29106e-03 3.69995e-05 3.43624e-09 8.06362e-06 1.67341e-07 2.92187e-05 2.37341e-05 8.22529e-03 9.46920e-03 0.00000e+00 2.91314e-06 2.90751e-03 3.54845e-06 5.14767e-07 1.87348e-10 3.09009e-16 7.25466e-13 2.34779e-14 1.09735e-10 3.53077e-10 1.27611e-06
